"","age1_orange.D","age1_green.D","age2_no_comorbid_orange.D","age2_no_comorbid_green.D","age2_comorbid_green.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"1",58,3,79,9,33,14,31
"2",49,1,74,10,30,3,43
"3",41,6,70,11,24,10,34
"4",0,0,1,0,0,0,0
"5",57,4,69,6,30,9,45
"6",0,0,0,0,0,0,0
"7",57,7,62,7,34,10,39
"8",48,4,71,6,40,9,36
"9",51,3,73,6,38,8,43
"10",66,2,65,6,32,11,38
"11",68,10,53,6,31,11,34
"12",55,2,81,7,38,12,38
"13",48,2,78,7,32,11,47
"14",51,5,67,7,36,10,41
"15",58,7,86,8,42,9,40
"16",45,1,58,11,39,10,40
"17",64,3,62,11,31,12,39
"18",44,0,63,0,0,0,1
"19",64,5,87,6,25,8,38
"20",51,0,75,0,0,0,0
"21",59,6,76,10,34,2,37
"22",56,0,85,0,0,0,0
"23",47,5,95,8,39,8,32
"24",0,0,0,0,0,0,0
"25",53,3,62,11,43,10,37
"26",50,6,65,9,34,9,36
"27",0,0,0,0,0,0,0
"28",58,5,73,4,37,11,37
"29",0,0,1,0,0,0,0
"30",65,6,54,10,37,13,36
"31",76,6,85,8,31,11,29
"32",69,8,95,10,35,11,35
"33",62,3,84,10,32,6,36
"34",51,5,84,3,26,14,44
"35",54,4,62,6,39,7,37
"36",53,0,71,0,0,0,0
"37",51,3,79,7,32,8,36
"38",64,1,84,10,40,5,38
"39",52,1,93,8,38,7,38
"40",64,6,77,9,28,12,41
"41",62,1,65,6,47,11,32
"42",47,7,75,3,35,6,29
"43",61,4,68,6,32,11,38
"44",41,4,74,8,33,11,38
"45",49,7,74,7,29,9,32
"46",54,4,68,11,33,12,37
"47",54,4,75,3,31,9,33
"48",50,3,76,6,27,7,39
"49",55,4,69,10,30,12,49
"50",60,2,68,6,37,11,32
"51",42,4,69,7,38,9,39
"52",59,3,81,9,34,8,38
"53",64,7,72,10,43,9,46
"54",56,6,59,7,30,7,43
"55",60,3,69,9,34,10,32
"56",64,6,84,9,36,7,44
"57",62,2,65,10,29,6,44
"58",56,4,71,12,32,10,45
"59",58,9,63,8,41,10,42
"60",52,4,87,9,28,9,44
"61",54,3,64,10,32,7,35
"62",0,0,0,0,0,0,0
"63",47,2,78,15,41,12,41
"64",51,6,71,10,39,8,40
"65",43,4,49,9,43,11,37
"66",61,5,67,7,36,17,34
"67",61,3,63,11,34,10,38
"68",48,4,73,8,42,6,44
"69",51,8,79,10,30,8,44
"70",51,8,70,7,23,12,42
"71",52,2,80,7,33,12,40
"72",62,5,69,8,29,10,45
"73",63,5,59,9,29,6,34
"74",0,0,0,0,0,0,0
"75",57,2,67,17,34,5,39
"76",54,6,71,10,37,6,36
"77",0,0,0,0,0,0,0
"78",60,2,79,8,42,5,48
"79",45,7,74,10,36,5,44
"80",54,0,69,0,0,0,0
"81",56,4,76,6,32,16,43
"82",0,0,0,0,0,0,0
"83",0,0,0,0,0,0,0
"84",44,4,72,8,35,12,38
"85",53,8,75,7,31,12,40
"86",63,5,80,9,34,8,33
"87",55,6,74,9,36,8,39
"88",56,4,64,9,29,4,37
"89",44,5,79,7,30,8,45
"90",37,6,66,7,33,11,44
"91",59,8,88,11,42,10,39
"92",55,2,88,2,36,3,36
"93",52,4,68,4,39,10,36
"94",65,3,83,10,33,12,41
"95",48,9,73,8,37,14,42
"96",0,0,0,0,0,0,0
"97",57,2,73,4,25,8,50
"98",0,0,0,0,0,0,0
"99",61,0,73,0,0,0,0
"100",60,2,90,12,30,7,46
"101",42,2,68,15,32,10,39
"102",60,0,67,0,0,0,0
"103",58,8,81,7,26,7,34
"104",61,7,79,4,31,10,53
"105",58,5,86,7,40,7,46
"106",60,3,71,6,34,9,37
"107",50,2,78,7,32,8,29
"108",0,0,0,0,0,0,0
"109",51,4,54,8,29,10,35
"110",58,10,73,17,35,11,39
"111",55,4,66,7,35,7,37
"112",59,2,81,8,32,13,39
"113",50,3,80,9,37,7,35
"114",56,2,69,6,31,6,32
"115",57,1,79,7,40,6,44
"116",52,4,77,4,31,13,43
"117",58,5,64,7,32,7,41
"118",0,0,0,0,0,0,0
"119",60,3,89,8,36,7,31
"120",61,7,75,9,37,8,39
"121",0,0,0,0,0,0,0
"122",57,6,69,12,26,10,39
"123",50,0,65,0,0,0,0
"124",43,1,76,10,33,9,37
"125",61,7,74,8,22,6,28
"126",37,3,75,6,39,9,42
"127",64,3,88,12,32,10,32
"128",56,5,76,16,42,9,35
"129",67,4,70,4,38,5,45
"130",58,7,69,7,39,3,45
"131",70,1,72,5,35,6,29
"132",57,5,83,5,27,5,47
"133",47,5,72,12,36,11,35
"134",66,4,86,9,32,11,36
"135",45,6,77,12,33,10,38
"136",60,3,75,6,30,10,34
"137",0,0,0,0,0,0,0
"138",0,0,1,0,0,0,0
"139",0,0,0,0,0,0,0
"140",44,2,73,6,42,13,40
"141",61,0,63,0,0,0,0
"142",48,10,86,7,36,10,42
"143",56,6,84,10,35,14,30
"144",44,4,70,6,35,14,42
"145",52,2,71,6,28,11,41
"146",50,3,67,9,31,4,43
"147",51,5,70,10,37,6,36
"148",54,7,61,6,30,9,31
"149",59,8,71,5,31,9,44
"150",45,3,72,12,38,7,37
"151",48,6,60,7,34,8,41
"152",54,7,76,6,31,10,38
"153",62,7,67,10,34,9,41
"154",56,2,84,10,29,7,41
"155",52,4,80,5,37,10,45
"156",54,7,71,10,38,7,31
"157",0,0,0,0,0,0,0
"158",68,2,75,8,38,11,43
"159",65,4,62,9,41,5,39
"160",65,5,67,7,36,7,32
"161",71,4,74,7,34,8,44
"162",51,2,74,7,34,13,38
"163",55,2,69,13,34,7,32
"164",0,0,0,0,0,0,0
"165",65,7,79,10,29,10,39
"166",47,0,76,0,0,0,0
"167",53,8,57,6,32,7,31
"168",52,4,76,5,46,14,35
"169",0,0,0,0,0,0,0
"170",53,6,60,7,28,8,31
"171",55,5,63,8,40,7,39
"172",62,4,83,13,30,9,45
"173",42,6,55,10,30,7,43
"174",53,3,75,5,32,10,43
"175",58,6,73,7,33,11,32
"176",66,4,66,11,39,10,32
"177",48,9,83,2,30,7,40
"178",55,8,70,17,28,8,39
"179",50,3,79,9,27,7,34
"180",60,6,71,15,35,7,36
"181",57,0,61,10,39,9,43
"182",0,0,0,0,0,0,0
"183",41,6,62,4,32,7,47
"184",48,4,75,7,31,6,35
"185",52,4,62,7,33,7,29
"186",48,5,69,7,28,16,32
"187",55,6,68,9,37,12,40
"188",63,6,77,6,32,12,42
"189",50,7,67,8,25,12,32
"190",60,3,58,5,27,11,35
"191",0,0,0,0,0,0,0
"192",0,0,0,0,0,0,0
"193",49,8,75,12,31,9,42
"194",60,6,56,6,32,10,39
"195",0,0,0,0,0,0,0
"196",64,5,68,7,37,7,38
"197",53,6,83,7,33,5,40
"198",0,0,0,0,0,0,0
"199",45,2,71,4,46,10,38
"200",58,0,81,0,0,0,1
"201",55,5,78,9,36,9,45
"202",55,0,68,0,0,0,0
"203",56,3,75,7,26,11,39
"204",52,5,74,12,32,6,36
"205",57,4,60,10,32,11,30
"206",0,0,0,0,0,0,0
"207",58,7,84,10,45,12,39
"208",61,7,68,7,31,11,41
"209",0,0,0,0,0,0,0
"210",58,3,61,8,27,11,28
"211",44,4,62,12,30,6,36
"212",58,4,59,8,34,10,37
"213",56,1,69,8,32,8,39
"214",55,2,71,8,41,12,43
"215",52,4,80,8,30,9,34
"216",53,5,73,12,40,16,42
"217",56,5,66,6,29,7,42
"218",76,0,60,0,0,0,0
"219",56,3,75,9,36,10,41
"220",51,1,57,4,35,12,33
"221",49,1,68,11,26,14,32
"222",49,0,72,0,0,0,0
"223",55,4,59,6,27,11,44
