"","age1_orange.A","age1_green.A","age2_no_comorbid_orange.A","age2_no_comorbid_green.A","age2_comorbid_green.A","age3_no_comorbid_green.A","age3_comorbid_green.A"
"1",54,0,50,0,0,0,0
"2",45,5,37,5,4,4,2
"3",46,6,46,6,12,3,5
"4",40,0,46,0,0,0,0
"5",44,9,37,6,9,3,3
"6",50,6,53,7,7,2,5
"7",0,0,1,0,0,0,0
"8",44,7,41,7,10,4,3
"9",40,4,45,8,9,5,5
"10",39,4,46,2,7,3,7
"11",45,4,51,4,7,3,6
"12",63,5,49,7,6,4,3
"13",54,5,47,6,5,2,2
"14",38,5,44,6,5,3,4
"15",44,3,55,10,11,4,3
"16",40,6,52,4,9,2,3
"17",0,0,1,0,0,0,0
"18",0,0,1,0,0,0,0
"19",58,4,44,6,8,3,4
"20",36,5,44,5,11,4,3
"21",38,7,45,7,3,3,5
"22",40,6,45,8,8,5,6
"23",0,0,1,0,0,0,0
"24",32,5,49,7,8,2,6
"25",47,6,53,6,9,3,4
"26",43,4,55,6,6,3,5
"27",38,6,40,6,8,1,8
"28",48,3,50,7,9,3,6
"29",52,5,57,5,7,3,7
"30",0,0,0,0,0,0,0
"31",54,6,45,3,5,2,5
"32",0,0,1,0,0,0,0
"33",38,2,45,4,10,4,5
"34",41,4,52,6,6,3,4
"35",45,3,53,6,6,2,6
"36",34,4,48,4,6,3,7
"37",51,5,48,5,8,2,4
"38",49,3,42,6,7,5,6
"39",46,3,46,7,9,2,8
"40",56,0,38,0,0,0,0
"41",48,7,33,10,8,3,4
"42",51,4,43,6,6,2,6
"43",0,0,1,0,0,0,0
"44",50,6,50,5,11,2,4
"45",0,0,0,0,0,0,0
"46",41,6,44,7,7,2,8
"47",43,4,57,7,6,3,6
"48",0,0,1,0,0,0,0
"49",50,3,60,6,8,3,2
"50",0,0,0,0,0,0,0
"51",41,9,43,8,8,3,3
"52",46,2,38,4,7,2,6
"53",0,0,1,0,0,0,0
"54",0,0,0,0,0,0,0
"55",46,0,46,0,0,0,0
"56",41,3,42,5,9,4,2
"57",66,3,54,6,7,2,4
"58",42,3,39,3,11,3,5
"59",39,4,42,7,6,4,8
"60",42,3,45,7,10,3,6
"61",42,1,45,4,9,4,5
"62",54,5,39,6,10,3,7
"63",57,7,50,3,11,4,5
"64",50,0,47,0,0,0,0
"65",48,0,37,0,0,0,0
"66",0,0,0,0,0,0,0
"67",50,3,46,5,5,3,8
"68",46,5,44,5,9,3,6
"69",55,4,42,7,9,1,3
"70",57,3,49,6,9,5,3
"71",49,4,42,6,9,2,4
"72",38,5,41,10,10,3,1
"73",45,7,43,5,7,2,4
"74",0,0,0,0,0,0,0
"75",42,2,39,5,6,2,2
"76",47,3,45,6,7,3,3
"77",0,0,0,0,0,0,0
"78",31,0,41,0,0,0,0
"79",0,0,1,0,0,0,0
"80",49,3,52,5,11,2,5
"81",0,0,0,0,0,0,0
"82",49,6,40,3,11,2,5
"83",40,3,48,7,8,4,4
"84",0,0,1,0,0,0,0
"85",39,5,53,6,9,3,5
"86",42,4,43,5,7,3,7
"87",43,4,51,8,10,2,6
"88",41,6,54,9,4,3,4
"89",38,5,41,3,6,5,7
"90",56,3,51,7,9,5,2
"91",41,3,44,3,6,2,5
"92",48,5,43,6,8,3,5
"93",36,3,37,6,7,5,1
"94",42,4,47,8,7,2,5
"95",42,0,47,0,0,0,0
"96",51,3,45,4,7,2,4
"97",47,7,45,5,4,3,3
"98",40,2,36,6,9,3,4
"99",44,3,42,6,9,4,3
"100",39,4,48,8,6,6,5
"101",0,0,1,0,0,0,0
"102",47,6,43,6,9,2,7
"103",42,4,39,6,6,3,6
"104",50,7,48,10,11,5,2
"105",0,0,0,0,0,0,0
"106",54,3,47,7,7,2,5
"107",49,3,42,9,10,3,7
"108",45,6,31,6,10,1,5
"109",36,4,40,4,12,3,5
"110",37,4,36,5,11,3,4
"111",46,8,43,6,7,4,3
"112",38,4,47,4,4,3,4
"113",42,6,37,11,7,2,5
"114",33,5,36,6,8,3,3
"115",0,0,0,0,0,0,0
"116",41,3,42,2,7,3,5
"117",0,0,0,0,0,0,0
"118",35,6,48,5,6,1,3
"119",39,5,53,4,6,2,3
"120",43,3,39,4,8,3,4
"121",45,4,47,6,9,1,2
"122",58,0,47,0,0,0,0
"123",55,3,44,6,8,3,3
"124",0,0,0,0,0,0,0
"125",46,2,43,8,5,2,5
"126",39,5,40,7,10,3,4
"127",44,6,42,3,6,2,7
"128",50,0,41,0,0,0,0
"129",45,7,41,5,6,3,3
"130",49,8,44,7,11,1,6
"131",0,0,1,0,0,0,0
"132",42,4,39,7,8,3,2
"133",0,0,1,0,0,0,0
"134",0,0,0,0,0,0,0
"135",52,5,45,5,10,3,7
"136",33,3,53,4,8,5,3
"137",0,0,0,0,0,0,0
"138",41,4,45,8,9,3,6
"139",35,2,52,5,9,2,3
"140",49,6,44,6,10,1,3
"141",0,0,0,0,0,0,0
"142",48,5,47,8,7,3,3
"143",26,7,46,6,10,4,4
"144",0,0,0,0,0,0,0
"145",0,0,0,0,0,0,0
"146",40,4,41,4,9,2,5
"147",0,0,0,0,0,0,0
"148",50,4,48,5,8,5,3
"149",42,3,45,5,9,4,5
"150",41,5,42,5,7,5,5
"151",39,0,37,0,0,0,0
"152",52,2,49,3,8,4,2
"153",47,4,53,8,8,3,6
"154",41,5,51,3,10,2,2
"155",44,5,58,5,7,2,3
"156",41,4,50,3,9,2,5
"157",47,5,55,7,5,4,4
"158",0,0,0,0,0,0,0
"159",50,3,52,4,8,3,3
"160",49,4,50,9,5,2,11
"161",42,3,44,8,7,3,7
"162",48,5,50,2,6,2,6
"163",41,0,38,0,0,0,0
"164",47,5,45,7,8,3,4
"165",44,9,52,9,10,4,4
"166",43,0,42,0,0,0,0
"167",41,4,50,5,6,2,4
"168",0,0,0,0,0,0,0
"169",55,8,42,8,9,3,4
"170",41,3,53,9,5,4,5
"171",47,2,37,9,6,3,4
"172",46,4,38,5,6,2,8
"173",0,0,0,0,0,0,0
"174",44,0,56,1,0,0,0
"175",40,6,40,5,6,2,3
"176",50,6,54,7,9,4,6
"177",49,2,46,6,8,3,3
"178",45,7,38,4,6,4,4
"179",48,3,63,7,5,3,5
"180",41,2,45,4,6,2,4
"181",37,0,38,0,0,0,0
"182",49,4,44,8,11,4,4
"183",46,4,48,6,6,3,3
"184",0,0,0,0,0,0,0
"185",0,0,0,0,0,0,0
"186",0,0,0,0,0,0,0
"187",41,5,45,5,10,3,5
"188",44,3,42,8,11,3,3
"189",0,0,0,0,0,0,0
"190",40,5,47,5,7,3,5
"191",0,0,0,0,0,0,0
"192",1,0,1,0,0,0,0
"193",43,4,43,7,8,4,2
"194",40,4,46,8,5,3,4
"195",52,2,46,3,4,3,4
"196",58,3,52,10,6,2,4
"197",39,5,37,7,7,2,5
"198",42,3,46,6,8,2,2
"199",49,4,34,4,11,2,5
"200",40,0,41,0,0,0,0
"201",41,10,57,5,6,4,3
"202",49,8,37,6,4,1,4
"203",41,6,48,6,7,2,7
"204",46,5,48,5,11,2,1
"205",0,0,1,0,0,0,0
"206",45,5,38,5,7,3,4
"207",46,3,44,5,5,2,3
"208",0,0,0,0,0,0,0
"209",50,3,48,4,5,2,4
"210",44,4,40,6,8,3,3
"211",54,3,47,6,4,2,6
"212",37,4,45,8,6,3,3
"213",47,3,46,6,7,3,3
"214",34,0,51,0,0,0,0
"215",39,6,38,4,7,1,4
"216",37,0,45,0,0,0,0
"217",0,0,1,0,0,0,0
"218",54,3,47,3,12,3,2
"219",41,0,39,0,0,0,0
"220",52,0,36,0,0,0,0
"221",46,5,46,3,7,2,8
"222",50,0,47,0,0,0,0
"223",0,0,0,0,0,0,0
"224",42,7,42,4,6,1,4
"225",35,3,55,8,8,3,4
"226",44,4,40,4,4,2,4
"227",0,0,1,0,0,0,0
"228",35,3,55,4,9,2,5
"229",0,0,1,0,0,0,0
"230",39,0,48,0,0,0,0
"231",38,4,55,7,7,5,4
"232",38,4,45,3,6,4,4
"233",36,4,43,3,7,6,3
"234",55,6,54,12,7,3,4
"235",34,0,42,0,0,0,0
"236",0,0,0,0,0,0,0
"237",41,4,38,8,7,2,2
"238",53,4,43,5,9,3,4
"239",40,3,41,6,7,4,6
"240",0,0,1,0,0,0,0
"241",0,0,1,0,0,0,0
"242",38,8,35,6,6,3,3
"243",0,0,0,0,0,0,0
"244",45,3,47,4,6,2,5
"245",41,0,43,0,0,0,0
"246",52,3,54,4,8,1,3
"247",53,5,40,5,7,3,4
"248",45,4,40,5,12,2,2
"249",0,0,0,0,0,0,0
"250",46,4,38,11,7,3,3
"251",36,7,49,6,9,4,3
"252",36,1,52,0,0,0,0
"253",1,0,0,0,0,0,0
"254",50,4,47,5,7,1,4
"255",47,4,49,7,7,5,5
"256",46,2,47,5,7,1,5
"257",0,0,1,0,0,0,0
"258",47,0,48,0,0,0,0
"259",42,2,53,4,11,3,5
"260",0,0,0,0,0,0,0
"261",55,4,45,3,7,3,8
"262",33,2,40,7,10,2,3
"263",47,7,36,5,7,4,3
"264",40,5,48,6,8,4,4
"265",45,3,46,6,7,2,4
"266",41,4,43,5,10,1,7
"267",42,6,45,6,6,1,3
"268",54,3,46,4,10,3,4
"269",42,3,37,6,6,3,4
"270",0,0,1,0,0,0,0
"271",50,5,34,4,13,2,4
"272",36,3,54,7,5,2,4
"273",48,5,50,5,11,2,4
"274",42,4,44,7,8,4,4
"275",43,3,37,3,17,3,4
"276",0,0,0,0,0,0,0
"277",0,0,1,0,0,0,0
"278",42,0,41,0,0,0,0
"279",0,0,1,0,0,0,0
"280",48,5,38,8,5,3,5
"281",52,3,49,4,4,3,2
"282",0,0,1,0,0,0,0
"283",45,5,41,6,8,2,5
"284",42,5,54,6,7,2,6
"285",0,0,1,0,0,0,0
"286",63,2,40,3,3,4,6
"287",41,3,40,7,4,3,7
"288",53,3,47,6,9,4,6
"289",0,0,0,0,0,0,0
"290",40,5,31,8,7,2,6
"291",39,4,45,10,6,3,2
"292",41,6,48,5,5,4,4
"293",46,3,39,5,8,2,6
"294",0,0,0,0,0,0,0
"295",45,4,42,6,6,2,4
"296",36,4,33,7,6,3,4
"297",47,0,54,0,0,0,0
"298",49,3,47,4,8,1,3
"299",48,5,41,8,9,3,7
"300",0,0,1,0,0,0,0
"301",0,0,0,0,0,0,0
"302",35,5,47,5,9,6,4
"303",47,7,48,7,10,4,9
"304",44,8,46,5,9,3,6
"305",48,5,37,6,6,2,5
"306",56,4,45,6,7,3,5
"307",44,0,43,0,0,0,0
"308",41,6,39,3,7,1,3
"309",43,3,39,4,4,3,4
"310",0,0,1,0,0,0,0
"311",36,4,32,9,5,4,5
"312",37,6,39,5,10,4,9
"313",42,4,49,7,10,1,5
"314",1,0,1,0,0,0,0
"315",47,4,39,7,10,3,3
"316",55,0,48,0,0,0,0
"317",38,5,42,5,3,4,3
"318",45,4,40,6,6,1,3
"319",43,4,48,6,8,3,5
"320",39,0,32,0,0,0,0
"321",46,6,40,6,6,3,4
"322",0,0,0,0,0,0,0
"323",0,0,0,0,0,0,0
