"","age1_orange.I","age1_green.I","age2_no_comorbid_orange.I","age2_no_comorbid_green.I","age2_comorbid_green.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"1",223,0,194,0,0,0,0
"2",204,15,208,22,26,10,19
"3",209,25,225,27,27,10,23
"4",207,0,206,0,0,0,0
"5",210,19,221,19,29,10,18
"6",203,16,187,23,27,7,18
"7",0,0,1,0,0,0,0
"8",222,16,228,32,43,16,16
"9",229,19,208,27,26,9,17
"10",228,20,223,29,32,11,21
"11",228,21,224,25,22,7,16
"12",222,23,209,28,41,11,19
"13",240,19,216,22,19,11,20
"14",220,22,225,28,34,8,24
"15",207,21,217,20,36,11,16
"16",223,15,234,28,34,12,19
"17",0,0,0,0,0,0,0
"18",1,0,2,0,0,0,0
"19",216,19,215,20,35,11,15
"20",210,16,217,29,30,7,18
"21",218,21,230,27,37,13,19
"22",253,14,227,21,28,7,17
"23",1,0,2,0,0,0,0
"24",206,26,213,30,29,9,15
"25",216,21,207,29,27,11,15
"26",236,21,217,23,30,15,19
"27",208,15,200,21,25,11,16
"28",194,19,212,23,32,11,19
"29",203,19,216,22,26,17,20
"30",0,0,1,0,0,0,0
"31",219,14,209,28,33,9,13
"32",0,0,0,0,0,0,0
"33",208,18,181,20,34,9,16
"34",201,15,213,17,28,9,13
"35",215,22,231,19,34,10,21
"36",204,17,182,22,22,10,14
"37",212,13,191,24,27,9,15
"38",230,20,222,20,32,6,18
"39",209,21,211,25,31,11,14
"40",218,0,217,0,0,0,0
"41",206,18,201,26,33,12,14
"42",209,17,216,20,28,8,13
"43",0,0,0,0,0,0,0
"44",202,18,226,30,29,7,14
"45",0,0,1,0,0,0,0
"46",215,15,217,23,33,15,12
"47",227,16,227,22,27,7,16
"48",0,0,0,0,0,0,0
"49",232,20,219,18,32,9,16
"50",1,0,1,0,0,0,0
"51",224,15,227,24,30,9,22
"52",273,20,249,25,25,9,16
"53",0,0,0,0,0,0,0
"54",0,0,1,0,0,0,0
"55",226,0,182,0,0,0,0
"56",222,20,216,22,26,8,18
"57",238,19,230,28,38,12,19
"58",217,17,192,23,31,9,15
"59",203,19,193,23,31,11,19
"60",207,20,200,21,23,9,16
"61",190,24,204,21,26,14,18
"62",196,18,220,23,27,12,18
"63",200,13,203,26,30,9,19
"64",196,0,216,0,1,0,0
"65",205,0,219,0,0,0,0
"66",0,0,1,0,0,0,0
"67",201,15,216,24,34,13,14
"68",211,15,211,22,23,8,13
"69",241,16,235,23,34,13,18
"70",212,22,250,29,30,9,14
"71",226,23,228,23,33,10,23
"72",197,19,214,21,30,11,24
"73",203,16,193,24,26,9,16
"74",0,0,1,0,0,0,0
"75",228,19,219,23,24,11,16
"76",200,19,220,24,26,9,22
"77",0,0,1,0,0,0,0
"78",192,0,194,0,0,0,0
"79",1,0,0,0,0,0,0
"80",195,15,224,21,23,11,16
"81",1,0,1,0,0,0,0
"82",216,24,202,31,26,10,15
"83",218,18,209,19,29,14,11
"84",0,0,0,0,0,0,0
"85",222,25,224,27,33,15,13
"86",200,13,212,24,24,12,17
"87",215,23,219,24,28,15,14
"88",211,22,227,16,23,10,14
"89",211,14,225,28,29,13,18
"90",200,26,227,25,35,12,21
"91",224,15,212,25,24,9,14
"92",212,15,199,17,27,8,14
"93",215,21,193,20,33,10,16
"94",226,20,208,23,32,11,17
"95",212,1,204,0,1,0,0
"96",176,18,201,28,28,11,18
"97",243,16,224,28,37,13,19
"98",204,24,207,24,30,13,20
"99",220,19,207,38,34,12,16
"100",219,21,200,22,29,11,15
"101",0,0,0,0,0,0,0
"102",186,19,198,26,25,11,12
"103",208,22,194,20,27,10,23
