"","age1_orange.R","age1_green.R","age2_no_comorbid_orange.R","age2_no_comorbid_green.R","age2_comorbid_green.R","age3_no_comorbid_green.R","age3_comorbid_green.R"
"1",1,0,4,0,0,0,0
"2",0,0,2,0,0,0,0
"3",5,0,1,0,0,0,0
"4",6,0,8,0,0,0,0
"5",0,0,1,0,0,0,0
"6",1,0,3,0,0,0,0
"7",383,0,277,0,0,0,0
"8",3,0,1,0,0,0,0
"9",8,0,7,0,0,0,0
"10",418,0,325,0,0,0,0
"11",0,0,1,0,0,0,0
"12",0,0,2,0,0,0,0
"13",8,0,5,0,0,0,0
"14",378,0,307,0,0,0,0
"15",0,0,1,0,0,0,0
"16",0,0,1,0,0,0,0
"17",266,0,188,0,0,0,0
"18",1,0,0,0,0,0,0
"19",0,0,3,0,0,0,0
"20",0,0,0,0,0,0,0
"21",2,0,3,0,0,0,0
"22",0,0,1,0,0,0,0
"23",0,0,1,0,0,0,0
"24",354,0,272,0,0,0,1
"25",392,0,260,0,0,0,0
"26",0,0,1,0,0,0,0
"27",396,0,288,1,1,0,1
"28",2,0,3,0,0,0,0
"29",447,0,363,0,1,0,0
"30",0,0,1,0,0,0,0
"31",428,0,331,0,0,0,0
"32",0,0,1,0,0,0,0
"33",0,0,1,0,0,0,0
"34",448,1,337,0,0,0,0
"35",0,0,0,0,0,0,0
"36",2,0,2,0,0,0,0
"37",0,0,1,0,0,0,0
"38",436,0,322,0,0,0,0
"39",455,0,368,0,1,0,0
"40",0,0,1,0,0,0,0
"41",0,0,1,0,0,0,0
"42",0,0,1,0,0,0,0
"43",0,0,2,0,0,0,0
"44",1,0,1,0,0,0,0
"45",424,0,300,1,0,0,0
"46",0,0,1,0,0,0,0
"47",0,0,0,0,0,0,0
"48",0,0,1,0,0,0,0
"49",348,0,246,0,0,0,0
"50",9,0,4,0,0,0,0
"51",0,0,1,0,0,0,0
"52",0,0,1,0,0,0,0
"53",337,0,249,0,0,0,0
"54",393,0,299,0,0,0,0
"55",1,0,1,0,0,0,0
"56",4,0,1,0,0,0,0
"57",396,0,288,1,1,0,0
"58",365,0,290,0,0,0,0
"59",436,0,342,0,0,0,0
"60",0,0,1,0,0,0,0
"61",0,0,1,0,0,0,0
"62",458,0,348,0,0,0,0
"63",403,1,337,1,1,0,0
"64",0,0,1,0,0,0,0
"65",2,0,2,0,0,0,0
"66",474,0,367,0,0,0,0
"67",0,0,1,0,0,0,0
"68",0,0,1,0,0,0,0
"69",4,0,2,0,0,0,0
"70",374,0,235,0,0,0,0
"71",3,0,2,0,0,0,0
"72",413,0,335,0,0,0,0
"73",0,0,1,0,0,0,0
"74",3,0,5,0,0,0,0
"75",387,0,292,0,0,0,0
"76",369,0,286,0,0,0,0
"77",0,0,1,0,0,0,0
"78",4,0,1,0,0,0,0
"79",0,0,1,0,0,0,0
"80",2,0,4,0,0,0,0
"81",356,0,284,0,1,0,1
"82",0,0,1,0,0,0,0
"83",0,0,1,0,0,0,0
"84",416,0,335,1,0,1,0
"85",0,0,1,0,0,0,0
"86",414,0,317,2,0,0,0
"87",412,0,346,0,0,0,0
"88",367,0,301,0,0,0,1
"89",0,0,1,0,0,0,0
"90",10,0,10,0,0,0,0
"91",1,0,1,0,0,0,0
"92",0,0,1,0,0,0,0
"93",0,0,1,0,0,0,0
"94",407,0,294,0,0,0,0
"95",4,0,4,0,0,0,0
"96",23,0,16,0,0,0,0
"97",388,0,264,0,0,0,0
"98",0,0,1,0,0,0,0
"99",501,0,420,0,0,0,0
"100",329,0,266,0,0,0,0
"101",417,0,331,0,0,0,0
"102",0,0,1,0,0,0,0
"103",358,0,279,0,0,0,0
"104",395,0,301,1,2,0,1
"105",3,0,3,0,0,0,0
"106",359,0,267,0,0,0,0
"107",303,0,206,0,0,0,0
"108",0,0,1,0,0,0,0
"109",304,0,213,0,0,0,0
"110",480,0,369,0,0,0,0
"111",4,0,2,0,0,0,0
"112",460,0,360,0,0,0,0
"113",0,0,1,0,0,0,0
"114",0,0,1,0,0,0,0
"115",392,0,281,0,0,0,0
"116",0,0,1,0,0,0,0
"117",1,0,1,0,0,0,0
"118",0,0,1,0,0,0,0
"119",0,0,1,0,0,0,0
"120",376,0,316,0,0,0,0
"121",398,0,283,1,0,0,0
"122",366,0,319,0,0,0,0
"123",294,0,240,1,0,0,0
"124",368,0,262,0,0,0,0
"125",0,0,1,0,0,0,0
"126",402,0,307,0,0,0,0
"127",2,0,2,0,0,0,0
"128",0,0,1,0,0,0,0
"129",1,0,1,0,0,0,0
"130",439,0,329,0,0,0,0
"131",352,0,272,0,0,0,0
"132",0,0,1,0,0,0,0
"133",0,0,1,0,0,0,0
"134",438,0,366,0,0,0,0
"135",463,0,364,0,0,0,1
"136",3,0,1,0,0,0,0
"137",0,0,1,0,0,0,0
"138",0,0,0,0,0,0,0
"139",1,0,2,0,0,0,0
"140",486,0,366,0,0,0,0
"141",1,0,1,0,0,0,0
"142",332,0,225,0,0,0,0
"143",364,2,281,0,0,0,0
"144",6,0,4,0,0,0,0
"145",0,0,0,0,0,0,0
"146",1,0,0,0,0,0,0
"147",1,0,1,0,0,0,0
"148",3,0,1,0,0,0,0
"149",391,0,302,0,0,0,0
"150",0,0,1,0,0,0,0
"151",105,0,76,0,0,0,0
"152",417,0,327,0,0,0,0
"153",347,0,265,0,1,0,0
"154",393,0,283,0,0,0,0
"155",0,0,1,0,0,0,0
"156",0,0,1,0,0,0,0
"157",345,0,271,0,0,0,0
"158",0,0,1,0,0,0,0
"159",414,0,314,0,0,0,0
"160",491,0,409,1,0,0,1
"161",357,1,269,0,0,0,0
"162",390,0,306,0,1,0,0
"163",0,0,1,0,0,0,0
"164",0,0,1,0,0,0,0
"165",385,0,269,0,0,0,0
"166",438,0,346,0,0,0,0
"167",359,0,271,0,1,0,0
"168",302,0,214,0,0,0,0
"169",2,0,2,0,0,0,0
"170",0,0,1,0,0,0,0
"171",376,0,290,0,1,0,0
"172",389,0,292,0,0,0,0
"173",0,0,1,0,0,0,0
"174",0,0,2,0,0,0,0
"175",0,0,1,0,0,0,0
"176",15,0,5,0,0,0,0
"177",377,0,277,0,0,0,1
"178",474,0,383,0,0,1,0
"179",0,0,1,0,0,0,0
"180",6,0,2,0,0,0,0
"181",0,0,1,0,0,0,0
"182",0,0,4,0,0,0,0
"183",17,0,10,0,0,0,0
"184",0,0,1,0,0,0,0
"185",386,0,317,0,0,0,0
"186",0,0,1,0,0,0,0
"187",1,0,1,0,0,0,0
"188",1,0,2,0,0,0,0
"189",0,0,2,0,0,0,0
"190",486,0,369,0,0,0,0
"191",261,0,203,0,0,0,0
"192",420,0,357,0,0,1,0
"193",1,0,2,0,0,0,0
"194",380,0,279,0,0,0,0
"195",0,0,1,0,0,0,0
"196",356,0,279,0,0,0,0
"197",4,0,1,0,0,0,0
"198",4,0,4,0,0,0,0
"199",4,0,0,0,0,0,0
"200",0,0,1,0,0,0,0
"201",0,0,1,0,0,0,0
"202",1,0,4,0,0,0,0
"203",444,0,334,0,0,0,0
"204",432,0,338,0,1,0,1
"205",39,0,33,0,0,0,0
"206",437,0,314,0,0,0,0
"207",0,0,1,0,0,0,0
"208",394,0,302,1,0,0,0
"209",358,1,264,0,0,0,0
"210",364,0,290,0,1,0,0
"211",0,0,1,0,0,0,0
"212",0,0,2,0,0,0,0
"213",444,0,348,0,0,0,0
"214",347,0,288,0,0,0,0
"215",0,0,2,0,0,0,0
"216",1,0,1,0,0,0,0
"217",476,1,347,0,0,0,0
"218",0,0,1,0,0,0,0
"219",365,0,267,0,0,0,0
"220",394,0,325,0,0,0,0
"221",452,0,379,0,0,0,0
"222",439,0,348,0,0,0,0
"223",23,0,11,0,0,0,0
"224",431,0,337,1,0,0,0
"225",432,0,343,1,0,0,0
"226",0,0,1,0,0,0,0
"227",0,0,1,0,0,0,0
"228",0,0,1,0,0,0,0
"229",0,0,1,0,0,0,0
"230",216,0,155,0,0,0,0
"231",350,0,265,1,0,0,0
"232",0,0,1,0,0,0,0
"233",3,0,1,0,0,0,0
"234",7,0,8,0,0,0,0
"235",399,0,331,2,1,0,0
"236",0,0,1,0,0,0,0
"237",1,0,1,0,0,0,0
"238",413,0,332,0,0,0,0
"239",1,0,3,0,0,0,0
"240",5,0,5,0,0,0,0
"241",0,0,1,0,0,0,0
"242",2,0,1,0,0,0,0
"243",0,0,1,0,0,0,0
"244",459,0,395,1,0,0,0
"245",392,0,317,1,0,0,0
"246",2,0,3,0,0,0,0
"247",399,0,298,0,0,0,0
"248",448,0,327,1,0,0,0
"249",0,0,1,0,0,0,0
"250",366,0,276,0,1,0,1
"251",0,0,1,0,0,0,0
"252",10,0,6,0,0,0,0
"253",0,0,1,0,0,0,0
"254",1,0,1,0,0,0,0
"255",426,0,354,0,0,0,0
"256",6,0,6,0,0,0,0
"257",1,0,1,0,0,0,0
"258",2,0,2,0,0,0,0
"259",3,0,1,0,0,0,0
"260",3,0,1,0,0,0,0
"261",454,0,359,0,0,0,0
"262",0,0,1,0,0,0,0
"263",328,0,266,0,0,0,0
"264",1,0,1,0,0,0,0
"265",0,0,1,0,0,0,0
"266",0,0,1,0,0,0,0
"267",1,0,2,0,0,0,0
"268",0,0,1,0,0,0,0
"269",0,0,1,0,0,0,0
"270",2,0,2,0,0,0,0
"271",0,0,1,0,0,0,0
"272",3,0,3,0,0,0,0
"273",1,0,1,0,0,0,0
"274",0,0,1,0,0,0,0
"275",379,0,280,0,0,0,0
"276",2,0,2,0,0,0,0
"277",428,0,336,0,0,0,0
"278",6,0,5,0,0,0,0
"279",21,0,13,0,0,0,0
"280",3,0,3,0,0,0,0
"281",0,0,1,0,0,0,0
"282",0,0,1,0,0,0,0
"283",0,0,0,0,0,0,0
"284",339,0,267,0,0,0,0
"285",3,0,3,0,0,0,0
"286",1,0,3,0,0,0,0
"287",4,0,1,0,0,0,0
"288",0,0,1,0,0,0,0
"289",0,0,1,0,0,0,0
"290",0,0,1,0,0,0,0
"291",392,0,293,0,0,0,0
"292",2,0,1,0,0,0,0
"293",450,1,365,0,0,0,0
"294",0,0,1,0,0,0,0
"295",1,0,1,0,0,0,0
"296",393,0,268,0,0,0,0
"297",454,0,350,0,0,0,0
"298",403,0,313,0,0,0,0
"299",395,0,326,0,0,0,0
"300",13,0,12,0,0,0,0
"301",429,0,336,0,0,1,0
"302",9,0,11,0,0,0,0
"303",0,0,1,0,0,0,0
"304",267,0,195,0,0,0,0
"305",3,0,2,0,0,0,0
"306",0,0,2,0,0,0,0
"307",0,0,1,0,0,0,0
"308",0,0,1,0,0,0,0
"309",2,0,4,0,0,0,0
"310",0,0,1,0,0,0,0
"311",0,0,1,0,0,0,0
"312",1,0,1,0,0,0,0
"313",439,0,346,1,0,0,0
"314",3,0,5,0,0,0,0
"315",0,0,1,0,0,0,0
"316",0,0,1,0,0,0,0
"317",422,0,278,0,0,0,0
"318",477,0,354,0,0,0,0
"319",384,0,286,1,0,0,0
"320",0,0,0,0,0,0,0
"321",0,0,1,0,0,0,0
"322",467,0,341,0,0,0,0
"323",2,0,2,0,0,0,0
"324",1,0,2,0,0,0,0
"325",388,0,277,0,0,0,0
"326",400,0,285,0,0,0,0
"327",0,0,1,0,0,0,0
"328",24,0,12,0,0,0,0
"329",0,0,1,0,0,0,0
"330",0,0,1,0,0,0,0
"331",0,0,1,0,0,0,0
"332",454,0,372,0,0,0,0
"333",475,0,361,0,0,0,0
"334",0,0,1,0,0,0,0
"335",0,0,1,0,0,0,0
"336",0,0,1,0,0,0,0
"337",0,0,1,0,0,0,0
"338",0,0,1,0,0,0,0
"339",1,0,2,0,0,0,0
"340",0,0,1,0,0,0,0
"341",413,0,308,0,0,0,0
"342",425,0,357,1,0,0,0
"343",396,0,288,0,0,0,0
"344",409,0,286,0,0,0,0
"345",398,0,311,0,0,0,0
"346",0,0,1,0,0,0,0
"347",323,0,228,0,0,0,0
"348",0,0,1,0,0,0,0
"349",0,0,1,0,0,0,0
"350",8,0,2,0,0,0,0
"351",0,0,1,0,0,0,0
"352",449,0,381,0,0,1,0
"353",0,0,1,0,0,0,0
"354",451,0,351,0,0,0,0
"355",0,0,1,0,0,0,0
"356",1,0,1,0,0,0,0
"357",0,0,1,0,0,0,0
"358",0,0,1,0,0,0,0
"359",2,0,1,0,0,0,0
"360",0,0,1,0,0,0,0
"361",452,0,339,0,1,0,0
"362",0,0,1,0,0,0,0
"363",405,0,305,0,0,0,0
"364",0,0,1,0,0,0,0
"365",401,0,283,0,0,0,0
"366",7,0,6,0,0,0,0
"367",1,0,1,0,0,0,0
"368",0,0,1,0,0,0,0
"369",0,0,1,0,0,0,0
"370",2,0,2,0,0,0,0
"371",0,0,1,0,0,0,0
"372",3,0,1,0,0,0,0
"373",402,1,310,0,0,0,0
"374",432,0,315,0,0,1,0
"375",0,0,1,0,0,0,0
"376",0,0,1,0,0,0,0
"377",0,0,1,0,0,0,0
"378",0,0,2,0,0,0,0
"379",1,0,3,0,0,0,0
"380",0,0,1,0,0,0,0
