"","age1_orange.O","age1_green.O","age2_no_comorbid_orange.O","age2_no_comorbid_green.O","age2_comorbid_green.O","age3_no_comorbid_green.O","age3_comorbid_green.O"
"1",179,16,174,13,19,6,6
"2",171,18,155,19,19,9,10
"3",183,15,175,25,18,8,8
"4",175,1,188,0,1,0,0
"5",166,16,167,19,21,11,8
"6",163,14,164,16,20,5,6
"7",173,15,181,15,17,7,7
"8",178,15,178,21,15,7,11
"9",0,0,1,0,0,0,0
"10",161,11,183,15,17,4,9
"11",162,11,181,21,16,9,6
"12",171,12,167,22,13,4,8
"13",187,11,154,16,15,5,7
"14",175,0,177,0,0,0,0
"15",198,14,188,13,20,6,6
"16",199,9,170,14,9,5,6
"17",189,13,173,14,14,6,7
"18",180,11,186,13,19,7,8
"19",178,0,172,0,0,0,0
"20",192,13,174,16,20,7,6
"21",173,12,156,22,18,9,9
"22",173,15,177,16,15,4,10
"23",169,16,171,22,18,5,6
"24",165,14,159,17,16,6,8
"25",179,14,154,20,14,8,8
"26",185,18,161,16,20,7,8
"27",172,18,182,25,18,6,10
"28",164,17,165,19,22,8,8
"29",157,17,159,17,12,6,5
"30",184,16,156,20,14,4,6
"31",162,14,154,14,15,7,5
"32",176,22,160,18,18,10,10
"33",1,0,0,0,0,0,0
"34",186,16,169,18,17,10,6
"35",168,12,168,20,18,7,10
"36",159,14,168,20,15,6,5
"37",181,16,171,20,17,9,6
"38",152,20,156,14,12,9,10
"39",147,0,169,0,0,0,0
"40",0,0,1,0,0,0,0
"41",175,13,158,12,13,5,7
"42",181,12,167,19,21,6,6
"43",183,22,169,21,20,6,8
"44",167,15,151,17,23,8,8
"45",143,15,159,19,18,5,7
"46",165,11,166,19,16,9,8
"47",0,0,1,0,0,0,0
"48",158,16,189,21,17,8,10
"49",0,0,1,0,0,0,0
"50",172,21,172,15,16,6,9
"51",182,12,182,14,14,5,5
"52",176,15,183,15,14,7,9
"53",191,12,173,16,15,6,5
"54",166,11,158,16,16,5,8
"55",188,16,186,19,15,4,6
"56",178,20,190,16,17,6,7
"57",200,1,161,0,0,0,0
"58",0,0,1,0,0,0,0
"59",157,17,160,21,15,7,9
"60",172,15,166,14,12,7,6
"61",180,18,180,20,20,7,9
"62",193,14,161,12,12,6,8
"63",181,22,197,27,23,11,7
"64",171,13,179,14,13,5,9
"65",151,14,175,16,19,4,6
"66",0,0,1,0,0,0,0
"67",177,14,158,19,15,8,7
"68",169,15,172,23,15,5,8
"69",0,0,1,0,0,0,0
"70",158,0,166,1,0,0,0
"71",158,1,175,1,0,0,0
"72",162,20,187,23,25,6,10
"73",178,22,151,23,19,7,12
"74",181,14,159,20,24,9,10
"75",196,10,183,13,17,6,7
"76",150,13,160,25,21,6,7
"77",175,11,154,19,21,6,8
"78",0,0,1,0,0,0,0
"79",0,0,1,0,0,0,0
"80",184,13,177,21,14,3,5
"81",149,13,155,20,20,10,8
"82",174,16,166,20,17,8,14
"83",173,14,182,15,13,9,9
"84",0,0,1,0,0,0,0
"85",180,13,160,22,22,8,10
"86",164,12,161,21,14,8,7
"87",153,14,163,21,15,6,8
"88",0,0,1,0,0,0,0
"89",179,12,157,12,12,5,5
"90",183,11,174,11,15,5,9
"91",186,15,158,16,17,7,12
"92",189,15,165,16,24,12,8
"93",170,0,179,0,0,0,0
"94",180,14,174,24,18,8,6
"95",174,18,162,11,13,4,8
"96",172,18,169,14,17,8,7
"97",168,13,153,17,14,6,7
"98",210,22,195,19,22,8,7
"99",163,14,165,16,16,8,8
"100",172,0,170,1,0,0,0
"101",169,15,146,15,15,6,9
"102",180,15,171,15,16,8,4
"103",1,0,1,0,0,0,0
"104",0,0,1,0,0,0,0
"105",179,12,184,17,22,7,6
"106",176,0,162,0,0,0,0
"107",171,12,162,20,24,9,7
"108",191,9,163,14,15,7,5
"109",183,18,197,18,14,6,7
"110",159,13,163,16,13,4,8
"111",164,16,153,15,23,13,7
"112",169,14,164,15,17,6,8
"113",173,21,158,17,23,6,7
"114",172,0,167,0,1,0,0
"115",170,0,158,0,0,0,1
"116",171,15,175,19,19,6,6
"117",198,17,164,18,20,7,7
"118",181,9,169,17,16,7,6
"119",159,16,160,20,19,6,8
"120",182,13,156,17,13,6,6
"121",154,11,151,17,24,6,7
"122",181,0,183,0,0,0,0
"123",148,17,171,15,17,5,5
"124",153,17,146,20,22,6,8
"125",0,0,1,0,0,0,0
"126",146,0,170,1,0,1,0
"127",158,1,146,0,0,0,1
"128",172,18,157,24,14,9,8
"129",179,14,171,20,15,9,6
"130",193,15,170,14,21,4,9
"131",0,0,1,0,0,0,0
"132",186,0,165,0,0,0,0
"133",137,16,171,19,15,7,6
"134",182,17,173,17,18,6,8
