"","age1_orange.E","age1_green.E","age2_no_comorbid_orange.E","age2_no_comorbid_green.E","age2_comorbid_green.E","age3_no_comorbid_green.E","age3_comorbid_green.E"
"1",169,0,129,0,0,0,0
"2",159,11,133,11,14,5,10
"3",140,10,135,13,17,7,8
"4",165,12,161,16,17,5,9
"5",155,11,136,12,15,5,10
"6",152,14,151,15,14,6,9
"7",163,8,152,15,17,7,7
"8",129,0,134,0,0,0,0
"9",146,9,146,15,16,8,12
"10",168,10,138,14,18,5,10
"11",0,0,1,0,0,0,0
"12",140,10,131,14,17,7,10
"13",142,10,155,13,18,9,12
"14",0,0,1,0,0,0,0
"15",132,15,138,14,12,6,10
"16",141,14,122,12,18,5,9
"17",157,11,136,17,22,5,7
"18",155,9,120,17,16,5,11
"19",0,0,1,0,0,0,0
"20",157,12,162,10,17,6,11
"21",146,10,136,13,19,7,10
"22",168,13,143,12,18,8,7
"23",142,13,137,10,14,6,11
"24",150,13,131,11,14,6,11
"25",0,0,1,0,0,0,0
"26",141,0,119,0,0,0,0
"27",145,1,137,0,0,0,1
"28",140,10,142,11,20,7,10
"29",147,11,151,16,18,8,11
"30",0,0,1,0,0,0,0
"31",150,14,140,16,18,5,10
"32",164,8,140,15,20,6,11
"33",155,0,142,0,0,1,1
"34",0,0,1,0,0,0,0
"35",154,13,132,15,19,5,12
"36",162,9,134,12,15,6,12
"37",142,1,128,0,0,0,1
"38",148,10,162,14,21,7,10
"39",134,0,137,0,1,0,1
"40",152,13,142,13,16,4,7
"41",134,11,125,10,16,6,7
"42",150,8,143,13,12,6,10
"43",143,13,145,17,18,9,7
"44",157,13,121,17,25,5,12
"45",148,0,130,0,0,0,0
"46",0,0,1,0,0,0,0
"47",147,7,132,15,17,5,12
"48",155,10,159,12,15,5,9
"49",150,12,144,14,14,8,7
"50",139,9,150,11,13,6,11
"51",149,13,124,13,17,4,8
"52",0,0,1,0,0,0,0
"53",136,14,129,19,15,7,9
"54",137,10,146,11,16,5,6
"55",129,11,116,13,16,6,11
"56",138,11,143,10,13,6,13
"57",125,11,132,11,20,7,10
"58",0,0,1,0,0,0,0
"59",158,8,138,16,17,7,10
"60",127,0,140,0,0,0,0
"61",0,0,1,0,0,0,0
"62",131,12,126,10,17,5,10
"63",170,16,149,13,17,7,13
"64",150,10,132,13,16,8,7
"65",142,13,138,13,17,7,13
"66",190,13,143,11,16,7,8
"67",153,15,138,15,17,8,9
"68",0,0,1,0,0,0,0
"69",0,0,1,0,0,0,0
"70",136,13,128,13,14,6,7
"71",164,1,139,0,0,0,0
"72",155,9,137,10,16,4,10
"73",153,11,148,16,18,7,9
"74",153,11,143,12,15,9,12
"75",150,14,140,16,20,7,12
"76",165,7,145,11,20,5,12
"77",153,11,143,13,14,8,9
"78",0,0,1,0,0,0,0
"79",134,10,139,12,19,8,9
"80",141,9,135,17,15,8,8
"81",157,14,141,14,16,7,11
"82",158,10,144,18,20,5,10
"83",0,0,1,0,0,0,0
"84",174,7,147,12,15,8,11
"85",155,0,151,0,0,0,0
"86",133,13,141,14,16,7,8
"87",146,10,138,12,19,6,8
"88",0,0,1,0,0,0,0
"89",132,14,111,13,15,6,9
"90",135,13,120,17,18,6,7
"91",173,0,145,1,0,1,0
"92",170,8,144,12,25,5,11
"93",141,0,129,0,0,0,1
"94",139,14,140,17,17,10,10
"95",0,0,1,0,0,0,0
"96",146,10,149,13,14,7,10
"97",138,9,144,14,16,6,8
"98",183,12,143,12,18,6,9
"99",0,0,1,0,0,0,0
"100",132,9,125,13,14,8,9
"101",0,0,1,0,0,0,0
"102",146,10,140,18,17,4,10
"103",147,14,134,12,17,10,11
"104",0,0,1,0,0,0,0
"105",0,0,1,0,0,0,0
"106",157,15,148,10,18,6,10
"107",150,10,136,14,16,8,11
"108",153,0,140,1,1,0,0
"109",139,0,132,0,0,0,0
"110",148,13,136,17,17,8,10
"111",164,15,150,13,17,10,9
"112",151,9,130,14,17,7,7
"113",164,13,133,12,16,5,8
"114",156,13,146,13,21,9,8
"115",150,9,149,12,16,9,9
"116",0,0,1,0,0,0,0
"117",141,16,126,19,29,5,10
"118",151,7,160,12,12,5,9
"119",130,0,128,0,0,0,0
"120",124,9,128,14,24,5,8
"121",137,12,148,10,16,5,11
"122",149,14,122,14,16,5,9
"123",0,0,1,0,0,0,0
"124",150,10,141,17,16,6,13
"125",165,10,149,11,15,8,11
"126",144,11,137,13,23,6,14
"127",139,0,139,0,0,0,0
"128",142,10,141,14,16,8,7
"129",138,15,140,14,16,6,14
"130",152,13,166,17,19,5,12
"131",152,8,121,13,17,7,10
"132",132,12,140,11,17,7,10
"133",156,11,165,13,14,6,9
"134",133,10,162,13,19,7,11
"135",142,8,145,12,12,10,11
"136",0,0,1,0,0,0,0
"137",141,12,124,8,13,5,10
"138",134,10,134,11,15,5,6
"139",160,0,150,0,1,0,0
"140",157,8,154,15,20,6,10
"141",129,12,140,19,21,7,10
"142",147,10,128,16,11,4,8
"143",157,11,147,11,17,6,11
"144",139,0,124,0,1,0,1
"145",0,0,1,0,0,0,0
"146",151,10,137,18,20,8,11
"147",129,8,129,8,14,4,7
"148",169,11,159,14,16,7,11
"149",137,9,140,15,13,6,13
"150",151,14,126,13,22,7,19
"151",161,9,145,11,22,7,10
"152",124,7,131,8,10,6,10
"153",123,10,117,10,13,6,7
"154",0,0,1,0,0,0,0
"155",0,0,1,0,0,0,0
"156",158,11,175,18,15,8,12
"157",145,12,133,19,20,9,7
"158",122,11,123,18,15,9,10
"159",135,11,138,13,19,6,10
"160",143,12,140,14,20,8,11
"161",125,10,141,16,19,6,9
"162",154,15,129,12,17,7,10
"163",132,12,138,15,17,6,10
"164",152,12,159,19,16,7,8
"165",150,10,139,13,16,7,12
"166",153,12,138,13,15,7,8
"167",153,0,140,0,1,0,0
"168",142,15,139,17,17,10,10
"169",153,10,163,16,16,6,10
"170",136,13,134,17,18,8,7
"171",151,15,144,17,23,8,11
"172",150,6,149,14,11,3,6
"173",154,10,135,18,20,4,11
"174",142,11,136,17,16,5,8
"175",139,0,130,1,0,0,0
"176",132,0,131,0,0,0,0
"177",173,13,146,12,14,6,12
"178",147,1,126,0,0,0,0
"179",150,9,131,11,16,6,11
"180",162,8,162,11,14,10,6
"181",143,9,134,12,14,6,10
"182",137,11,142,10,16,7,7
"183",166,9,144,19,19,8,12
"184",147,11,143,11,20,5,12
"185",157,11,143,11,15,8,9
"186",153,12,164,12,20,5,12
"187",159,11,141,17,19,8,9
"188",145,1,149,0,0,0,0
"189",133,12,143,13,12,4,9
"190",154,11,142,12,15,4,8
"191",172,11,157,12,16,8,8
"192",130,14,129,12,17,9,10
"193",141,10,137,12,14,6,8
"194",149,0,137,0,0,0,0
"195",145,0,146,0,0,0,0
"196",148,8,139,12,14,5,8
"197",154,16,120,15,20,4,10
"198",0,0,1,0,0,0,0
"199",138,12,139,9,16,8,9
"200",149,12,141,15,20,4,11
"201",146,10,133,13,17,9,9
"202",0,0,1,0,0,0,0
"203",152,10,172,11,18,6,10
"204",156,10,135,11,13,8,7
"205",140,12,149,14,15,8,8
"206",128,11,136,12,16,6,11
"207",161,0,134,0,1,0,0
"208",141,9,144,9,9,5,7
"209",145,14,161,9,23,8,8
"210",0,0,1,0,0,0,0
"211",153,9,131,15,21,4,7
"212",139,8,147,11,17,4,8
"213",158,8,155,10,16,8,8
"214",146,9,139,12,15,5,9
"215",152,0,120,0,0,0,0
"216",143,0,135,0,0,0,1
"217",0,0,1,0,0,0,0
"218",166,0,146,0,0,0,0
"219",149,13,132,14,17,7,8
"220",146,11,150,12,19,5,10
"221",169,9,157,12,16,5,11
"222",0,0,1,0,0,0,0
"223",155,10,138,12,15,7,11
"224",157,12,130,17,14,8,9
"225",158,0,152,0,0,0,0
"226",137,14,124,12,14,5,9
"227",167,9,163,9,14,5,7
"228",0,0,1,0,0,0,0
"229",133,10,118,17,14,7,10
"230",164,14,130,17,13,6,9
"231",0,0,1,0,0,0,0
"232",164,10,133,14,15,7,8
"233",132,9,123,12,16,8,8
"234",157,13,143,13,14,3,8
"235",142,0,139,0,0,0,0
"236",174,9,167,17,22,6,8
"237",162,11,128,12,18,7,12
"238",0,0,1,0,0,0,0
"239",128,0,151,0,0,0,0
"240",175,12,143,13,16,8,9
"241",153,14,146,16,15,7,12
"242",131,8,131,11,19,5,7
"243",146,13,163,12,17,7,11
"244",125,12,141,12,15,6,13
"245",156,11,156,10,13,6,12
"246",0,0,1,0,0,0,0
"247",172,9,158,11,15,5,7
"248",150,9,140,9,16,6,9
"249",138,8,119,13,14,5,8
"250",165,15,150,13,15,5,9
"251",131,0,151,1,0,0,0
"252",128,11,133,11,13,6,12
"253",143,13,132,15,15,6,10
"254",150,10,146,11,13,7,11
"255",150,0,125,1,0,0,0
"256",151,6,136,7,11,5,11
"257",136,12,145,11,18,7,12
"258",134,13,156,20,20,6,10
"259",147,10,139,12,16,4,8
"260",160,10,149,14,14,7,7
"261",140,12,149,14,14,6,10
"262",139,11,126,16,18,5,10
"263",155,11,132,12,16,10,8
"264",1,0,1,0,0,0,0
"265",162,9,154,12,20,7,11
"266",158,11,144,15,16,5,12
"267",125,13,149,12,15,6,11
"268",0,0,1,0,0,0,0
"269",0,0,1,0,0,0,0
"270",157,12,139,12,16,7,8
"271",146,10,152,12,15,5,10
"272",161,15,127,10,15,8,8
"273",138,13,127,14,17,7,8
"274",147,11,126,11,14,7,10
"275",143,13,141,12,17,5,9
"276",153,11,149,13,16,4,7
"277",156,15,148,11,18,7,11
"278",138,0,137,0,0,0,0
"279",147,11,151,16,18,8,9
"280",172,12,141,15,19,7,13
"281",0,0,1,0,0,0,0
"282",121,10,127,13,19,4,10
"283",0,0,1,0,0,0,0
"284",127,10,139,12,17,6,11
"285",157,15,149,11,14,5,8
"286",138,12,126,7,15,8,7
"287",150,0,120,0,1,1,0
"288",166,11,139,13,16,8,9
"289",144,10,123,13,13,6,11
"290",171,10,138,17,20,6,8
"291",134,16,152,17,27,7,11
"292",147,13,152,14,15,5,7
"293",138,13,136,12,13,7,10
"294",163,12,145,13,16,7,12
"295",144,10,158,13,16,5,10
"296",131,14,120,16,13,5,8
"297",152,12,144,11,19,7,9
"298",148,11,139,11,15,8,9
"299",160,10,159,9,16,5,9
"300",145,10,122,12,15,6,10
"301",148,13,155,13,20,8,9
"302",157,13,153,13,12,6,7
"303",141,12,132,16,17,7,11
