"","age1_orange.I","age1_green.I","age2_no_comorbid_orange.I","age2_no_comorbid_green.I","age2_comorbid_green.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"1",71,0,74,0,0,0,0
"2",55,4,79,8,16,7,13
"3",58,6,60,7,15,5,9
"4",71,4,68,9,17,7,21
"5",73,9,69,8,15,9,10
"6",67,6,75,6,14,6,8
"7",56,7,71,8,16,5,13
"8",58,0,73,0,0,0,0
"9",66,7,70,10,15,5,17
"10",67,9,68,7,23,8,9
"11",0,0,0,0,0,0,0
"12",48,3,62,9,17,5,12
"13",63,12,57,4,18,8,14
"14",0,0,0,0,0,0,0
"15",69,9,64,5,13,4,9
"16",69,5,71,7,18,5,9
"17",67,4,63,6,20,6,9
"18",59,6,53,10,14,4,10
"19",0,0,0,0,0,0,0
"20",70,6,64,7,12,5,11
"21",64,9,62,11,21,6,14
"22",57,10,71,6,17,5,11
"23",66,4,67,7,17,5,9
"24",62,5,66,5,12,8,9
"25",0,0,0,0,0,0,0
"26",67,0,59,0,0,0,0
"27",56,0,63,0,0,0,0
"28",70,7,70,7,19,6,11
"29",67,6,69,6,14,6,17
"30",0,0,0,0,0,0,0
"31",58,9,69,9,14,6,11
"32",60,5,63,9,15,6,9
"33",72,0,52,0,0,0,0
"34",0,0,0,0,0,0,0
"35",67,7,74,10,13,7,13
"36",68,6,55,5,21,5,13
"37",64,0,70,0,0,0,1
"38",76,7,64,10,13,5,15
"39",60,0,63,0,1,0,1
"40",57,7,59,12,12,5,11
"41",60,6,70,10,15,4,10
"42",80,7,65,7,14,5,10
"43",68,5,57,6,16,7,11
"44",60,4,62,8,18,9,12
"45",53,0,57,0,0,0,0
"46",0,0,0,0,0,0,0
"47",70,9,59,12,16,8,11
"48",60,4,71,5,15,7,8
"49",74,8,76,8,16,7,9
"50",77,4,64,8,17,6,13
"51",62,9,59,6,19,5,10
"52",0,0,0,0,0,0,0
"53",55,10,66,6,18,6,12
"54",66,4,48,5,18,3,12
"55",80,7,62,5,16,4,11
"56",68,6,72,8,15,4,13
"57",62,5,53,6,18,7,12
"58",0,0,0,0,0,0,0
"59",47,5,69,6,18,6,8
"60",69,0,60,0,0,0,0
"61",0,0,0,0,0,0,0
"62",66,7,54,9,13,6,11
"63",58,7,62,7,14,8,9
"64",53,5,72,7,17,4,10
"65",71,8,72,9,20,6,17
"66",63,8,65,8,18,4,12
"67",65,3,60,5,22,8,12
"68",0,0,0,0,0,0,0
"69",0,0,0,0,0,0,0
"70",58,7,62,11,13,10,12
"71",67,0,80,0,0,0,0
"72",67,6,64,9,15,5,9
"73",67,5,63,6,18,9,9
"74",56,7,60,10,20,7,14
"75",67,8,69,9,16,6,16
"76",59,10,69,6,19,7,10
"77",69,5,66,5,14,6,11
"78",0,0,0,0,0,0,0
"79",65,7,66,8,20,4,11
"80",63,6,67,8,17,5,7
"81",67,6,67,6,18,5,12
"82",74,7,64,8,20,4,13
"83",0,0,0,0,0,0,0
"84",68,9,66,9,16,5,10
"85",60,0,67,0,0,0,0
"86",54,6,55,11,16,7,13
"87",60,5,52,7,15,5,11
