"","age1_orange.S","age1_green.S","age2_no_comorbid_orange.S","age2_no_comorbid_green.S","age2_comorbid_green.S","age3_no_comorbid_green.S","age3_comorbid_green.S"
"1",6.56519540977851,0,11.1630196645886,0,0,0,0
"2",0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0
"7",239.744502103647,0,246.554736607911,0,0,0,0
"8",0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0
"10",3.80267880632728,0,1.36174719543553,0,0,0,0
"11",0,0,0,0,0,0,0
"12",185.122075254441,0,178.990725752143,0,0,0,0
"13",249.352904631384,0,249.169943765603,0,0,0,0
"14",0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0
"17",32.3583358331661,0,29.7303908099481,0,0,0,0
"18",0,0,0,0,0,0,0
"19",23.1907270196037,0,13.8514669850434,0,0,0,0
"20",0,0,0,0,0,0,0
"21",4.91499266303807,0,5.03692350545858,0,0,0,0
"22",29.3280598435549,0,40.1837596552683,0,0,0,0
"23",5.90946553097207,0,3.54210280591488,0,0,0,0
"24",0,0,0,0,0,0,0
"25",67.186487219356,0,63.6002160088587,0,0,0,0
"26",40.407611959095,0,36.5317812912289,0,0,0,0
"27",0,0,0,0,0,0,0
"28",168.607082623775,0,176.339505000809,0,0,0,0
"29",0,0,0,0,0,0,0
"30",38.934270182724,0,42.0832718668361,0,0,0,0
"31",0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0
"33",108.388338562276,0,129.290723429805,0,0,0,0
"34",0,0,0,0,0,0,0
"35",218.798757916799,0,213.251749628118,0,0,0,0
"36",9.58793951163105,0,14.5681352342165,0,0,0,0
"37",14.2400013701416,0,10.5475165896845,0,0,0,0
"38",10.6331789929414,0,12.4582510973673,0,0,0,0
"39",0,0,0,0,0,0,0
"40",7.58542760752244,0,0,0,0,0,0
"41",0,0,0,0,0,0,0
"42",216.379587941464,0,216.39295023815,0,0,0,0
"43",0,0,0,0,0,0,0
"44",232.199991839337,0,228.769698179344,0,0,0,0
"45",0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0
"50",126.063195633052,0,131.15027975195,0,0,0,0
"51",0,0,0,0,0,0,0
"52",0,0,0,0,0,0,0
"53",0,0,0,0,0,0,0
"54",3.42163848916808,0,0,0,0,0,0
"55",0,0,14.5178674326563,0,0,0,0
"56",0,0,0,0,0,0,0
"57",12.8435864167289,0,1.10861291064837,0,0,0,0
"58",0,0,0,0,0,0,0
"59",0,0,0.949638877636172,0,0,0,0
"60",5.9881140109492,0,0,0,0,0,0
"61",0,0,1.13915089207266,0,0,0,0
"62",240.815689400718,0,240.847256581691,0,0,0,0
"63",0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0
"65",166.566183038943,0,179.531400292138,0,0,0,0
"66",18.4548543263541,0,32.2279553227834,0,0,0,0
"67",0,0,0,0,0,0,0
"68",201.783585794581,0,205.013103519002,0,0,0,0
"69",1.44130687520326,0,0,0,0,0,0
"70",0,0,0,0,0,0,0
"71",190.011546757718,0,184.123149885742,0,0,0,0
"72",169.732995296317,0,163.834880736221,0,0,0,0
"73",4.97942221894387,0,0,0,0,0,0
"74",0,0,0,0,0,0,0
"75",2.20155880127417,0,0,0,0,0,0
"76",0,0,0,0,0,0,0
"77",0,0,0,0,0,0,0
"78",0,0,0,0,0,0,0
"79",0,0,0,0,0,0,0
"80",0,0,0,0,0,0,0
"81",11.2708381434545,0,14.8940650822416,0,0,0,0
"82",49.4689815321999,0,46.626086772568,0,0,0,0
"83",11.4334752149151,0,10.1717523816533,0,0,0,0
"84",0,0,0,0,0,0,0
"85",0,0,0,0,0,0,0
"86",0,0,4.76118704374257,0,0,0,0
"87",31.217854694906,0,29.5374866562753,0,0,0,0
"88",116.841534298505,0,130.91903481057,0,0,0,0
"89",0,0,0,0,0,0,0
"90",0,0,6.7852385585271,0,0,0,0
"91",0,0,0,0,0,0,0
"92",0,0,0,0,0,0,0
"93",35.45798238764,0,36.1483285133323,0,0,0,0
"94",0,0,0,0,0,0,0
"95",21.7929053728156,0,34.2732867727505,0,0,0,0
"96",0,0,0,0,0,0,0
"97",0,0,0,0,0,0,0
"98",0,0,3.87934912205122,0,0,0,0
"99",5.37515611508674,0,0,0,0,0,0
"100",0,0,0,0,0,0,0
"101",8.72345181198658,0,0,0,0,0,0
"102",290.484746844565,0,275.441528383119,0,0,0,0
"103",0,0,8.94754332686872,0,0,0,0
"104",26.4629030296699,0,9.02995215016623,0,0,0,0
"105",0,0,0,0,0,0,0
"106",0,0,0,0,0,0,0
"107",0,0,0,0,0,0,0
"108",215.118791764829,0,181.900929864428,0,0,0,0
"109",0,0,0,0,0,0,0
"110",0,0,0,0,0,0,0
"111",0,0,0,0,0,0,0
"112",167.632479622476,0,159.520133739856,0,0,0,0
"113",0,0,0,0,0,0,0
"114",0,0,0,0,0,0,0
"115",0,0,0,0,0,0,0
"116",0,0,0,0,0,0,0
"117",0,0,3.34692701481822,0,0,0,0
"118",0,0,0,0,0,0,0
"119",178.842851278135,0,186.492381295179,0,0,0,0
"120",0,0,0,0,0,0,0
"121",0,0,0,0,0,0,0
"122",0,0,0,0,0,0,0
"123",131.558849237951,0,139.121942008919,0,0,0,0
"124",126.224017669165,0,123.263603397345,0,0,0,0
"125",21.0902082234703,0,18.903609834836,0,0,0,0
"126",15.8923215606834,0,9.51321320028283,0,0,0,0
"127",10.148084192349,0,7.97049372035338,0,0,0,0
"128",3.67286952011258,0,0,0,0,0,0
"129",0,0,0,0,0,0,0
"130",124.715233188242,0,124.042279092459,0,0,0,0
"131",4.30302471261084,0,0,0,0,0,0
"132",0,0,0,0,0,0,0
"133",232.575966149255,0,235.409800648752,0,0,0,0
"134",11.4999514222805,0,4.74897417685304,0,0,0,0
"135",37.7103942832496,0,0,0,0,0,0
"136",6.80430342709096,0,0,0,0,0,0
"137",178.967910166989,0,171.687138305263,0,0,0,0
"138",0,0,0,0,0,0,0
"139",24.9428170752297,0,22.3180788042089,0,0,0,0
"140",0,0,0,0,0,0,0
"141",0,0,0,0,0,0,0
"142",5.84951659352424,0,10.4140164076782,0,0,0,0
"143",0,0,0,0,0,0,0
"144",146.800032890478,0,149.306748027616,0,0,0,0
"145",0,0,0,0,0,0,0
"146",0,0,0,0,0,0,0
"147",0,0,0,0,0,0,0
"148",191.788657608524,0,192.7710165771,0,0,0,0
"149",30.7898041608892,0,67.5202321757928,0,0,0,0
"150",0,0,0,0,0,0,0
"151",13.3955276079552,0,3.71300999102486,0,0,0,0
"152",9.48591932836769,0,0,0,0,0,0
"153",3.96253392653035,0,0,0,0,0,0
"154",0,0,0,0,0,0,0
"155",109.474657601716,0,109.043519448066,0,0,0,0
"156",1.04248408619402,0,26.1443512529628,0,0,0,0
"157",94.2857870537685,0,80.7403070735468,0,0,0,0
"158",226.683473490707,0,231.266873300469,0,0,0,0
"159",1.89079297236974,0,0,0,0,0,0
"160",0,0,0,0,0,0,0
"161",0,0,4.01021095332878,0,0,0,0
"162",0,0,0,0,0,0,0
"163",0,0,3.63822748150398,0,0,0,0
"164",0,0,0,0,0,0,0
"165",6.48577403286098,0,10.2823629465886,0,0,0,0
"166",19.2423594679922,0,7.95746928336911,0,0,0,0
"167",0,0,1.35938519094189,0,0,0,0
"168",8.52358500808819,0,0,0,0,0,0
"169",7.47778166138952,0,0,0,0,0,0
"170",0,0,0,0,0,0,0
"171",17.0695795016603,0,16.2870339475696,0,0,0,0
"172",0,0,3.08853329235707,0,0,0,0
"173",214.841117499403,0,207.761129226558,0,0,0,0
"174",18.0381218869328,0,22.3517741720491,0,0,0,0
"175",0,0,0,0,0,0,0
"176",0,0,0,0,0,0,0
"177",118.853233333584,0,112.805061796168,0,0,0,0
"178",0,0,0,0,0,0,0
"179",7.61493954977748,0,2.90267418274064,0,0,0,0
"180",0,0,0,0,0,0,0
"181",26.4783912479826,0,24.6500172428894,0,0,0,0
"182",32.2318227103171,0,31.4592740546249,0,0,0,0
"183",0,0,0,0,0,0,0
"184",0,0,0,0,0,0,0
"185",14.9693835995838,0,0,0,0,0,0
"186",354.990253974016,0,350.617076926354,0,0,0,0
"187",154.069204937728,0,154.293499678581,0,0,0,0
"188",0,0,20.9158540842656,0,0,0,0
"189",0,0,0,0,0,0,0
"190",0,0,0,0,0,0,0
"191",0,0,0,0,0,0,0
"192",8.78044666058025,0,10.3497199769518,0,0,0,0
"193",0,0,0,0,0,0,0
"194",18.4541423406451,0,42.6708944517526,0,0,0,0
"195",0,0,0,0,0,0,0
"196",0,0,0,0,0,0,0
"197",10.0643893670218,0,0,0,0,0,0
"198",18.033700460457,0,23.5333344026294,0,0,0,0
"199",0,0,0,0,0,0,0
"200",0,0,0,0,0,0,0
"201",0,0,0,0,0,0,0
"202",0,0,0,0,0,0,0
"203",7.84799244675238,0,8.38224052879075,0,0,0,0
"204",14.9946381040043,0,11.3364190227863,0,0,0,0
"205",135.198047626575,0,120.560539576421,0,0,0,0
"206",0,0,0,0,0,0,0
"207",0,0,0,0,0,0,0
"208",0,0,0,0,0,0,0
"209",0,0,0,0,0,0,0
"210",0,0,0,0,0,0,0
"211",218.082674023205,0,220.276226940791,0,0,0,0
"212",0,0,0,0,0,0,0
"213",0,0,0,0,0,0,0
"214",11.5626899746422,0,4.05342648586822,0,0,0,0
"215",17.476483686058,0,18.4908392472899,0,0,0,0
"216",0,0,0,0,0,0,0
"217",96.9583397465739,0,104.657491320703,0,0,0,0
"218",138.846801530287,0,143.983602843664,62.7835027684504,63.2185039518951,0,45.7446688319907
"219",4.3570448131771,0,4.77810963303014,0,0,0,0
"220",110.735864199907,0,113.282999905606,0,0,0,0
"221",130.227169398401,0,119.746881766398,0,0,0,0
"222",6.9031918135137,0,5.33726255558603,0,0,0,0
"223",0,0,0,0,0,0,0
"224",0.392706539707502,0,0,0,0,0,0
"225",0,0,0,0,0,0,0
"226",0,0,0,0,0,0,0
"227",57.3716265075778,0,55.1883732419258,0,0,0,0
"228",0,0,0,0,0,0,0
"229",0,0,0,0,0,0,0
"230",234.476325413753,0,235.473079506965,0,0,0,0
"231",0,0,0,0,0,0,0
"232",0,0,0,0,0,0,0
"233",36.8296296951225,0,35.7729291176781,0,0,0,0
"234",3.08574949910274,0,2.18641128428679,0,0,0,0
"235",0,0,0,0,0,0,0
"236",5.70716062191467,0,5.68720751255037,0,0,0,0
"237",10.6661316658742,0,0,0,0,0,0
"238",0,0,0,0,0,0,0
"239",3.83225902105672,0,0,0,0,0,0
"240",2.34715355722436,0,0,0,0,0,0
"241",19.2119635432259,0,0,0,0,0,0
"242",210.2872513089,0,210.521899101864,0,0,0,0
"243",10.6883230727053,0,5.54458521407939,0,0,0,0
"244",0,0,0,0,0,0,0
"245",0,0,0,0,0,0,0
"246",0,0,0,0,0,0,0
"247",0,0,0,0,0,0,0
"248",1.32219773584334,0,8.02855535278355,0,0,0,0
"249",0,0,6.92942633935623,0,0,0,0
"250",0,0,0,0,0,0,0
"251",92.526268693701,0,82.0741908567125,0,0,0,0
"252",0,0,0,0,0,0,0
"253",3.53221540562842,0,10.0345595271976,0,0,0,0
"254",51.0001863151656,0,44.7164508689558,0,0,0,0
"255",208.730879496012,0,213.139451629216,0,0,0,0
"256",10.1449218880949,0,10.1756504672186,0,0,0,0
"257",0,0,0,0,0,0,0
"258",0,0,0,0,0,0,0
"259",0,0,0,0,0,0,0
"260",50.194503358214,0,50.297486103767,0,0,0,0
"261",0,0,0,0,0,0,0
"262",0,0,1.92766125068312,0,0,0,0
"263",45.4456610027936,0,52.2254129507407,0,0,0,0
"264",8.9582014281404,0,8.92302885409909,0,0,0,0
"265",18.5300423711078,0,18.521218908302,0,0,0,0
"266",12.2402046005311,0,13.2357634555547,0,0,0,0
"267",0,0,0,0,0,0,0
"268",0,0,0,0,0,0,0
"269",6.18002841519728,0,9.23981865428357,0,0,0,0
"270",4.2646581120282,0,5.27064983425754,0,0,0,0
"271",101.411496542644,0,97.7509337608767,0,0,0,0
"272",302.857144117702,0,313.103243840991,0,0,0,0
"273",0,0,0,0,0,0,0
"274",108.000838836627,0,101.064958884385,0,0,0,0
