"","age1_orange.I","age1_green.I","age2_no_comorbid_orange.I","age2_no_comorbid_green.I","age2_comorbid_green.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"1",63,0,55,0,0,0,0
"2",51,5,54,7,10,5,6
"3",58,0,55,0,0,0,0
"4",56,5,47,5,10,5,5
"5",52,6,56,7,18,4,11
"6",66,3,76,3,8,4,6
"7",0,0,1,0,0,0,0
"8",0,0,1,0,0,0,0
"9",52,0,56,0,0,0,0
"10",49,7,50,6,18,4,7
"11",68,0,52,0,0,0,0
"12",47,7,61,4,15,5,9
"13",60,0,62,0,0,0,0
"14",0,0,0,0,0,0,0
"15",52,4,57,4,13,6,7
"16",70,7,58,6,13,5,5
"17",54,7,62,7,12,5,8
"18",57,0,47,0,0,0,0
"19",53,6,52,7,12,5,11
"20",53,5,50,8,13,4,8
"21",54,0,44,0,0,0,0
"22",59,5,62,4,16,5,7
"23",61,0,57,0,0,0,0
"24",63,0,53,0,0,0,0
"25",66,0,51,0,0,0,0
"26",48,0,53,0,0,0,0
"27",53,6,75,5,14,6,8
"28",52,6,57,5,10,4,7
"29",46,5,51,4,15,2,9
"30",57,0,60,0,0,0,0
"31",55,0,54,0,0,0,0
"32",0,0,0,0,0,0,0
"33",53,5,58,5,11,4,7
"34",74,0,57,0,0,0,0
"35",0,0,0,0,0,0,0
"36",60,0,52,0,0,0,0
"37",61,0,64,0,0,0,0
"38",52,5,57,5,9,6,9
"39",58,0,59,0,0,0,0
"40",57,3,64,4,19,4,7
"41",57,0,59,0,0,0,1
"42",0,0,0,0,0,0,0
"43",56,1,57,0,1,0,0
"44",47,0,51,0,0,0,0
"45",64,0,51,0,0,1,0
"46",53,0,38,0,0,0,0
"47",0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0
"49",63,6,58,8,10,3,8
"50",53,8,58,7,15,5,10
"51",52,0,56,0,0,0,0
"52",62,4,60,7,11,5,9
"53",0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0
"55",49,0,58,0,0,0,0
"56",54,0,58,0,0,0,0
"57",72,8,54,6,15,3,6
"58",46,0,53,0,1,0,0
"59",0,0,0,0,0,0,0
"60",50,4,55,3,8,4,6
"61",49,0,50,0,0,0,0
"62",50,8,50,10,14,4,8
"63",53,0,51,0,0,0,0
"64",56,0,55,0,0,0,0
"65",66,7,49,7,11,4,7
"66",58,3,49,4,9,3,5
"67",55,0,67,0,0,0,0
"68",53,0,50,0,0,0,0
"69",52,0,54,0,0,0,1
"70",47,5,42,3,14,6,8
"71",0,0,0,0,0,0,0
"72",57,0,58,0,0,0,0
"73",57,0,51,0,0,0,0
"74",0,0,0,0,0,0,0
"75",56,0,52,0,0,0,0
"76",46,0,54,0,0,0,0
"77",60,0,57,0,0,0,0
"78",0,0,0,0,0,0,0
"79",46,0,53,0,0,0,0
"80",63,0,63,1,0,0,0
"81",71,10,66,10,15,5,9
"82",49,8,47,8,19,4,11
"83",49,0,61,0,0,0,0
"84",42,0,57,0,0,0,0
"85",47,6,57,4,12,3,8
"86",55,7,61,5,15,6,8
"87",59,0,58,0,0,0,0
"88",0,0,0,0,0,0,0
"89",55,3,58,5,11,4,9
"90",0,0,0,0,0,0,0
"91",50,6,58,3,15,5,9
"92",55,0,60,0,0,0,0
"93",63,0,57,0,0,0,0
"94",65,0,70,0,0,0,0
"95",0,0,0,0,0,0,0
"96",61,4,50,8,11,9,7
"97",60,6,56,6,15,3,6
"98",0,0,0,0,0,0,0
"99",50,4,48,3,12,3,9
"100",56,0,52,0,0,0,0
"101",39,3,48,3,16,2,11
"102",53,0,48,0,0,0,0
"103",59,6,59,10,13,7,11
"104",47,1,46,0,0,0,0
"105",53,3,63,5,14,5,5
"106",51,0,56,0,0,0,0
"107",58,0,67,0,0,0,0
"108",62,10,47,5,17,5,9
"109",56,0,49,0,0,0,0
"110",60,6,41,5,12,6,10
"111",1,0,0,0,0,0,0
"112",43,4,54,7,12,2,9
"113",61,5,50,11,9,9,8
"114",58,0,44,0,0,0,0
"115",0,0,0,0,0,0,0
"116",57,0,63,0,0,0,0
"117",0,0,0,0,0,0,0
"118",52,0,62,0,0,0,0
"119",47,6,51,7,15,4,8
"120",62,5,64,7,15,4,10
"121",59,4,56,6,14,4,14
"122",59,0,60,0,0,0,0
"123",0,0,0,0,0,0,0
"124",49,0,70,0,0,0,0
"125",0,0,0,0,0,0,0
"126",0,0,0,0,0,0,0
"127",0,0,0,0,0,0,0
"128",53,3,48,7,13,5,5
"129",60,6,48,6,12,5,10
"130",0,0,0,0,0,0,0
"131",48,0,54,0,0,0,0
"132",56,0,57,0,0,0,0
"133",58,0,58,0,0,0,0
"134",67,0,50,0,0,0,0
"135",42,0,59,0,0,0,0
"136",0,0,0,0,0,0,0
"137",48,0,61,0,0,0,0
"138",61,7,54,9,16,7,7
"139",47,0,56,0,0,0,0
"140",68,0,64,0,0,0,0
"141",0,0,0,0,0,0,0
"142",53,0,56,0,1,0,1
"143",57,0,49,0,0,0,0
"144",49,0,63,0,0,0,0
"145",0,0,0,0,0,0,0
"146",62,5,53,5,14,4,6
"147",49,1,65,1,1,0,0
"148",67,0,52,0,1,0,0
"149",0,0,0,0,0,0,0
"150",60,5,43,5,17,7,8
"151",54,8,50,6,9,4,6
"152",50,0,48,0,2,0,0
"153",0,0,0,0,0,0,0
"154",55,0,45,0,0,0,0
"155",0,0,0,0,0,0,0
"156",75,3,52,7,11,4,9
"157",54,6,53,7,17,3,10
"158",53,5,49,6,11,4,6
"159",58,6,46,9,14,6,8
"160",58,4,51,10,14,5,10
"161",48,0,51,1,0,0,0
"162",45,4,47,7,9,5,6
"163",38,4,46,8,12,4,9
"164",63,5,55,8,13,5,10
"165",58,6,53,5,16,4,10
"166",57,0,61,0,0,0,0
"167",49,0,46,0,0,0,0
"168",61,0,71,0,0,0,0
"169",70,8,56,7,15,5,8
"170",0,0,0,0,0,0,0
"171",0,0,1,0,0,0,0
"172",50,4,45,4,10,4,5
"173",47,4,64,8,9,5,8
"174",59,5,52,4,10,3,7
"175",67,3,48,6,11,6,4
"176",67,0,60,0,0,0,0
"177",62,0,64,0,0,0,0
"178",0,0,0,0,0,0,0
"179",52,4,51,5,14,5,9
"180",52,5,59,3,15,4,9
"181",55,5,55,7,13,5,10
"182",66,4,54,3,10,3,4
"183",63,7,62,9,12,6,8
"184",45,0,58,0,0,0,0
"185",51,6,59,7,12,4,8
"186",63,0,64,0,0,0,0
"187",59,0,69,0,0,0,0
"188",62,0,60,0,0,0,0
"189",55,0,46,0,0,0,0
"190",51,3,61,6,12,6,8
"191",64,4,53,5,15,6,12
"192",60,5,53,5,14,5,5
"193",50,9,54,5,16,5,10
"194",54,7,54,6,18,4,7
"195",51,0,51,0,0,0,0
"196",64,4,50,7,8,4,7
"197",59,0,51,0,0,0,0
"198",62,0,65,0,0,0,1
"199",59,0,51,0,0,0,0
"200",60,6,64,4,10,3,15
"201",50,0,53,0,0,1,0
"202",57,6,64,7,14,4,8
"203",53,1,52,0,1,1,1
"204",55,0,71,0,0,0,0
"205",49,0,59,0,0,0,0
"206",54,0,70,0,0,0,0
"207",46,6,54,6,16,7,7
"208",49,0,44,0,0,0,0
"209",51,0,61,0,0,0,0
