"","age1_orange.A","age1_green.A","age2_no_comorbid_orange.A","age2_no_comorbid_green.A","age2_comorbid_green.A","age3_no_comorbid_green.A","age3_comorbid_green.A"
"1",3.19148936170213,0,2.12264150943396,0,0,0,0
"2",1.86170212765957,0,2.12264150943396,0,0,0,0
"3",3.32446808510638,0,2.12264150943396,0,0,0,0
"4",3.05851063829787,0,2.24056603773585,0,0,0,0
"5",0,0,0,0,0,0,0
"6",0,0,0.117924528301887,0,0,0,0
"7",2.3936170212766,0,2.00471698113208,0,0,0,0
"8",0,0,0,0,0,0,0
"9",2.79255319148936,0,2.24056603773585,0,0,0,0
"10",0,0,0,0,0,0,0
"11",1.86170212765957,0,2.47641509433962,0,0,0,0
"12",0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0
"15",2.79255319148936,0,2.24056603773585,0,0,0,0
"16",3.59042553191489,0,2.35849056603774,1.06609808102345,0,0,0
"17",0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0
"19",2.3936170212766,0,1.88679245283019,0,0,0,0
"20",1.72872340425532,0,1.41509433962264,0,0,0,0
"21",2.26063829787234,0,1.88679245283019,0,0,0,0
"22",2.3936170212766,0,2.24056603773585,0,0,0,0
"23",0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0
"25",2.52659574468085,0,1.53301886792453,0,0,0,0
"26",0,0,0.117924528301887,0,0,0,0
"27",2.79255319148936,0,2.24056603773585,0,0,0,0
"28",0,0,0.117924528301887,0,0,0,0
"29",0,0,0,0,0,0,0
"30",1.59574468085106,3.20512820512821,1.41509433962264,1.06609808102345,2.3961661341853,0,2.68096514745308
"31",0,0,0,0,0,0,0
"32",3.05851063829787,0,2.7122641509434,0,0,0,0
"33",2.26063829787234,0,1.88679245283019,0,0,0,0
"34",2.3936170212766,0,1.65094339622642,0,0,0,0
"35",2.52659574468085,0,1.65094339622642,0,0,0,0
"36",2.79255319148936,0,2.94811320754717,0,0,0,0
"37",0,0,0,0,0,0,0
"38",2.12765957446809,1.6025641025641,2.7122641509434,0,0,0,0
"39",3.05851063829787,0,2.24056603773585,0,0,0,0
"40",0,0,0.117924528301887,0,0,0,0
"41",2.12765957446809,4.80769230769231,1.88679245283019,1.06609808102345,0.798722044728434,2.27272727272727,2.68096514745308
"42",0,0,0,0,0,0,0
"43",0,0,0.117924528301887,0,0,0,0
"44",0,0,0,0,0,0,0
"45",1.99468085106383,0,2.00471698113208,0,0.798722044728434,0,1.34048257372654
"46",0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0
"49",0,0,0.117924528301887,0,0,0,0
"50",2.65957446808511,0,2.59433962264151,0,0,0,0
"51",1.86170212765957,0,1.41509433962264,0,0,0,0
"52",2.92553191489362,0,1.88679245283019,0,0,0,0
"53",1.99468085106383,0,1.7688679245283,0,0,0,0
"54",2.12765957446809,0,1.29716981132075,0,0,0,0
"55",0,0,0,0,0,0,0
"56",3.32446808510638,0,2.47641509433962,0,0,0,0
"57",2.3936170212766,0,1.7688679245283,0,0,0,0
"58",0,0,0,0,0,0,0
"59",0.132978723404255,0,0.117924528301887,0,0,0,0
"60",2.65957446808511,0,2.00471698113208,0,0,0,0
"61",2.52659574468085,0,2.12264150943396,0,0,0,0
"62",0,0,0,0,0,0,0
"63",0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0
"65",0,0,0.117924528301887,0,0,0,0
"66",2.92553191489362,0,2.24056603773585,0,0,0,0
"67",3.19148936170213,3.20512820512821,2.94811320754717,1.06609808102345,0.798722044728434,4.54545454545455,2.68096514745308
"68",1.72872340425532,1.6025641025641,1.29716981132075,1.06609808102345,1.59744408945687,0,0
"69",0,0,0.117924528301887,0,0,0,0
"70",1.99468085106383,0,2.00471698113208,0,0,0,0
"71",0,0,0,0,0,0,0
"72",0,0,0.117924528301887,0,0,0,0
"73",2.12765957446809,0,2.24056603773585,0,0,0,0
"74",2.3936170212766,0,1.88679245283019,1.06609808102345,0,0,1.34048257372654
"75",0,0,0,0,0,0,0
"76",2.52659574468085,0,2.24056603773585,0,0,0,0
"77",2.26063829787234,1.6025641025641,1.65094339622642,2.13219616204691,2.3961661341853,0,1.34048257372654
"78",0,0,0,0,0,0,0
"79",0,0,0,0,0,0,0
"80",0,0,0,0,0,0,0
"81",0.132978723404255,0,0,0,0,0,0
"82",2.52659574468085,0,2.94811320754717,0,0,0,0
"83",2.3936170212766,0,2.00471698113208,1.06609808102345,0,0,0
"84",0,0,0.117924528301887,0,0,0,0
"85",0,0,0,0,0,0,0
"86",2.3936170212766,0,1.88679245283019,0,0,0,0
"87",3.05851063829787,0,1.88679245283019,0,0,0,0
"88",3.45744680851064,0,1.65094339622642,0,0,0,0
"89",0,0,0.117924528301887,0,0,0,0
"90",2.79255319148936,0,2.12264150943396,0,0,0,0
"91",2.26063829787234,0,2.00471698113208,0,0,0,0
"92",2.3936170212766,0,2.12264150943396,0,0,0,0
"93",0,0,0.117924528301887,0,0,0,0
"94",2.3936170212766,0,2.12264150943396,0,0,0,0
"95",2.92553191489362,0,2.24056603773585,0,0,0,0
"96",2.3936170212766,0,2.00471698113208,0,0,0,0
"97",0,0,0,0,0,0,0
"98",3.05851063829787,0,2.7122641509434,0,0,0,0
"99",2.3936170212766,0,2.47641509433962,0,0,0,0
"100",2.79255319148936,1.6025641025641,2.12264150943396,2.13219616204691,2.3961661341853,4.54545454545455,2.68096514745308
"101",0,0,0,0,0,0,0
"102",2.79255319148936,0,2.24056603773585,0,0,0,0
"103",0,0,0.117924528301887,0,0,0,0
"104",2.52659574468085,0,1.7688679245283,0,0,0,0
"105",3.19148936170213,0,2.24056603773585,0,0,0,0
"106",3.59042553191489,3.20512820512821,2.47641509433962,2.13219616204691,2.3961661341853,4.54545454545455,1.34048257372654
"107",2.26063829787234,0,2.00471698113208,1.06609808102345,0,0,0
"108",1.99468085106383,0,1.41509433962264,0,0,0,0
"109",2.26063829787234,0,1.88679245283019,0,0,0,0
"110",0,0,0,0,0,0,0
"111",0,0,0,0,0,0,0
"112",0,0,0,0,0,0,0
"113",2.65957446808511,0,2.00471698113208,0,0.798722044728434,0,0
"114",0,0,0.117924528301887,0,0,0,0
"115",0,0,0,0,0,0,0
"116",2.52659574468085,0,1.88679245283019,1.06609808102345,0,0,0
"117",3.72340425531915,1.6025641025641,2.47641509433962,0,0,0,1.34048257372654
"118",0.132978723404255,0,0,0,0,0,0
"119",2.65957446808511,0,1.65094339622642,0,0,0,0
"120",0,0,0,0,0,0,0
"121",0,0,0.117924528301887,0,0,0,0
"122",0,0,0,0,0,0,0
"123",0,0,0,0,0,0,0
"124",2.52659574468085,0,1.65094339622642,0,0,0,0
"125",2.3936170212766,0,1.29716981132075,0,0,0,0
"126",2.52659574468085,0,2.24056603773585,0,0,0,0
"127",2.26063829787234,0,2.35849056603774,0,0.798722044728434,0,0
"128",0,0,0,0,0,0,0
"129",2.3936170212766,0,1.65094339622642,0,0,0,0
"130",0,0,0,0,0,0,0
"131",0,0,0,0,0,0,0
"132",1.99468085106383,0,2.12264150943396,0,0,0,0
"133",0,0,0,0,0,0,0
"134",2.3936170212766,0,1.65094339622642,0,0,0,0
"135",1.99468085106383,0,1.88679245283019,0,0,0,0
