"","age1_orange.S","age1_green.S","age2_no_comorbid_orange.S","age2_no_comorbid_green.S","age2_comorbid_green.S","age3_no_comorbid_green.S","age3_comorbid_green.S"
"1",146,62,327,94,125,44,75
"2",147,62,322,94,125,44,75
"3",748,62,846,94,125,44,75
"4",130,62,280,94,125,44,75
"5",751,62,845,94,125,44,75
"6",164,62,375,94,125,44,75
"7",751,62,847,94,125,44,75
"8",164,62,323,94,125,44,75
"9",155,62,308,94,125,44,75
"10",120,62,295,94,125,44,75
"11",752,62,847,94,125,44,75
"12",151,62,294,94,125,44,75
"13",166,62,359,94,125,44,75
"14",752,62,847,94,125,44,75
"15",752,62,847,94,125,44,75
"16",752,62,847,94,125,44,75
"17",748,62,847,94,125,44,75
"18",182,62,356,94,125,44,75
"19",147,62,301,94,125,44,75
"20",752,62,847,94,125,44,75
"21",749,60,846,92,122,44,74
"22",752,62,847,94,125,44,75
"23",177,62,368,94,125,44,75
"24",752,62,847,94,125,44,75
"25",187,62,386,94,125,44,75
"26",176,17,359,42,51,22,44
"27",157,61,373,94,125,44,75
"28",752,62,847,94,125,44,75
"29",169,62,317,94,125,44,75
"30",752,62,847,94,125,44,75
"31",200,62,366,94,125,44,75
"32",179,62,354,93,124,44,75
"33",181,28,367,55,79,30,54
"34",146,62,323,94,125,44,75
"35",165,62,340,94,125,44,75
"36",749,62,847,94,125,44,75
"37",751,62,847,94,125,44,75
"38",155,62,336,94,124,44,75
"39",751,62,845,94,125,44,75
"40",147,61,374,94,125,44,75
"41",143,62,337,94,124,43,75
"42",191,62,360,94,125,44,75
"43",171,62,363,94,125,44,75
"44",752,62,847,94,125,44,75
"45",752,62,847,94,125,44,75
"46",174,62,334,94,125,44,75
"47",752,62,847,94,125,44,75
"48",752,62,847,94,125,44,75
"49",752,62,847,94,125,44,75
"50",751,62,846,94,125,44,75
"51",751,62,847,94,125,44,75
"52",751,62,847,94,125,44,75
"53",752,62,847,94,125,44,75
"54",174,62,332,93,122,44,75
"55",180,62,321,93,125,44,75
"56",166,53,336,83,107,40,70
"57",150,62,311,94,125,44,75
"58",173,61,340,93,124,44,74
"59",173,62,379,94,125,44,75
"60",174,62,364,94,125,44,75
"61",123,62,308,94,125,44,75
"62",746,62,845,94,125,44,75
"63",752,62,847,94,125,44,75
"64",152,62,341,94,125,44,74
"65",750,62,847,94,125,44,75
"66",144,62,312,94,125,44,75
"67",752,62,846,94,125,44,75
"68",190,62,364,94,124,44,75
"69",168,31,318,56,76,30,62
"70",201,62,362,94,125,44,75
"71",752,62,847,94,125,44,75
"72",752,62,846,94,125,44,75
"73",752,62,847,94,125,44,75
"74",162,62,328,94,125,44,75
"75",752,62,847,94,125,44,75
"76",172,62,365,94,125,44,75
"77",146,62,311,94,125,44,75
"78",751,62,847,94,125,44,75
"79",150,27,319,59,84,32,62
"80",752,62,847,94,125,44,75
"81",752,62,847,94,125,44,75
"82",164,62,326,94,125,44,75
"83",161,62,338,94,125,44,74
"84",135,62,347,94,125,44,75
"85",172,62,390,94,125,44,75
"86",751,62,846,94,125,44,75
"87",751,62,847,94,125,44,75
"88",171,62,381,94,125,44,75
"89",751,62,847,94,125,44,75
"90",752,62,847,94,125,44,75
"91",751,62,847,94,125,44,75
"92",162,22,343,61,79,30,52
"93",163,62,333,92,122,43,75
"94",752,62,847,94,125,44,75
"95",752,62,847,94,125,44,75
"96",752,62,847,94,125,44,75
"97",156,58,288,90,122,42,72
"98",158,61,324,94,125,44,75
"99",750,62,846,94,125,44,75
"100",752,62,846,94,125,44,75
"101",752,62,846,94,125,44,75
"102",752,62,847,94,125,44,75
"103",159,62,324,94,125,44,75
"104",166,56,332,90,116,44,73
"105",752,62,847,94,125,44,75
"106",170,62,330,94,124,44,75
"107",752,62,847,94,125,44,75
"108",752,62,847,94,125,44,75
"109",752,62,847,94,125,44,75
"110",148,62,335,94,125,44,75
"111",156,36,338,64,76,29,53
"112",167,62,329,94,125,44,75
"113",183,62,371,94,125,44,75
"114",133,62,318,94,125,44,75
"115",751,62,847,94,125,44,75
"116",751,62,847,94,125,44,75
"117",120,62,309,94,125,44,75
"118",752,62,847,94,125,44,75
"119",752,62,847,94,125,44,75
"120",170,62,341,94,125,44,75
"121",752,62,847,94,125,44,75
"122",150,62,356,94,125,44,75
"123",178,62,342,94,125,44,75
"124",200,62,408,94,125,44,75
"125",166,62,317,94,125,44,75
"126",752,62,847,94,125,44,75
"127",752,62,847,94,125,44,75
"128",175,62,357,94,125,44,75
"129",147,61,348,92,125,44,75
"130",145,62,315,94,125,44,75
"131",171,62,358,94,125,44,75
"132",137,62,337,94,125,44,75
"133",752,62,847,94,125,44,75
"134",186,31,370,56,64,27,53
"135",752,62,847,94,125,44,75
"136",157,62,364,94,125,43,75
"137",752,62,847,94,125,44,75
"138",177,62,333,94,125,44,75
"139",221,59,413,88,116,43,71
"140",186,62,373,91,120,43,75
"141",174,62,343,94,125,44,75
"142",142,62,283,94,125,44,74
"143",169,33,326,64,82,30,63
"144",184,62,343,94,125,44,75
"145",752,62,847,94,125,44,75
"146",750,62,846,94,125,44,75
"147",752,62,847,94,125,44,75
"148",186,62,379,94,125,44,75
"149",745,62,840,94,125,44,75
"150",153,62,369,94,125,44,75
"151",752,62,847,94,125,44,75
"152",752,62,845,94,125,44,75
"153",744,62,844,94,125,44,75
"154",752,62,846,94,125,44,75
"155",752,62,847,94,125,44,75
"156",121,62,294,94,125,44,75
"157",752,62,847,94,125,44,75
"158",752,62,846,94,125,44,75
"159",189,62,365,94,125,44,75
"160",751,62,847,94,125,44,75
"161",752,62,847,94,125,44,75
"162",144,62,313,94,125,44,75
"163",752,62,847,94,125,44,75
"164",752,62,847,94,125,44,75
"165",750,62,847,94,125,44,75
"166",162,62,309,94,125,44,75
"167",143,56,313,87,110,42,69
"168",752,62,847,94,125,44,75
"169",752,62,847,94,125,44,75
"170",158,62,358,94,125,44,75
"171",751,62,847,94,125,44,75
"172",156,62,330,94,125,44,75
"173",146,62,326,94,125,44,75
"174",144,16,300,52,68,38,51
"175",212,62,394,94,125,44,75
"176",752,62,847,94,125,44,75
"177",752,62,846,94,125,44,75
"178",183,62,350,94,125,44,75
"179",750,62,846,94,125,44,75
"180",752,62,847,94,125,44,75
"181",752,62,847,94,125,44,75
"182",752,62,847,94,125,44,75
"183",181,62,398,94,125,44,75
"184",154,62,321,94,125,44,75
"185",752,62,847,94,125,44,75
"186",752,62,847,94,125,44,75
"187",752,62,847,94,125,44,75
"188",750,62,847,94,125,44,75
"189",163,62,330,94,125,44,75
"190",752,62,847,94,125,44,75
"191",751,62,847,94,125,44,75
"192",170,62,339,94,125,44,75
"193",183,62,352,94,125,44,75
"194",751,62,844,94,125,44,75
"195",752,62,847,94,125,44,75
"196",752,62,847,94,125,44,75
"197",159,62,365,94,125,44,75
"198",133,62,333,94,125,44,75
"199",750,62,847,94,125,44,75
"200",173,62,369,94,125,44,75
"201",752,62,847,94,125,44,75
"202",752,62,847,94,125,44,75
"203",751,62,845,94,125,44,75
"204",752,62,847,94,125,44,75
"205",746,62,844,94,125,44,75
"206",752,62,847,94,125,44,75
"207",135,62,320,94,125,44,75
"208",752,62,847,94,125,44,75
"209",752,62,847,94,125,44,75
"210",752,62,847,94,125,44,75
"211",752,62,847,94,125,44,75
"212",164,62,324,94,125,44,75
"213",184,62,360,94,125,43,75
"214",751,62,847,94,125,44,75
"215",752,62,847,94,125,44,75
"216",752,62,847,94,125,44,75
"217",179,62,335,94,125,44,75
"218",752,62,847,94,125,44,75
"219",751,62,847,94,125,44,75
"220",752,62,847,94,125,44,75
"221",163,62,345,94,125,44,75
"222",201,62,351,94,125,44,75
"223",140,22,299,59,73,26,49
"224",120,62,286,94,125,44,75
"225",746,62,843,94,125,44,75
"226",127,62,322,94,125,44,75
"227",752,62,847,94,125,44,75
"228",173,62,334,94,125,44,74
"229",157,62,355,94,124,44,75
"230",752,62,846,94,125,44,75
"231",752,62,846,94,125,44,75
"232",161,62,352,94,124,44,75
"233",192,62,370,94,125,44,75
"234",188,62,331,94,125,44,75
"235",170,62,334,94,125,44,75
