"","age1_orange.O","age1_green.O","age2_no_comorbid_orange.O","age2_no_comorbid_green.O","age2_comorbid_green.O","age3_no_comorbid_green.O","age3_comorbid_green.O"
"1",81,0,62,0,0,0,0
"2",0,0,2,0,0,0,0
"3",1,0,1,0,0,0,0
"4",73,0,59,0,0,0,0
"5",0,0,1,0,0,0,0
"6",0,0,0,0,0,0,0
"7",1,0,1,0,0,0,0
"8",71,0,55,0,0,0,0
"9",80,0,64,0,0,0,0
"10",75,0,63,0,0,1,0
"11",0,0,1,0,0,0,0
"12",77,0,59,0,0,0,0
"13",1,0,1,0,0,0,0
"14",69,0,58,0,0,0,0
"15",63,0,62,0,0,0,0
"16",1,0,1,0,0,0,0
"17",58,0,56,0,0,0,0
"18",72,0,52,0,0,0,0
"19",54,0,46,0,0,0,0
"20",69,0,59,0,0,0,0
"21",67,0,51,0,0,0,0
"22",75,0,53,0,0,0,0
"23",0,0,1,0,0,0,0
"24",0,0,1,0,0,0,0
"25",65,0,68,0,0,0,0
"26",0,0,1,0,0,0,0
"27",77,0,50,0,0,0,0
"28",1,0,0,0,0,0,0
"29",0,0,1,0,0,0,0
"30",1,0,1,0,0,0,0
"31",73,0,57,0,0,0,0
"32",66,0,61,0,0,0,0
"33",69,0,49,0,0,0,0
"34",66,0,56,0,0,0,0
"35",61,1,51,1,1,0,0
"36",60,0,60,0,0,0,0
"37",79,0,67,0,0,0,0
"38",70,9,67,6,6,3,3
"39",77,0,64,0,0,0,0
"40",83,0,69,0,0,0,0
"41",0,0,1,0,0,0,0
"42",0,0,0,0,0,0,0
"43",71,0,76,0,0,0,0
"44",0,0,0,0,0,0,0
"45",0,0,1,0,0,0,0
"46",81,0,59,0,0,0,0
"47",77,0,72,1,0,0,0
"48",62,0,53,0,0,0,0
"49",97,0,76,0,0,0,0
"50",70,0,62,0,0,0,0
"51",0,0,1,0,0,0,0
"52",62,0,62,0,1,0,0
"53",70,0,63,0,0,1,1
"54",68,1,49,0,0,0,0
"55",82,0,64,0,0,0,0
"56",68,4,54,4,7,2,2
"57",57,0,59,0,0,0,0
"58",1,0,1,0,0,0,0
"59",89,0,77,0,0,0,0
"60",81,0,58,0,0,0,0
"61",71,1,60,0,1,0,0
"62",63,0,47,0,0,0,0
"63",69,0,52,0,0,1,0
"64",0,0,0,0,0,0,0
