"","age1_orange.O","age1_green.O","age2_no_comorbid_orange.O","age2_no_comorbid_green.O","age2_comorbid_green.O","age3_no_comorbid_green.O","age3_comorbid_green.O"
"1",169,12,157,12,20,5,10
"2",166,14,189,17,19,7,6
"3",142,12,152,13,15,8,8
"4",162,12,174,15,15,9,8
"5",182,16,155,20,18,10,6
"6",184,14,186,12,20,7,9
"7",0,0,1,0,0,0,0
"8",159,1,162,0,0,0,0
"9",164,12,151,14,17,7,8
"10",180,18,187,18,21,11,10
"11",167,14,149,17,16,7,8
"12",162,15,167,15,17,4,6
"13",0,0,1,0,0,0,0
"14",1,0,1,0,0,0,0
"15",150,0,158,0,0,0,0
"16",174,0,166,0,1,0,0
"17",0,0,0,0,0,0,0
"18",1,0,1,0,0,0,0
"19",182,0,196,0,0,0,0
"20",171,13,180,17,16,6,7
"21",188,15,164,18,18,8,9
"22",185,16,168,22,17,5,10
"23",177,0,184,0,0,0,0
"24",0,0,1,0,0,0,0
"25",186,15,181,24,18,11,12
"26",172,15,178,17,17,7,9
"27",180,1,158,1,1,0,0
"28",0,0,0,0,0,0,0
"29",161,0,164,0,2,0,0
"30",0,0,1,0,0,0,0
"31",184,0,172,0,0,0,0
"32",162,17,168,18,19,7,9
"33",184,0,167,0,0,0,0
"34",170,10,168,15,15,7,6
"35",162,16,145,19,20,8,10
"36",169,14,169,22,20,5,8
"37",176,11,155,18,14,10,9
"38",191,15,164,13,19,4,7
"39",168,15,174,21,17,6,8
"40",169,0,161,0,0,0,0
"41",167,12,169,19,16,8,8
"42",186,13,156,17,17,5,9
"43",183,10,166,16,11,7,8
"44",161,0,164,0,0,0,0
"45",162,12,161,14,14,7,7
"46",196,10,175,15,16,10,5
"47",177,0,159,0,0,0,0
"48",169,10,167,17,16,6,8
"49",183,0,166,0,0,0,0
"50",160,0,151,0,0,0,0
"51",0,0,1,0,0,0,0
"52",169,16,145,21,16,5,9
"53",160,21,159,15,20,7,8
"54",191,0,189,0,0,0,0
"55",172,12,181,15,18,6,8
"56",170,0,164,0,0,0,0
"57",179,16,156,15,19,10,7
"58",174,17,161,18,16,5,7
"59",0,0,1,0,0,0,0
"60",154,1,152,1,1,1,0
"61",0,0,1,0,0,0,0
"62",170,13,163,18,17,5,5
"63",156,9,157,13,13,5,5
"64",174,16,166,19,20,7,6
"65",183,12,176,20,18,8,6
"66",157,13,172,27,16,8,8
"67",162,0,147,0,0,0,0
"68",161,10,163,14,9,4,9
"69",187,14,184,17,16,9,9
"70",174,0,154,0,0,0,0
"71",177,0,168,0,0,0,0
"72",143,11,146,13,16,10,8
"73",178,16,178,14,14,7,6
"74",1,0,0,0,0,0,0
"75",0,0,1,0,0,0,0
"76",201,0,171,0,0,0,0
"77",152,10,163,18,16,6,7
"78",0,0,1,0,0,0,0
"79",0,0,1,0,0,0,0
"80",0,0,1,0,0,0,0
"81",1,0,1,0,0,0,0
"82",159,16,171,22,25,10,6
"83",179,14,187,17,18,5,7
"84",160,15,181,19,21,5,8
"85",177,14,195,18,17,6,7
"86",0,0,1,0,0,0,0
"87",183,14,189,25,23,8,6
"88",0,0,1,0,0,0,0
"89",168,0,155,0,0,0,0
"90",167,0,172,0,0,0,0
"91",173,16,163,19,15,6,7
"92",181,13,181,15,16,3,5
"93",186,0,181,0,0,0,0
"94",161,0,185,0,0,0,0
"95",177,12,160,16,17,7,8
"96",0,0,0,0,0,0,0
"97",0,0,1,0,0,0,0
"98",183,13,177,20,14,4,7
"99",186,10,165,20,15,7,6
"100",164,0,167,0,0,0,0
"101",157,20,197,20,18,8,7
"102",153,0,168,0,0,0,0
"103",189,0,161,0,0,0,1
"104",158,12,145,17,17,7,8
"105",180,15,162,14,15,8,6
"106",181,10,179,14,16,6,6
"107",169,12,182,17,22,5,7
"108",165,0,159,0,0,0,0
"109",172,0,192,0,0,0,0
"110",171,16,163,18,17,8,11
"111",175,13,204,13,17,8,8
"112",155,0,156,0,0,0,0
"113",148,1,148,1,2,1,1
"114",186,10,163,16,17,9,9
"115",156,0,151,0,0,0,0
"116",194,12,163,13,15,5,5
"117",1,0,1,0,0,0,0
"118",0,0,1,0,0,0,0
"119",173,20,190,17,16,7,10
"120",157,0,168,0,0,0,0
"121",0,0,1,0,0,0,0
"122",178,14,181,13,20,4,6
"123",161,0,163,0,0,0,0
"124",162,15,163,13,15,5,7
"125",172,0,180,0,0,0,0
"126",165,0,174,0,0,0,0
"127",0,0,1,0,0,0,0
"128",1,0,0,0,0,0,0
"129",173,12,168,20,19,7,9
"130",162,0,147,0,0,0,0
"131",178,0,178,0,0,0,0
"132",166,17,150,21,16,6,5
"133",164,13,160,23,21,5,5
"134",174,0,153,0,0,0,0
"135",151,1,160,0,0,0,1
"136",159,1,156,0,0,0,0
"137",165,15,154,16,15,6,4
"138",162,16,169,24,21,5,7
"139",0,0,1,0,0,0,0
"140",146,0,159,0,0,0,0
"141",0,0,1,0,0,0,0
"142",164,16,160,19,15,7,7
"143",163,13,165,14,16,7,6
"144",162,14,159,17,20,7,9
"145",0,0,1,0,0,0,0
"146",159,14,175,22,19,7,9
"147",184,14,190,23,18,6,7
"148",0,0,1,0,0,0,0
"149",0,0,1,0,0,0,0
"150",179,0,170,0,0,0,0
"151",165,0,165,0,0,0,0
"152",169,15,168,17,15,8,6
"153",189,0,191,1,0,0,0
"154",151,13,164,20,16,7,10
"155",161,13,152,14,18,5,6
"156",179,0,166,0,0,0,0
"157",180,0,172,0,0,0,1
"158",174,15,171,21,13,8,8
"159",0,0,0,0,0,0,0
"160",186,0,173,0,0,0,0
"161",166,14,185,16,18,5,9
"162",173,0,170,1,1,0,0
"163",145,11,131,23,19,5,5
"164",166,13,150,19,19,8,8
"165",173,0,184,0,0,0,0
"166",157,0,183,0,0,0,0
"167",166,21,190,21,20,6,8
"168",150,23,149,17,17,7,8
"169",152,17,157,14,16,9,6
"170",161,1,158,1,1,0,0
"171",168,0,177,1,0,0,0
"172",179,0,168,0,0,0,0
"173",159,14,165,22,15,10,7
"174",179,10,162,12,13,6,6
"175",0,0,1,0,0,0,0
"176",186,15,187,18,22,6,8
"177",168,0,181,0,0,0,0
"178",157,0,172,0,0,0,0
"179",165,17,177,18,21,6,7
"180",170,18,173,20,18,7,11
"181",146,14,165,14,13,5,7
"182",189,16,159,19,17,6,9
"183",169,13,172,17,20,8,7
"184",190,0,174,0,1,0,0
"185",147,9,142,10,12,5,6
"186",144,14,159,24,18,8,9
"187",0,0,1,0,0,0,0
"188",171,21,176,21,21,7,8
"189",173,0,173,1,0,0,0
"190",158,11,165,20,15,8,9
"191",175,0,163,0,1,0,0
"192",168,0,187,0,0,0,0
"193",0,0,1,0,0,0,0
