"","age1_orange.D","age1_green.D","age2_no_comorbid_orange.D","age2_no_comorbid_green.D","age2_comorbid_green.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"1",22,0,38,0,0,0,0
"2",30,0,34,0,0,0,0
"3",0,0,0,0,0,0,0
"4",21,0,36,0,0,0,0
"5",0,0,0,0,0,0,0
"6",24,4,39,3,23,7,34
"7",0,0,0,0,0,0,0
"8",23,0,38,0,0,0,0
"9",25,0,39,0,0,0,0
"10",25,0,36,0,0,0,0
"11",0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0
"13",33,0,49,0,0,0,0
"14",23,0,30,0,0,0,0
"15",34,2,44,3,21,6,27
"16",33,0,38,0,0,0,0
"17",27,2,47,7,28,7,36
"18",28,0,44,1,22,9,30
"19",27,0,35,0,0,0,0
"20",15,0,34,0,0,0,0
"21",30,0,39,0,0,0,0
"22",0,0,0,0,0,0,0
"23",34,0,56,0,0,0,0
"24",35,0,36,0,0,0,0
"25",26,0,42,0,0,0,0
"26",26,0,38,0,0,0,0
"27",29,0,46,0,0,0,0
"28",26,0,40,0,0,0,0
"29",35,0,43,0,0,0,0
"30",18,0,44,0,0,0,0
"31",25,0,38,0,0,0,0
"32",23,0,43,0,0,0,0
"33",35,0,38,0,0,0,0
"34",27,0,53,0,0,0,0
"35",34,0,42,0,0,0,0
"36",20,3,40,1,31,9,26
"37",26,0,34,0,0,0,0
"38",30,0,44,0,0,0,0
"39",0,0,0,0,0,0,0
"40",25,0,34,0,0,0,0
"41",33,0,38,0,0,0,0
"42",28,0,34,0,0,0,0
"43",31,0,42,0,0,0,0
"44",35,0,33,0,0,0,0
"45",0,0,0,0,0,0,0
"46",29,0,44,0,0,0,0
"47",0,0,0,0,0,0,0
"48",0,0,1,0,0,0,0
"49",32,0,38,0,0,0,0
"50",34,1,43,5,27,5,34
"51",13,0,41,0,0,0,0
"52",28,0,48,0,0,0,0
"53",23,0,43,0,0,0,0
"54",21,0,58,0,0,0,0
"55",36,0,39,0,0,0,0
"56",20,0,48,0,0,0,0
"57",26,0,47,2,25,4,30
"58",24,0,32,0,0,0,0
"59",30,3,47,8,22,5,23
"60",25,0,43,0,0,0,0
"61",27,2,39,2,23,9,29
"62",0,0,0,0,0,0,0
"63",34,0,57,0,0,0,0
"64",23,0,47,3,23,8,30
"65",27,0,34,0,0,0,0
"66",20,0,45,0,0,0,0
"67",33,0,52,0,0,0,0
"68",30,0,34,0,0,0,0
"69",26,0,47,0,0,0,0
"70",25,0,31,0,0,0,0
"71",28,0,36,0,0,0,0
"72",33,0,39,0,0,0,0
"73",28,0,58,0,0,0,0
"74",32,0,45,0,0,0,0
"75",0,0,0,0,0,0,0
"76",17,1,50,4,17,3,21
"77",28,0,42,0,0,0,0
"78",24,0,36,0,0,0,0
"79",26,0,48,0,0,0,0
"80",0,0,0,0,0,0,0
