"","age1_orange.E","age1_green.E","age2_no_comorbid_orange.E","age2_no_comorbid_green.E","age2_comorbid_green.E","age3_no_comorbid_green.E","age3_comorbid_green.E"
"1",53,0,35,0,0,0,0
"2",0,0,1,0,0,0,0
"3",0,0,1,0,0,0,0
"4",60,0,48,0,0,0,0
"5",2,0,1,0,0,0,0
"6",57,0,46,0,0,0,0
"7",47,0,38,0,0,0,0
"8",48,0,42,0,0,0,0
"9",46,0,42,0,0,0,0
"10",55,0,53,0,0,0,0
"11",36,0,33,0,0,0,0
"12",40,0,31,0,0,0,0
"13",44,0,46,0,0,0,0
"14",0,0,1,0,0,0,0
"15",48,0,35,0,0,0,0
"16",52,0,43,0,0,0,0
"17",54,4,41,4,4,2,3
"18",1,0,1,0,0,0,0
"19",56,0,45,0,0,0,0
"20",43,0,41,0,0,0,0
"21",48,0,41,0,0,0,0
"22",34,0,32,0,0,0,0
"23",46,0,39,0,0,0,0
"24",60,0,44,0,0,0,0
"25",55,0,46,0,0,0,0
"26",41,0,41,0,0,0,0
"27",43,3,32,4,4,1,3
"28",46,0,36,0,0,0,0
"29",56,0,46,0,0,0,0
"30",1,0,1,0,0,0,0
"31",44,0,36,0,0,0,0
"32",58,0,35,0,0,0,0
"33",51,0,45,0,0,0,0
"34",0,0,1,0,0,0,0
"35",0,0,1,0,0,0,0
"36",56,0,40,0,0,0,0
"37",0,0,1,0,0,0,0
"38",0,0,1,0,0,0,0
"39",49,6,39,4,7,3,5
"40",57,4,41,3,5,3,2
"41",36,0,37,0,0,0,0
"42",50,0,43,0,0,0,0
"43",40,0,38,0,0,0,0
"44",50,0,47,0,0,0,0
"45",55,0,47,0,0,0,0
"46",36,2,32,1,2,1,0
"47",40,0,35,0,0,0,0
"48",0,0,1,0,0,0,0
"49",52,0,47,0,0,0,0
"50",43,0,34,0,0,0,0
"51",48,4,39,3,3,2,3
"52",45,0,46,0,0,0,0
"53",46,0,35,0,0,0,0
"54",1,0,1,0,0,0,0
"55",44,0,40,0,0,0,0
"56",46,0,40,0,0,0,0
"57",50,0,43,0,0,0,0
"58",0,0,1,0,0,0,0
"59",0,0,1,0,0,0,0
"60",41,0,38,0,0,0,0
"61",54,0,42,0,0,0,0
"62",0,0,1,0,0,0,0
"63",53,0,34,0,0,0,0
"64",45,0,36,0,0,0,0
"65",53,1,44,2,1,0,0
"66",42,0,35,0,0,0,0
"67",44,0,37,0,0,0,0
"68",1,0,1,0,0,0,0
"69",51,0,45,0,0,0,0
"70",41,0,35,0,0,0,0
"71",0,0,1,0,0,0,0
"72",0,0,1,0,0,0,0
"73",0,0,1,0,0,0,0
"74",1,0,1,0,0,0,0
"75",47,0,36,0,0,0,0
"76",1,0,1,0,0,0,0
"77",49,0,46,0,0,0,0
"78",0,0,1,0,0,0,0
"79",43,0,38,0,0,0,0
"80",54,0,46,0,0,0,0
"81",49,0,38,0,0,0,0
"82",43,0,40,0,0,0,0
"83",53,0,48,0,0,0,0
"84",0,0,1,0,0,0,0
"85",40,0,40,0,0,0,0
"86",0,0,1,0,0,0,0
"87",46,0,41,0,0,0,0
"88",0,0,1,0,0,0,0
"89",1,0,1,0,0,0,0
"90",0,0,1,0,0,0,0
"91",54,0,42,0,0,0,0
"92",39,0,31,0,0,0,0
"93",0,0,1,0,0,0,0
"94",43,0,39,0,0,0,0
"95",49,0,42,0,0,0,0
"96",49,0,36,0,0,0,0
"97",0,0,1,0,0,0,0
"98",47,1,38,1,1,1,1
"99",51,0,42,0,0,0,0
"100",1,0,1,0,0,0,0
"101",0,0,1,0,0,0,0
"102",51,1,43,0,0,0,0
"103",43,0,34,0,0,0,0
"104",42,0,34,0,0,0,0
"105",53,0,48,0,0,0,0
"106",0,0,1,0,0,0,0
"107",49,0,47,0,0,0,0
"108",49,0,41,0,0,0,0
"109",0,0,1,0,0,0,0
"110",47,0,47,0,0,0,0
"111",0,0,1,0,0,0,0
"112",43,0,40,0,0,0,0
"113",63,0,44,1,0,0,0
"114",41,0,34,0,0,0,0
"115",57,0,36,0,0,0,0
"116",44,0,45,0,0,0,0
"117",0,0,1,0,0,0,0
"118",41,0,41,0,0,0,0
"119",38,0,43,0,0,0,0
"120",43,0,39,0,0,0,0
"121",36,0,34,0,0,0,0
"122",0,0,1,0,0,0,0
"123",1,0,1,0,0,0,0
"124",0,0,1,0,0,0,0
"125",41,0,41,0,0,0,0
