"","age1_orange.P","age1_green.P","age2_no_comorbid_orange.P","age2_no_comorbid_green.P","age2_comorbid_green.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"1",42,0,30,0,0,0,0
"2",33,0,30,0,0,0,0
"3",0,0,1,0,0,0,0
"4",50,0,38,0,0,0,0
"5",29,0,34,0,0,0,0
"6",0,0,1,0,0,0,0
"7",39,0,35,0,0,0,0
"8",0,0,1,0,0,0,0
"9",0,0,1,0,0,0,0
"10",5,0,3,0,0,0,0
"11",0,0,1,0,0,0,0
"12",36,0,25,0,0,0,0
"13",33,0,25,0,0,0,0
"14",0,0,1,0,0,0,0
"15",41,0,33,0,0,0,0
"16",37,3,40,2,3,1,1
"17",32,0,34,0,0,0,0
"18",28,0,26,0,0,0,0
"19",0,0,1,0,0,0,0
"20",1,0,1,0,0,0,0
"21",37,0,32,0,0,0,0
"22",1,0,1,0,0,0,0
"23",51,0,38,0,0,1,0
"24",1,0,1,0,0,0,0
"25",1,0,1,0,0,0,0
"26",39,0,30,0,0,0,0
"27",1,0,1,0,0,0,0
"28",37,0,31,0,0,0,0
"29",33,0,21,0,0,0,0
"30",32,0,29,0,0,0,0
"31",1,0,1,0,0,0,0
"32",33,0,30,0,0,0,0
"33",38,0,37,0,0,0,0
"34",33,0,37,0,0,0,0
"35",0,0,1,0,0,0,0
"36",1,0,1,0,0,0,0
"37",36,0,31,0,0,0,0
"38",30,0,34,0,0,0,0
"39",0,0,1,0,0,0,0
"40",45,0,38,0,0,0,0
"41",26,0,23,0,0,0,0
"42",25,0,20,0,0,0,0
"43",0,0,1,0,0,0,0
"44",0,0,1,0,0,0,0
"45",0,0,1,0,0,0,0
"46",0,0,1,0,0,0,0
"47",41,0,31,0,0,0,0
"48",34,0,30,0,0,0,0
"49",1,0,1,0,0,0,0
"50",0,0,1,0,0,0,0
"51",31,0,22,0,0,0,0
"52",39,0,36,0,0,0,0
"53",38,0,32,0,0,0,0
"54",36,0,25,0,0,0,0
"55",0,0,1,0,0,0,0
"56",0,0,1,0,0,0,0
"57",36,0,30,0,0,0,0
"58",0,0,1,0,0,0,0
"59",0,0,1,0,0,0,0
"60",40,0,32,0,0,0,0
"61",41,0,27,0,0,0,0
"62",0,0,1,0,0,0,0
"63",2,0,2,0,0,0,0
"64",0,0,1,0,0,0,0
"65",1,0,1,0,0,0,0
"66",0,0,1,0,0,0,0
"67",1,0,1,0,0,0,0
"68",40,0,30,0,0,0,0
"69",37,0,30,0,0,0,0
"70",36,0,37,0,0,0,0
"71",31,0,33,0,0,0,0
"72",31,0,33,0,0,0,0
"73",1,0,1,0,0,0,0
"74",46,1,33,0,2,0,0
"75",41,0,42,0,0,0,0
