"","age1_orange.I","age1_green.I","age2_no_comorbid_orange.I","age2_no_comorbid_green.I","age2_comorbid_green.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"1",29,0,28,0,0,0,0
"2",0,0,1,0,0,0,0
"3",25,0,25,0,0,0,0
"4",0,0,0,0,0,0,0
"5",34,0,29,0,0,0,0
"6",24,0,22,0,0,0,0
"7",0,0,2,0,0,0,0
"8",33,0,21,0,0,0,0
"9",0,0,0,0,0,0,0
"10",0,0,1,0,0,0,0
"11",29,0,30,0,0,0,0
"12",0,0,1,0,0,0,0
"13",0,0,0,0,0,0,0
"14",30,2,31,3,4,2,3
"15",27,1,20,1,3,1,2
"16",37,4,29,3,3,2,2
"17",0,0,0,0,0,0,0
"18",31,0,28,0,0,0,0
"19",0,0,0,0,0,0,0
"20",0,0,1,0,0,0,0
"21",25,3,19,2,3,1,2
"22",26,0,19,0,0,0,0
"23",30,2,24,0,1,0,0
"24",36,3,27,3,5,1,3
"25",24,0,24,0,0,0,0
"26",31,2,28,2,3,1,2
"27",0,0,1,0,0,0,0
"28",26,0,29,0,0,0,0
"29",30,0,22,0,0,0,0
"30",26,0,27,1,1,0,1
"31",19,0,23,0,0,0,0
"32",40,0,21,0,1,0,0
"33",27,0,26,0,0,0,0
"34",0,0,0,0,0,0,0
"35",25,0,24,0,0,0,0
"36",25,0,27,0,0,0,0
"37",0,0,1,0,0,0,0
"38",32,1,30,0,2,0,1
"39",0,0,0,0,0,0,0
"40",24,0,27,0,0,0,0
"41",25,0,24,0,0,1,0
"42",0,0,0,0,0,0,0
"43",31,0,35,0,0,0,0
"44",0,0,0,0,0,0,0
"45",28,0,26,0,0,0,0
"46",27,1,21,1,1,1,1
"47",35,1,28,2,4,1,3
"48",25,1,27,0,1,0,1
"49",27,0,29,0,0,0,0
"50",0,0,1,0,0,0,0
"51",0,0,0,0,0,0,0
"52",28,0,23,0,0,0,0
"53",0,0,0,0,0,0,0
"54",21,0,21,0,0,0,0
"55",0,0,1,0,0,0,0
"56",39,0,23,0,0,0,0
"57",37,0,31,0,0,0,0
"58",27,0,35,0,0,0,0
"59",0,0,0,0,0,0,0
"60",31,0,28,0,0,0,0
"61",28,0,30,0,0,0,0
"62",29,2,30,2,8,2,5
"63",34,0,28,0,0,0,0
"64",31,0,28,0,1,0,0
"65",32,0,22,0,0,0,0
"66",1,0,2,0,0,0,0
"67",0,0,0,0,0,0,0
"68",30,4,27,5,10,4,3
"69",0,0,0,0,0,0,0
"70",42,1,29,3,3,1,1
"71",38,3,27,4,4,2,2
"72",25,3,26,3,5,2,4
"73",0,0,1,0,0,0,0
"74",34,0,32,0,0,0,0
"75",30,0,23,0,0,0,0
"76",0,0,0,0,0,0,0
"77",29,2,21,5,4,2,3
"78",23,0,27,0,0,0,0
"79",41,0,34,0,0,0,0
"80",0,0,0,0,0,0,0
"81",30,0,21,0,0,0,0
"82",31,0,19,0,0,1,0
"83",22,0,25,0,0,0,0
"84",20,0,19,0,0,0,0
"85",0,0,1,0,0,0,0
