"","age1_orange.P","age1_green.P","age2_no_comorbid_orange.P","age2_no_comorbid_green.P","age2_comorbid_green.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"1",22,0,19,0,0,0,1
"2",1,0,1,0,0,0,0
"3",23,0,18,0,0,0,0
"4",1,0,1,0,0,0,0
"5",22,0,14,0,0,0,0
"6",1,0,3,0,0,0,0
"7",20,0,13,0,0,0,0
"8",17,0,15,1,0,0,0
"9",19,0,18,0,0,0,0
"10",0,0,1,0,0,0,0
"11",0,0,1,0,0,0,0
"12",1,0,1,0,0,0,0
"13",21,1,24,0,0,0,0
"14",29,1,21,0,1,0,0
"15",0,0,1,0,0,0,0
"16",25,1,13,1,0,0,0
"17",15,0,16,0,0,0,0
"18",20,0,15,0,0,0,0
"19",1,0,1,0,0,0,0
"20",0,0,1,0,0,0,0
"21",2,0,1,0,0,0,0
"22",1,0,2,0,0,0,0
"23",3,0,1,0,0,0,0
"24",29,0,18,0,1,0,0
"25",30,0,25,0,0,0,1
"26",0,0,1,0,0,0,0
"27",0,0,1,0,0,0,0
"28",0,0,1,0,0,0,0
"29",0,0,1,0,0,0,0
"30",0,0,1,0,0,0,0
"31",23,0,18,0,1,0,0
"32",0,0,1,0,0,0,0
"33",29,0,27,0,0,0,0
"34",0,0,1,0,0,0,0
"35",0,0,1,0,0,0,0
"36",1,0,2,0,0,0,0
"37",0,0,1,0,0,0,0
"38",25,0,23,0,0,0,0
"39",0,0,1,0,0,0,0
"40",0,0,1,0,0,0,0
"41",0,0,1,0,0,0,0
"42",22,0,22,0,1,0,0
"43",1,0,1,0,0,0,0
"44",0,0,1,0,0,0,0
"45",17,0,18,0,1,0,0
"46",0,0,1,0,0,0,0
"47",1,0,1,0,0,0,0
"48",28,1,23,0,0,0,0
"49",1,0,2,0,0,0,0
"50",19,0,14,0,0,0,0
"51",22,0,18,0,0,0,1
"52",1,0,1,0,0,0,0
"53",22,0,19,0,0,0,0
"54",24,0,22,0,0,0,0
"55",0,0,1,0,0,0,0
"56",0,0,1,0,0,0,0
"57",26,0,19,0,0,0,0
"58",0,0,1,0,0,0,0
"59",0,0,1,0,0,0,0
"60",2,0,1,0,0,0,0
"61",14,1,14,0,0,0,1
"62",29,0,24,0,0,0,0
"63",0,0,1,0,0,0,0
"64",27,0,18,0,0,0,0
"65",0,0,1,0,0,0,0
"66",0,0,1,0,0,0,0
"67",0,0,1,0,0,0,0
"68",21,0,21,0,0,0,0
"69",19,0,18,0,1,0,0
"70",5,0,2,0,0,0,0
"71",26,0,24,0,0,0,0
"72",0,0,1,0,0,0,0
"73",27,0,25,0,0,0,0
"74",0,0,1,0,0,0,0
"75",0,0,1,0,0,0,0
"76",20,0,12,0,0,0,0
"77",16,0,16,0,0,1,1
"78",19,0,17,0,0,0,0
"79",0,0,1,0,0,0,0
"80",1,0,1,0,0,0,0
"81",21,0,18,0,0,0,0
"82",0,0,1,0,0,0,0
"83",0,0,2,0,0,0,0
"84",0,0,1,0,0,0,0
"85",1,0,1,0,0,0,0
"86",21,0,19,0,0,0,0
"87",1,0,1,0,0,0,0
"88",0,0,1,0,0,0,0
"89",1,0,1,0,0,0,0
"90",0,0,1,0,0,0,0
"91",0,0,1,0,0,0,0
"92",2,0,1,0,0,0,0
"93",0,0,1,0,0,0,0
"94",20,0,16,0,0,0,0
"95",25,0,21,0,0,0,0
"96",1,0,1,0,0,0,0
"97",29,0,22,0,0,0,0
"98",21,0,15,0,0,0,0
"99",0,0,1,0,0,0,0
"100",0,0,1,0,0,0,0
"101",29,0,21,0,0,0,0
"102",22,1,17,0,1,0,0
"103",0,0,1,0,0,0,0
"104",29,0,22,0,0,0,0
"105",0,0,1,0,0,0,0
