"","age1_orange.A","age1_green.A","age2_no_comorbid_orange.A","age2_no_comorbid_green.A","age2_comorbid_green.A","age3_no_comorbid_green.A","age3_comorbid_green.A"
"1",52,0,45,0,0,0,0
"2",35,0,35,0,0,0,0
"3",27,4,44,6,10,3,2
"4",48,0,45,1,0,0,0
"5",46,6,42,7,7,3,6
"6",41,4,50,5,5,2,2
"7",45,4,55,4,8,2,6
"8",43,5,49,7,5,2,4
"9",33,3,43,7,10,4,6
"10",43,6,41,3,8,2,3
"11",45,3,47,7,6,2,5
"12",48,5,48,5,8,2,3
"13",0,0,0,0,0,0,0
"14",44,3,40,8,8,2,5
"15",40,3,39,7,10,3,6
"16",38,3,48,7,8,3,6
"17",42,8,34,6,8,2,5
"18",50,0,54,0,0,0,0
"19",0,0,0,0,0,0,0
"20",44,4,33,5,9,3,3
"21",0,0,0,0,0,0,0
"22",45,4,57,6,7,3,5
"23",41,4,42,5,4,3,4
"24",39,7,45,8,8,4,4
"25",0,0,0,0,0,0,0
"26",40,3,46,8,6,4,4
"27",46,4,46,5,5,2,5
"28",47,3,45,4,11,2,4
"29",52,3,42,6,10,4,2
"30",54,5,47,5,7,3,3
"31",52,4,37,4,4,3,4
"32",52,3,47,12,8,1,5
"33",29,6,50,6,5,1,5
"34",53,8,31,7,5,2,6
"35",38,4,47,9,5,3,4
"36",50,0,53,0,0,0,0
"37",44,4,37,5,5,2,4
"38",52,3,50,4,8,4,5
"39",41,4,40,8,5,1,4
"40",45,4,50,9,11,3,3
"41",44,8,33,3,10,2,5
"42",45,2,57,9,10,6,5
"43",0,0,1,0,0,0,0
"44",48,4,58,6,7,1,3
"45",47,5,48,6,7,1,2
"46",44,3,45,9,5,3,1
"47",45,1,43,8,7,3,5
"48",42,0,49,0,0,0,0
"49",45,7,35,6,7,2,3
"50",53,2,49,7,6,2,6
"51",50,8,43,4,8,4,4
"52",43,6,46,5,8,3,5
"53",42,3,48,4,4,3,5
"54",42,0,33,0,0,0,0
"55",53,5,52,5,9,6,5
"56",34,3,56,4,6,2,4
"57",37,4,39,7,6,7,4
"58",51,4,50,5,6,2,4
"59",34,5,42,6,7,3,2
"60",44,5,35,7,5,2,5
"61",0,0,1,0,0,0,0
"62",0,0,0,0,0,0,0
"63",43,5,44,3,7,4,4
"64",56,5,46,5,12,3,4
"65",0,0,0,0,0,0,0
"66",43,4,52,4,6,3,6
"67",47,6,46,7,7,4,5
"68",43,5,45,6,12,5,2
"69",0,0,0,0,0,0,0
"70",46,8,44,6,7,3,4
"71",46,4,37,3,12,2,4
"72",37,8,50,10,8,2,3
"73",48,0,44,0,0,0,0
"74",44,6,54,4,12,2,8
"75",36,3,44,4,8,3,2
"76",52,7,46,5,12,2,3
"77",43,4,42,5,6,3,3
"78",49,5,49,8,9,5,5
"79",38,2,56,6,9,4,4
"80",43,5,38,10,5,2,4
"81",0,0,0,0,0,0,0
"82",43,5,47,4,5,2,8
"83",51,6,48,6,8,2,3
"84",46,2,48,8,5,3,4
"85",43,5,57,7,8,2,6
"86",44,5,51,7,5,3,2
"87",37,3,43,5,10,6,3
"88",0,0,0,0,0,0,0
