"","age1_orange.I","age1_green.I","age2_no_comorbid_orange.I","age2_no_comorbid_green.I","age2_comorbid_green.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"1",213,0,227,0,0,0,0
"2",192,0,210,0,0,0,0
"3",202,21,210,20,30,8,17
"4",196,0,192,0,0,0,0
"5",220,16,230,26,27,10,18
"6",214,13,228,24,28,10,15
"7",235,18,257,19,28,10,18
"8",214,12,185,19,24,11,12
"9",192,15,241,21,27,7,14
"10",232,19,204,29,23,8,15
"11",250,17,226,20,25,10,15
"12",213,15,204,19,22,9,13
"13",0,0,1,0,0,0,0
"14",207,15,199,29,30,9,12
"15",196,16,197,22,33,11,17
"16",186,20,196,23,40,14,19
"17",228,18,226,21,40,10,19
"18",240,1,224,1,0,0,0
"19",0,0,1,0,0,0,0
"20",222,13,216,23,24,6,13
"21",0,0,1,0,0,0,0
"22",233,22,212,19,24,10,16
"23",233,18,193,20,25,8,13
"24",229,17,204,29,33,10,24
"25",0,0,1,0,0,0,0
"26",200,18,180,21,35,11,16
"27",226,18,236,20,24,14,13
"28",226,24,230,27,28,11,12
"29",198,16,219,19,25,9,15
"30",207,17,207,24,20,10,19
"31",230,18,213,22,31,13,12
"32",234,18,228,26,27,11,16
"33",229,22,226,21,33,9,18
"34",190,13,199,18,26,11,16
"35",201,24,225,22,34,10,16
"36",201,0,211,0,0,0,0
"37",203,18,207,26,29,9,20
"38",218,22,223,29,34,14,20
"39",238,21,229,22,31,11,18
"40",234,19,243,26,35,10,17
"41",238,18,240,26,36,8,15
"42",204,16,223,26,38,14,18
"43",0,0,0,0,0,0,0
"44",218,20,197,20,26,9,12
"45",211,15,210,22,29,11,17
"46",191,21,202,25,24,9,16
"47",227,20,234,18,37,8,17
"48",203,0,203,0,0,0,0
"49",227,17,226,24,24,10,18
"50",231,16,246,18,20,9,11
"51",219,19,229,27,32,13,15
"52",207,22,197,18,24,9,13
"53",229,13,227,19,33,8,23
"54",222,1,219,1,0,0,0
"55",227,17,201,31,28,10,17
"56",244,20,227,20,32,14,15
"57",218,26,219,24,33,8,15
"58",220,14,209,27,25,10,12
"59",247,17,226,28,34,11,20
"60",217,19,216,17,26,14,18
"61",1,0,1,0,0,0,0
"62",0,0,1,0,0,0,0
"63",201,16,214,28,28,9,19
"64",214,19,222,23,21,8,19
"65",1,0,1,0,0,0,0
"66",243,23,220,26,26,9,16
"67",228,17,205,19,27,11,20
"68",233,19,215,24,28,9,16
"69",0,0,1,0,0,0,0
"70",230,19,215,27,28,12,21
"71",208,21,240,25,35,10,16
"72",220,16,204,23,28,8,13
"73",207,0,219,1,0,0,0
"74",209,14,204,22,26,10,16
"75",182,19,193,23,33,13,20
"76",204,21,223,20,25,8,17
"77",207,23,230,25,30,13,13
"78",181,16,198,24,27,9,16
"79",223,15,210,22,35,10,18
"80",235,19,226,21,45,13,15
"81",0,0,1,0,0,0,0
"82",197,16,198,34,35,13,12
"83",195,14,220,23,27,9,10
"84",220,19,222,30,32,10,27
"85",183,23,208,25,25,9,16
"86",206,22,202,22,27,11,14
"87",219,18,211,33,28,7,23
"88",1,0,1,0,0,0,0
"89",225,24,188,24,24,11,17
"90",206,18,224,30,35,11,14
"91",217,18,226,19,29,13,16
"92",202,13,223,19,27,11,14
"93",223,21,214,27,28,7,13
"94",0,0,1,0,0,0,0
"95",214,16,197,27,26,12,14
"96",189,26,222,30,30,11,15
"97",245,20,214,26,30,9,15
"98",203,20,204,27,32,9,16
"99",216,18,208,22,26,15,14
"100",186,15,230,23,28,9,12
"101",229,20,251,30,32,12,24
"102",0,0,1,0,0,0,0
"103",220,15,225,24,24,11,21
"104",0,0,0,0,0,0,0
"105",193,13,211,24,37,12,16
"106",221,19,214,24,41,12,18
"107",239,15,208,29,28,12,14
"108",232,0,217,1,0,0,0
"109",224,21,226,21,30,9,14
"110",218,16,221,19,31,9,18
"111",217,16,206,21,20,9,15
"112",244,0,202,0,0,0,0
"113",209,21,234,21,25,11,14
"114",183,17,177,26,26,12,17
"115",205,0,214,0,0,0,0
"116",235,18,219,18,25,8,13
"117",223,18,218,24,26,10,18
"118",200,0,212,1,0,0,0
"119",227,12,223,25,28,11,18
"120",210,21,214,23,36,9,19
"121",185,23,199,23,31,12,10
"122",216,0,207,0,1,0,0
"123",208,15,218,25,27,7,12
"124",225,15,225,24,33,6,10
"125",217,22,214,22,26,10,18
"126",233,13,233,21,27,8,15
"127",198,19,205,25,22,8,19
"128",212,17,188,26,34,10,16
"129",234,0,250,0,0,0,0
"130",210,0,230,0,0,0,0
"131",0,0,1,0,0,0,0
"132",206,14,218,21,29,8,12
"133",213,20,225,29,24,8,13
"134",0,0,1,0,0,0,0
"135",209,21,208,25,39,8,15
"136",199,20,205,19,32,15,16
"137",221,16,232,23,28,10,19
"138",217,0,224,0,0,0,0
