"","age1_orange.E","age1_green.E","age2_no_comorbid_orange.E","age2_no_comorbid_green.E","age2_comorbid_green.E","age3_no_comorbid_green.E","age3_comorbid_green.E"
"1",7.24193499936374,0,0,0,0,0,0
"2",3.00550657002042,0,26.7173947031537,0,0,0,0
"3",0,0,0,0,0,0,0
"4",53.2512781128233,0,31.1175895153208,0,0,0,0
"5",0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0
"9",4.21525320743435,0,0,0,0,0,0
"10",0,0,0,0,0,0,0
"11",2.54300059983085,0,0,0,0,0,0
"12",0,0,0,0,0,0,0
"13",101.337462187613,0,100.496129789383,0,0,0,0
"14",0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0
"17",0,0,0,0,0,0,0
"18",38.7638726156591,0,35.6784568587427,0,0,0,0
"19",3.75913948423673,0,0,0,0,0,0
"20",0,0,0,0,0,0,0
"21",2.10254122742329,0,0,0,0,0,0
"22",0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0
"25",14.9990475356662,0,0,0,0,0,0
"26",5.37879650419622,0,7.44268431835397,0,0,0,0
"27",0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0
"29",40.1285194960973,0,38.5270985803112,0,0,0,0
"30",0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0
"32",114.220751154066,0,121.836683329258,0,0,0,0
"33",0,0,0,0,0,0,0
"34",37.3328971023272,0,24.8618556505442,0,0,0,0
"35",0,0,0,0,0,0,0
"36",4.78934744129791,0,49.3588858934474,0,0,0,0
"37",0,0,0,0,0,0,0
"38",73.5402504637449,134.381793308703,81.4101232001533,179.277812040618,173.411611083078,140.05014814356,145.552860499021
"39",0.22315214278368,0,0,0,0,0,0
"40",3.69555287852228,0,0,0,0,0,0
"41",0,0,0,0,0,0,0
"42",16.4964916578893,0,9.28566528225523,0,0,0,0
"43",0,0,0,0,0,0,0
"44",2.26474179302915,0,0,0,0,0,0
"45",0,0,0,0,0,0,0
"46",0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0
"49",0,0,0,0,0,0,0
"50",0,0,0,0,0,0,0
"51",0,0,0,0,0,0,0
"52",0,0,0,0,0,0,0
"53",0,0,0,0,0,0,0
"54",4.2657431064196,0,0,0,0,0,0
"55",0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0
"57",0,0,0,0,0,0,0
"58",0,0,3.97326983264862,0,0,0,0
"59",16.6018768621722,0,27.256776871858,0,0,0,0
"60",0,0,0,0,0,0,0
"61",0,0,0,0,0,0,0
"62",1.90870665635848,0,0,0,0,0,0
"63",4.65150792893637,0,0,0,0,0,0
"64",0,0,0,0,0,0,0
"65",0,0,0,0,0,0,0
"66",14.6314607366665,0,18.8422500292085,0,0,0,0
"67",63.5954803656788,126.81724071145,73.2410874265372,131.959273721165,120.10145436372,121.289097853145,128.802132870397
"68",0,0,0,0,0,0,0
"69",0,0,0,0,0,0,0
"70",23.859963554929,0,21.0170387891485,0,0,0,0
"71",0,0,0,0,0,0,0
"72",0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0
"74",0,0,0,0,0,0,0
"75",0,0,0,0,0,0,0
"76",2.40905494998743,0,0,0,0,0,0
"77",0,0,0,0,0,0,0
"78",2.52912629029639,0,4.11479524026216,0,0,0,0
"79",0,0,0,0,0,0,0
"80",31.424710447924,0,25.2043218321055,0,0,0,0
"81",0,0,0,0,0,0,0
"82",0,0,0,0,0,0,0
"83",0,0,0,0,0,0,0
