"","age1_orange.H","age1_green.H","age2_no_comorbid_orange.H","age2_no_comorbid_green.H","age2_comorbid_green.H","age3_no_comorbid_green.H","age3_comorbid_green.H"
"1",0,0,0,0,0,0,0
"2",29.0152430486475,0,21.8792058892524,0,0,0,0
"3",0,0,0,0,0,0,0
"4",90.7873331468072,0,98.3695264843313,0,0,0,0
"5",0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0
"7",10.1069377774402,0,0,0,0,0,0
"8",0,0,0,0,0,0,0
"9",88.1741409496703,128.293427283192,107.436268112262,120.329355309762,125.749090267788,112.207874852686,110.763975319588
"10",0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0
"14",92.037475507993,0,96.5063452248321,0,0,0,0
"15",21.1478465827667,0,0,0,0,0,0
"16",107.808906958384,133.306014444629,103.887077670883,170.195429153041,153.173042176676,159.390839076948,152.709974974998
"17",0,0,0,0,0,0,0
"18",0,0,15.8664339286462,0,0,0,0
"19",0,0,0,0,0,0,0
"20",85.6367452742282,0,89.9141055333775,0,0,0,0
"21",26.6195013076234,0,8.90259236690328,0,0,0,0
"22",0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0
"25",38.2457510270846,0,0,0,0,0,0
"26",69.8428248687627,0,65.344055492763,0,0,0,64.0883728527991
"27",0,0,0.878581665483608,0,0,0,0
"28",0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0
"33",0,0,0,0,0,0,0
"34",0,0,6.51346441944199,0,0,0,0
"35",0,0,0,0,0,0,0
"36",0,0,6.85036140062745,0,0,0,0
"37",0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0
"40",79.2030844123232,0,85.6575243863902,0,0,119.1045861222,103.315663965639
"41",0,0,0,0,0,0,0
"42",0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0
"44",0,0,0,0,0,0,0
"45",31.8724067051517,0,5.64430182353421,0,0,0,0
"46",0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0
"49",26.026446224464,0,39.8980321155847,0,0,0,0
"50",0,0,0,0,0,0,0
"51",57.8188079674234,0,66.3556471442631,0,97.638847727656,0,141.722830745082
"52",0,0,0,0,0,0,0
"53",0,0,28.6280029341331,0,0,0,0
"54",57.008077577298,78.8130289074114,71.9735437275789,119.900512500905,99.2066746655058,139.081986445504,92.366490459145
"55",0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0
"57",59.2830975845906,0,50.2640275083145,0,0,0,0
"58",0,0,19.7731429110507,0,0,0,0
"59",0,0,0,0,0,0,0
"60",0,0,10.6491144986272,0,0,0,0
"61",0,0,0,0,0,0,0
"62",0,0,0,0,0,0,0
"63",0,0,0,0,0,0,0
"64",86.6418859932171,0,81.2889337441051,0,0,0,0
"65",0,0,0,0,0,0,0
"66",0,0,0,0,0,0,0
"67",0,0,4.48993623283837,0,0,0,0
"68",0,0,0,0,0,0,0
"69",8.16402923775251,0,0,0,0,0,0
"70",0,0,0,0,0,0,0
"71",0,0,0,0,0,0,0
"72",0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0
"74",92.0769809450696,0,101.635762054844,0,0,0,0
"75",0,0,0,0,0,0,0
"76",0,0,0,0,0,0,0
"77",0,0,0,0,0,0,0
"78",22.0827651700109,0,0,0,0,0,0
"79",0,0,0,0,0,0,0
"80",0,0,0,0,0,0,0
"81",0,0,0,0,0,0,0
"82",0,0,0,0,0,0,0
"83",0,0,0,0,0,0,0
"84",79.8528552698353,150.744717439782,89.0220614413193,172.877116166482,184.683392392553,135.908499952959,193.471006393571
"85",28.3507264323744,0,22.5450437615609,0,0,0,0
"86",0,0,0,0,0,0,0
"87",48.0666039223174,0,0,0,0,0,0
"88",88.0364048894932,149.906935507474,89.9196050886377,115.493548524018,136.44909007748,164.341425753909,151.524268319009
"89",0,0,0,0,0,0,0
"90",0,0,0,0,0,0,0
"91",0,0,0,0,0,0,0
"92",0,0,0,0,0,0,0
"93",0,0,0,0,0,0,0
"94",0,0,0,0,0,0,0
"95",0,0,0,0,0,0,0
"96",0,0,0,0,0,0,0
"97",0,0,0,0,0,0,0
"98",44.039130451094,0,0,0,0,0,0
"99",0,0,12.8845860397839,0,0,0,0
"100",19.6460681089705,0,0,0,0,0,0
"101",0,0,22.1015977447838,0,0,0,0
"102",0,0,20.6058725473946,0,0,0,0
"103",0,0,0,0,0,0,0
"104",0,0,0,0,0,0,0
"105",90.3767772118558,99.0516937658786,85.3661706426585,0,0,0,0
"106",11.4463397180582,0,4.41886342092725,0,0,0,0
"107",0,0,0,0,0,0,0
"108",0,0,0,0,0,0,0
"109",152.961043147143,174.314169493468,158.776939513032,193.310437919042,191.548801524458,208.149227955475,211.745784367954
"110",0,0,0,0,0,0,0
"111",0,0,14.5893248549846,0,0,0,0
"112",0,0,0,0,0,0,0
"113",0,0,0,0,0,0,0
"114",21.4287320465454,0,0,0,0,0,0
"115",0,0,0,0,0,0,0
"116",0,0,0,0,0,0,0
"117",82.9314178701614,0,96.1995176954637,0,0,0,0
"118",88.2650063903422,182.27300977187,94.0822980777714,98.2557958046705,183.618529361454,218.16587264544,194.86429952009
"119",0,0,0,0,0,0,0
"120",0,0,0,0,0,0,0
"121",0,0,4.34081564452295,0,0,0,0
"122",0,0,0,0,0,0,0
"123",0,0,0,0,0,0,0
"124",57.1743295438256,0,31.5131774163525,0,0,0,0
"125",0,0,0,0,0,0,0
"126",0,0,0,0,0,0,0
"127",0,0,0,0,0,0,0
"128",0,0,0,0,0,0,0
"129",0,0,0,0,0,0,0
"130",0,0,0,0,0,0,0
"131",80.0521586850823,0,73.1106905894596,0,91.7966852539166,0,67.1643645446339
"132",66.2051077712683,0,85.1178653575721,0,0,0,0
"133",0,0,33.5882760709829,0,0,0,0
"134",0,0,0,0,0,0,0
"135",73.1777918754593,0,27.1764392324768,0,0,0,0
"136",0,0,0,0,0,0,0
"137",0,0,0,0,0,0,0
"138",0,0,0,0,0,0,0
"139",0,0,13.9080391537278,0,0,0,0
"140",127.723807879006,193.102848125615,135.424122917427,158.686801524562,181.976191154055,192.765410341129,225.265748403699
"141",0,0,0,0,0,0,0
"142",0,0,0,0,0,0,0
"143",0,0,0,0,0,0,0
"144",0,0,0,0,0,0,0
"145",0,0,0,0,0,0,0
"146",0,0,0,0,0,0,0
"147",0,0,44.3159145556306,0,0,0,0
"148",0,0,0,0,0,0,0
"149",112.539683015773,140.568151017951,119.664072458622,161.013315981838,151.520693729323,129.828537204572,159.730182358356
"150",0,0,0,0,0,0,0
"151",0,0,0,0,0,0,0
"152",50.5012956348629,119.454713836059,50.7540342422874,107.918446204302,117.426539285549,130.039113951091,111.994740915645
"153",116.517997961262,148.091628989091,133.967190732734,150.302405312719,150.644413823629,163.055042182594,155.360633929296
"154",0,0,0,0,0,0,0
"155",0,0,0,0,0,0,0
"156",0,0,0,0,0,0,0
"157",0,0,0,0,0,0,0
"158",0,0,8.09927621935585,0,0,0,0
"159",0,0,0,0,0,0,0
"160",16.69367459547,0,22.1464818664922,0,0,0,0
"161",0,0,0,0,0,0,0
"162",0,0,0,0,0,0,0
"163",0,0,0,0,0,0,0
"164",0,0,0,0,0,0,0
"165",0,0,0,0,0,0,0
"166",0,0,0,0,0,0,0
"167",0,0,0,0,0,0,0
"168",97.4392640726995,0,82.0641083505408,0,0,0,0
"169",0,0,0,0,0,0,0
"170",91.1713569160415,145.393452266338,108.180563254612,133.411970327337,163.729402366092,160.051756290457,157.11139337402
"171",0,0,0,0,0,0,0
"172",0,0,0,0,0,0,0
"173",0,0,0,0,0,0,0
"174",0,0,0,0,0,0,0
"175",0,0,0,0,0,0,0
"176",52.4091641725157,83.050955234022,53.3322800997887,91.2241245919132,103.413480746996,117.882700073941,96.0568972795878
"177",0,0,0,0,0,0,0
"178",0,0,0,0,0,0,0
"179",0,0,0,0,0,0,0
"180",0,0,0,0,0,0,0
"181",0,0,0,0,0,0,0
"182",0,0,0,0,0,0,0
"183",105.674642323608,156.602260271502,133.641039307051,198.067169943294,173.436053562427,162.360185429927,175.047778830382
"184",0,0,0,0,0,0,0
"185",0,0,0,0,0,0,0
"186",0,0,0,0,0,0,0
"187",0,0,0,0,0,0,0
"188",67.8079562559037,117.224056471749,68.6230897739696,0,102.528916601137,0,113.421619325962
"189",13.8687096022266,0,48.936231127501,0,0,0,0
"190",0,0,21.7513844085544,0,0,0,0
"191",24.6310494087816,0,0,0,0,0,0
"192",0,0,0,0,0,0,0
"193",0,0,0,0,0,0,0
"194",0,0,0,0,0,0,0
"195",0,0,16.6537164139808,0,0,0,0
"196",0,0,0,0,0,0,0
"197",98.444052858177,0,106.653741552621,0,0,0,0
"198",0,0,0,0,0,0,0
"199",0,0,0,0,0,0,0
"200",0,0,0,0,0,0,0
"201",80.6983278000443,0,25.9618842336073,0,0,0,0
"202",0,0,0,0,0,0,0
"203",0,0,0,0,0,0,0
"204",74.9961413962813,0,74.9524526677473,0,0,0,0
"205",0,0,0,0,0,0,0
"206",0,0,5.93468166782405,0,0,0,0
"207",0,0,0,0,0,0,0
"208",0,0,0,0,0,0,0
"209",0,0,0,0,0,0,0
"210",71.147299286311,104.285530990872,75.6297185272341,110.134231928912,124.8839716024,151.993438908307,125.408637038394
"211",10.5851169675062,0,0,0,0,0,0
"212",108.199603817749,134.280920114141,100.048178828141,133.205901627858,130.257000300555,142.788197391133,143.187815651926
"213",0,0,0,0,0,0,0
"214",84.8923777759694,122.293639263945,86.2257507319064,114.544062987888,121.081525354497,128.392011550984,117.310765843013
"215",0,0,0,0,0,0,0
"216",0,0,0,0,0,0,0
"217",0,0,0,0,0,0,0
"218",0,0,0,0,0,0,0
"219",0,0,0,0,0,0,0
"220",0,0,0,0,0,0,0
"221",0,0,0,0,0,0,0
"222",0,0,0,0,0,0,0
"223",0,0,0,0,0,0,0
"224",0,0,0,0,0,0,0
"225",0,0,0,0,0,0,0
"226",0,0,0,0,0,0,0
"227",148.22259941482,0,153.789484161423,0,0,0,0
"228",0,0,0,0,0,0,0
"229",0,0,0,0,0,0,0
"230",0,0,0,0,0,0,0
"231",0,0,0,0,0,0,0
"232",28.8534422645708,0,55.8361872173242,0,0,0,0
"233",0,0,0,0,0,0,0
"234",0,0,0,0,0,0,0
"235",0,0,0,0,0,0,0
"236",0,0,0,0,0,0,0
"237",0,0,0,0,0,0,0
"238",27.3982056320734,0,21.7788930083717,0,0,0,0
"239",0,0,0,0,0,0,0
"240",0,0,0,0,0,0,0
"241",0,0,0,0,0,0,0
"242",0,0,0,0,0,0,0
"243",0,0,0,0,0,0,0
"244",27.7522529597272,0,51.2756883483078,0,0,0,0
"245",0,0,0,0,0,0,0
"246",0,0,1.76069770792192,0,0,0,0
"247",0,0,0,0,0,0,0
"248",0,0,0,0,0,0,0
"249",0,0,0,0,0,0,0
"250",0,0,0,0,0,0,0
"251",0,0,0,0,0,0,0
"252",0,0,0,0,0,0,0
"253",0,0,0,0,0,0,0
"254",0,0,25.1456574945928,0,0,0,0
"255",0,0,0,0,0,0,0
"256",0,0,0,0,0,0,0
"257",0,0,0,0,0,0,0
"258",0,0,0,0,0,0,0
"259",0,0,0,0,0,0,0
"260",0,0,0,0,0,0,0
"261",24.1699957156812,0,0,0,0,0,0
"262",0,0,0,0,0,0,0
"263",120.131031843519,0,118.050881826296,0,0,0,0
"264",0,0,0,0,0,0,0
"265",0,0,0,0,0,0,0
"266",79.3663928685502,124.937522177387,69.3803720102581,104.095594998719,130.656735283162,109.094094543769,122.659348424444
"267",0,0,6.62063850774762,0,0,0,0
"268",0,0,0,0,0,0,0
"269",105.23089245591,0,114.873022578984,0,0,0,0
"270",0,0,0,0,0,0,0
"271",0,0,0,0,0,0,0
"272",70.4256378553351,0,61.8269098322798,0,0,0,0
"273",0,0,0,0,0,0,0
"274",0,0,0,0,0,0,0
"275",0,0,0,0,0,0,0
"276",0,0,0,0,0,0,0
"277",0,0,0,0,0,0,0
"278",0,0,0,0,0,0,0
"279",0,0,0,0,0,0,0
"280",0,0,0,0,0,0,0
"281",0,0,0,0,0,0,0
"282",18.5856068317248,0,0,0,0,0,0
"283",0,0,0,0,0,0,0
"284",10.7525732398329,0,0,0,0,0,0
"285",88.1181718942555,0,86.872892131808,0,0,0,0
