"","age1_orange.I","age1_green.I","age2_no_comorbid_orange.I","age2_no_comorbid_green.I","age2_comorbid_green.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"1",10.7825962543636,0,9.25233878887011,0,0,0,0
"2",12.3922735183667,0,6.42635145246092,0,0,0,0
"3",0,0,4.86015386966523,0,0,0,0
"4",52.8047705768062,0,37.5905750461664,0,0,0,0
"5",0,0,4.07622251692329,0,0,0,0
"6",0,0,2.54178014267819,0,0,0,0
"7",0,0,5.52856061656405,0,0,0,0
"8",0,0,1.74728239946082,0,0,0,0
"9",8.31228882744568,0,4.48526965597597,0,0,0,0
"10",0,0,4.77907426408118,0,0,0,0
"11",5.71071479915149,0,2.95853580238231,0,0,0,0
"12",0,0,2.84080238060713,0,0,0,0
"13",73.759627996419,0,85.3580360405598,0,0,0,0
"14",0,0,10.6408113810947,0,0,0,0
"15",17.7020194019579,0,4.18155645396582,0,0,0,0
"16",0,0,4.13086800946911,0,0,0,0
"17",0,0,4.71463327709314,0,0,0,0
"18",0,0,1.58915977780519,0,0,0,0
"19",0,0,1.51691386368385,0,0,0,0
"20",0,0,0.466415057311789,0,0,0,0
"21",0,0,1.63248442023391,0,0,0,0
"22",0,0,0,0,0,0,0
"23",17.6361564031971,0,19.3473488986665,0,0,0,0
"24",0,0,2.23718691889778,0,0,0,0
"25",0,0,6.70606391070209,0,0,0,0
"26",15.3143844613143,0,4.90521489474022,0,0,0,0
"27",0,0,5.79851816237154,0,0,0,0
"28",0,0,2.16394069614091,0,0,0,0
"29",30.967593115832,0,23.4159320635889,0,0,0,0
"30",13.8198184353255,0,13.4778946544461,0,0,0,0
"31",0,0,0.380925897128906,0,0,0,0
"32",0,0,1.49064287591368,0,0,0,0
"33",0,0,0,0,0,0,0
"34",0,0,2.47618130682899,0,0,0,0
"35",0,0,0,0,0,0,0
"36",0,0,2.76962451103507,0,0,0,0
"37",0,0,14.8734683568576,0,0,0,0
"38",28.5011365206955,0,65.3950255022861,0,0,0,0
"39",9.61145534938168,0,0,0,0,0,0
"40",13.1747021466735,0,7.56388683907165,0,0,0,0
"41",0,0,1.73130172542507,0,0,0,0
"42",0,0,17.2699948118042,0,0,0,0
"43",0,0,4.9377342612869,0,0,0,0
"44",10.6525762258971,0,18.8582966914641,0,0,0,0
"45",0,0,2.78873863539691,0,0,0,0
"46",0,0,0,0,0,0,0
