"","age1_orange.H","age1_green.H","age2_no_comorbid_orange.H","age2_no_comorbid_green.H","age2_comorbid_green.H","age3_no_comorbid_green.H","age3_comorbid_green.H"
"1",8,0,12,0,0,0,0
"2",0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0
"4",10,0,5,0,0,0,0
"5",9,0,8,0,0,0,0
"6",6,0,6,2,2,1,2
"7",7,0,5,0,0,0,0
"8",6,0,7,0,1,0,1
"9",7,0,10,0,0,0,0
"10",9,0,5,0,1,1,1
"11",5,0,5,0,0,0,0
"12",0,0,0,0,0,0,0
"13",7,0,6,0,0,0,0
"14",6,0,7,0,0,0,0
"15",7,0,10,0,0,0,0
"16",7,0,9,0,0,0,0
"17",5,0,5,0,0,0,0
"18",10,0,9,0,0,0,0
"19",0,0,0,0,0,0,0
"20",4,1,9,1,3,1,2
"21",8,0,8,0,0,0,0
"22",7,0,6,0,0,0,0
"23",7,0,6,0,0,0,0
"24",7,0,6,0,1,1,1
"25",0,0,0,0,0,0,0
"26",7,1,6,1,5,1,5
"27",6,0,3,0,0,0,0
"28",0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0
"30",6,0,9,0,0,0,0
"31",0,0,0,0,0,0,0
"32",6,0,6,0,0,0,0
"33",5,0,6,0,0,0,0
"34",0,0,0,0,0,0,0
"35",0,0,0,0,0,0,0
"36",0,0,0,0,0,0,0
"37",6,0,6,0,0,0,0
"38",0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0
"40",8,1,7,2,2,1,4
"41",9,0,8,0,0,0,1
"42",0,0,0,0,0,0,0
"43",7,0,9,0,0,0,0
"44",0,0,0,0,0,0,0
"45",8,2,8,1,4,2,4
"46",8,0,5,0,0,0,0
"47",6,0,4,0,0,0,0
"48",0,0,0,0,0,0,0
"49",5,1,7,0,4,2,3
"50",8,0,9,0,0,0,0
"51",6,0,4,0,3,0,2
"52",4,1,7,1,4,4,2
"53",7,0,6,0,0,0,0
"54",0,0,0,0,0,0,0
"55",9,0,8,0,0,0,0
"56",6,0,9,0,0,1,1
"57",8,0,4,0,0,0,0
"58",0,0,0,0,0,0,0
"59",6,1,8,1,4,2,4
"60",7,0,5,0,0,0,0
"61",11,0,6,0,1,1,2
"62",0,0,0,0,0,0,0
"63",8,0,5,0,0,0,0
"64",0,0,0,0,0,0,0
"65",7,0,8,0,0,0,0
"66",5,0,8,0,0,0,0
"67",0,0,0,0,0,0,0
"68",0,0,0,0,0,0,0
"69",7,0,4,0,0,0,0
"70",0,0,0,0,0,0,0
"71",5,0,4,0,0,0,0
"72",4,0,7,0,0,0,0
"73",6,1,5,0,5,2,3
"74",7,1,7,0,3,1,3
"75",7,2,10,1,2,2,4
"76",9,0,7,0,0,0,0
"77",7,0,6,0,0,0,0
"78",3,0,6,0,2,2,1
"79",7,0,6,0,0,0,0
"80",7,0,10,0,0,0,0
"81",5,1,3,0,10,2,6
"82",0,0,0,0,0,0,0
"83",5,0,6,0,0,0,0
"84",6,0,8,0,0,0,0
"85",7,0,6,0,0,0,0
"86",5,1,6,1,7,1,2
"87",0,0,0,0,0,0,0
"88",6,0,7,0,0,0,0
"89",0,0,0,0,0,0,0
"90",7,0,5,0,0,0,0
"91",5,1,5,1,3,1,2
"92",0,0,0,0,0,0,0
"93",0,0,0,0,0,0,0
"94",9,0,8,0,0,0,0
"95",7,0,6,0,0,0,0
"96",0,0,0,0,0,0,0
"97",5,0,8,0,0,0,0
"98",5,0,5,0,0,0,1
"99",4,0,5,0,0,0,1
"100",6,0,10,0,0,0,1
"101",0,0,0,0,0,0,0
"102",8,0,6,0,0,0,0
"103",6,0,6,0,0,0,0
"104",4,1,6,0,4,1,1
"105",7,1,7,0,0,0,0
"106",5,2,7,1,2,1,3
"107",6,0,10,0,0,0,0
"108",9,0,7,0,0,0,0
"109",0,0,1,0,0,0,0
"110",10,1,8,0,4,1,3
"111",7,0,9,0,1,0,0
"112",6,0,8,0,0,0,0
"113",7,0,9,0,0,0,0
"114",5,0,8,0,0,0,0
"115",6,0,5,0,0,0,0
"116",0,0,0,0,0,0,0
"117",2,0,0,0,0,0,0
"118",0,0,0,0,0,0,0
"119",8,0,4,0,0,0,0
"120",5,0,6,0,0,0,0
"121",0,0,0,0,0,0,0
"122",5,0,4,0,0,0,0
"123",0,0,0,0,0,0,0
"124",0,0,0,0,0,0,0
"125",0,0,0,0,0,0,0
"126",5,0,5,0,0,0,0
"127",0,0,0,0,0,0,0
"128",6,0,7,0,0,0,0
"129",5,0,7,0,0,0,0
"130",6,0,8,0,0,0,0
"131",6,0,6,0,0,0,0
"132",7,0,10,0,0,0,0
"133",5,0,6,0,0,0,0
"134",6,0,5,0,2,0,1
"135",14,0,4,0,0,0,0
"136",0,0,0,0,0,0,0
"137",0,0,0,0,0,0,0
"138",0,0,0,0,0,0,0
"139",0,0,0,0,0,0,0
"140",7,1,5,0,1,1,0
"141",0,0,0,0,0,0,0
"142",9,0,7,0,0,0,0
"143",0,0,0,0,0,0,0
"144",4,0,7,0,1,0,0
"145",5,0,6,0,0,0,0
"146",6,0,7,0,0,0,0
"147",6,0,6,0,0,0,0
"148",4,0,4,0,0,0,1
"149",0,0,0,0,0,0,0
"150",8,0,10,0,0,0,0
"151",5,0,5,0,0,0,0
"152",6,0,7,0,0,0,0
"153",4,0,9,0,0,0,0
"154",9,0,5,0,0,0,0
"155",0,0,0,0,0,0,0
"156",9,0,8,0,0,0,1
"157",0,0,0,0,0,0,0
"158",6,0,6,0,0,0,0
"159",5,0,5,0,0,0,0
"160",8,2,7,1,3,1,3
"161",6,0,8,0,1,0,0
"162",8,0,7,0,0,0,0
"163",9,0,8,0,0,0,0
"164",0,0,0,0,0,0,0
"165",0,0,0,0,0,0,0
"166",9,0,7,0,0,0,0
"167",0,0,0,0,0,0,0
"168",4,0,8,0,0,0,0
"169",4,0,8,0,0,0,0
"170",8,0,5,0,0,0,0
"171",0,0,0,0,0,0,0
"172",6,0,7,0,0,0,0
"173",6,0,5,0,0,0,0
"174",8,0,6,0,0,0,0
"175",4,0,8,0,0,0,0
"176",7,0,7,0,0,0,0
"177",6,0,5,0,0,0,0
"178",0,0,0,0,0,0,0
"179",7,0,6,0,0,0,0
"180",6,0,7,1,5,2,2
"181",6,0,6,0,0,0,0
"182",0,0,0,0,0,0,0
"183",8,0,6,0,0,0,0
"184",4,0,6,0,0,0,1
"185",7,0,3,0,0,0,0
"186",5,0,5,0,0,0,0
"187",6,0,8,0,0,0,0
"188",5,0,3,0,0,0,1
"189",8,0,7,0,0,0,0
"190",4,0,8,0,0,0,0
"191",7,1,8,0,0,1,0
"192",7,0,6,0,0,0,0
"193",7,0,4,0,0,0,0
"194",6,0,6,0,0,0,1
"195",6,0,6,0,0,0,1
"196",5,0,6,0,0,0,0
"197",4,0,6,0,0,0,0
"198",5,0,5,0,0,0,0
"199",10,0,11,0,0,0,0
"200",6,0,8,0,0,0,0
"201",9,0,11,0,0,0,0
"202",0,0,0,0,0,0,0
"203",6,0,9,1,2,1,3
"204",7,0,5,0,0,0,0
"205",5,0,6,0,0,0,0
"206",5,0,4,0,0,0,0
"207",0,0,0,0,0,0,0
"208",0,0,0,0,0,0,0
"209",8,1,8,0,3,1,3
"210",6,0,5,0,0,0,0
"211",6,0,9,0,0,0,0
"212",5,0,11,0,0,0,0
"213",0,0,0,0,0,0,0
"214",6,0,7,0,0,0,0
"215",0,0,0,0,0,0,0
"216",9,0,8,0,0,0,0
"217",5,1,11,1,5,1,3
"218",7,0,8,0,0,0,1
"219",7,0,5,0,0,0,0
"220",0,0,0,0,0,0,0
"221",7,1,5,1,4,1,4
"222",5,0,6,0,0,0,0
"223",5,0,7,0,0,0,0
"224",6,1,8,1,5,3,6
"225",6,0,6,0,0,0,0
"226",8,1,8,2,6,1,3
"227",8,0,5,0,0,0,0
"228",6,0,7,0,0,0,0
"229",0,0,0,0,0,0,0
"230",0,0,0,0,0,0,0
"231",8,0,7,0,0,0,0
"232",0,0,0,0,0,0,0
"233",0,0,0,0,0,0,0
"234",5,1,7,0,4,1,2
"235",7,0,6,0,0,0,0
"236",5,0,8,0,0,0,0
"237",6,0,7,0,0,0,0
"238",0,0,0,0,0,0,0
"239",8,0,11,0,0,0,0
"240",0,0,0,0,0,0,0
"241",6,0,7,0,0,0,0
"242",8,0,7,0,0,1,0
"243",0,0,0,0,0,0,0
"244",0,0,0,0,0,0,0
"245",6,0,5,0,0,0,0
"246",6,0,5,0,0,0,0
"247",6,0,5,0,0,0,0
"248",6,0,7,0,3,1,2
"249",5,0,6,0,0,0,0
"250",0,0,0,0,0,0,0
"251",0,0,0,0,0,0,0
"252",7,1,4,1,2,1,3
"253",6,0,5,0,0,0,0
"254",0,0,0,0,0,0,0
"255",6,0,8,0,0,0,0
"256",0,0,0,0,0,0,0
"257",6,0,9,0,0,0,0
"258",8,0,5,0,0,0,0
"259",7,0,5,0,0,0,1
"260",9,0,6,0,0,0,0
"261",0,0,0,0,0,0,0
"262",5,0,5,0,0,0,0
"263",8,0,7,0,0,0,0
"264",0,0,0,0,0,0,0
"265",7,0,5,1,2,1,2
"266",6,0,9,0,0,0,1
"267",0,0,0,0,0,0,0
"268",7,0,5,0,0,0,0
"269",0,0,0,0,0,0,0
"270",5,0,8,0,0,0,0
"271",7,0,6,0,0,0,0
"272",6,0,10,0,0,0,0
"273",9,0,6,0,0,1,0
"274",0,0,0,0,0,0,0
"275",0,0,0,0,0,0,0
"276",7,0,7,0,0,0,0
"277",5,0,6,0,0,0,0
"278",0,0,0,0,0,0,0
"279",0,0,0,0,0,0,0
"280",6,1,7,1,3,3,4
"281",9,0,4,0,0,0,0
"282",5,0,5,0,0,0,0
"283",6,0,9,0,0,0,0
"284",5,0,6,0,0,0,0
"285",0,0,0,0,0,0,0
"286",6,0,4,0,0,0,0
"287",5,0,5,0,0,0,0
"288",0,0,1,0,0,0,0
"289",6,0,9,0,0,0,0
"290",7,0,11,0,0,0,0
"291",6,1,6,0,2,1,4
"292",0,0,0,0,0,0,0
"293",6,0,8,0,0,0,1
"294",7,0,6,0,0,0,0
"295",8,0,7,0,1,0,0
"296",5,0,9,0,0,0,0
"297",0,0,0,0,0,0,0
"298",0,0,0,0,0,0,0
"299",7,1,7,2,2,1,5
"300",8,0,8,0,0,0,0
"301",10,0,4,0,0,0,0
"302",0,0,0,0,0,0,0
"303",0,0,0,0,0,0,0
"304",6,0,7,0,0,0,0
"305",6,0,5,1,1,0,1
"306",0,0,0,0,0,0,0
"307",4,0,5,0,0,0,0
"308",6,0,4,0,0,0,0
"309",6,0,7,0,0,0,0
"310",0,0,0,0,0,0,0
"311",6,0,6,0,0,0,0
"312",5,0,4,0,0,0,0
"313",6,0,6,0,0,0,0
"314",8,0,9,0,0,0,0
"315",6,0,5,0,0,0,0
"316",11,0,6,0,0,0,0
"317",3,0,6,0,0,0,0
"318",6,0,5,0,0,0,1
"319",6,0,8,0,0,0,0
"320",7,0,9,0,0,0,0
"321",5,0,4,0,0,0,0
"322",7,0,3,0,0,0,1
"323",4,0,8,0,0,0,0
"324",6,0,10,0,0,0,0
"325",9,0,7,0,2,1,3
"326",5,0,7,0,1,0,1
"327",5,0,7,0,0,0,0
"328",0,0,0,0,0,0,0
"329",4,0,8,0,0,0,0
"330",0,0,0,0,0,0,0
"331",5,0,9,0,0,0,0
"332",12,0,7,0,0,0,0
"333",0,0,0,0,0,0,0
"334",0,0,0,0,0,0,0
"335",0,0,0,0,0,0,0
"336",7,0,6,0,0,0,0
"337",6,0,8,0,0,0,2
"338",5,0,12,0,0,0,0
"339",9,0,11,0,0,0,0
"340",6,1,11,0,0,0,0
"341",7,0,8,0,0,0,0
"342",8,0,7,0,0,0,0
"343",6,0,5,0,0,0,0
"344",6,0,4,0,0,0,0
"345",0,0,0,0,0,0,0
"346",8,0,7,0,0,0,0
"347",10,0,7,0,0,0,0
"348",7,0,7,0,0,0,0
"349",0,0,0,0,0,0,0
"350",10,0,4,0,0,0,0
"351",0,0,0,0,0,0,0
"352",0,0,0,0,0,0,0
"353",0,0,0,0,0,0,0
"354",4,0,5,0,0,0,0
"355",6,0,6,0,0,0,0
"356",6,0,7,0,0,0,0
"357",7,1,4,1,1,1,2
"358",7,1,5,0,4,2,5
"359",8,0,4,0,0,0,0
"360",6,0,9,0,0,0,0
"361",0,0,0,0,0,0,0
"362",0,0,0,0,0,0,0
"363",6,0,5,0,0,0,0
"364",8,0,5,0,0,0,0
"365",0,0,0,0,0,0,0
"366",7,0,6,0,0,0,0
"367",7,0,9,0,0,0,0
"368",0,0,0,0,0,0,0
"369",0,0,0,0,0,0,0
"370",6,0,7,0,0,0,0
"371",0,0,0,0,0,0,0
"372",6,0,11,0,0,0,0
"373",0,0,0,0,0,0,0
"374",5,0,3,0,0,0,0
"375",6,0,4,0,0,0,0
"376",6,0,7,0,0,0,0
"377",8,0,5,0,0,0,0
"378",0,0,0,0,0,0,0
"379",5,0,6,0,0,0,0
"380",8,0,9,0,0,0,0
"381",8,0,5,0,1,0,0
"382",6,0,8,0,0,0,0
"383",6,1,7,0,4,2,6
"384",0,0,0,0,0,0,0
"385",5,0,4,0,0,0,0
"386",8,0,8,0,0,0,0
"387",7,0,4,0,0,0,0
"388",3,0,7,0,0,0,0
"389",0,0,0,0,0,0,0
"390",6,0,6,0,0,0,0
"391",8,0,10,0,0,0,0
"392",0,0,0,0,0,0,0
"393",9,0,7,0,0,0,0
"394",4,2,9,1,3,3,2
"395",6,0,9,0,0,0,0
"396",6,0,7,0,0,0,0
"397",9,0,4,0,0,0,0
"398",5,0,5,0,0,0,0
"399",7,0,7,0,0,0,0
"400",7,0,5,0,0,0,1
"401",5,0,5,0,0,0,0
"402",6,0,6,0,0,0,0
"403",13,0,6,0,0,0,0
"404",0,0,0,0,0,0,0
"405",7,0,4,0,0,0,0
"406",6,0,7,0,0,0,0
"407",8,0,6,0,0,0,0
"408",10,0,6,0,0,1,0
"409",7,1,5,1,3,2,4
"410",6,0,4,0,1,0,0
"411",6,0,3,0,0,0,0
"412",7,0,9,0,0,0,0
"413",8,0,4,0,0,0,0
"414",0,0,0,0,0,0,0
"415",7,0,5,0,0,0,0
"416",0,0,0,0,0,0,0
"417",5,0,6,0,0,0,0
"418",9,0,5,0,0,0,0
"419",5,0,5,0,0,0,0
"420",0,0,0,0,0,0,0
"421",0,0,0,0,0,0,0
"422",8,0,8,0,0,0,0
"423",0,0,0,0,0,0,0
"424",8,0,6,0,0,0,0
"425",0,0,0,0,0,0,0
"426",6,0,9,0,0,0,0
"427",7,1,10,1,3,2,5
"428",4,0,5,0,0,0,0
"429",3,1,8,1,5,1,4
"430",9,2,5,1,3,2,4
"431",5,0,6,0,0,0,0
"432",0,0,0,0,0,0,0
"433",6,0,6,0,1,1,3
"434",6,1,4,2,3,2,4
"435",0,0,0,0,0,0,0
"436",6,0,8,0,0,0,0
"437",5,1,7,1,2,0,2
"438",5,0,5,1,4,1,4
"439",5,0,8,0,2,1,2
"440",7,0,7,0,0,0,0
"441",0,0,0,0,0,0,0
"442",10,0,8,0,0,0,0
"443",4,0,6,0,0,0,0
"444",7,0,6,0,0,0,0
"445",8,0,9,0,0,0,0
"446",0,0,0,0,0,0,0
"447",7,0,4,0,0,0,0
"448",4,0,5,0,0,0,0
"449",8,0,4,0,0,0,0
"450",0,0,0,0,0,0,0
"451",0,0,0,0,0,0,0
"452",0,0,0,0,0,0,0
"453",8,0,3,0,0,0,0
"454",7,0,3,0,0,0,0
"455",7,0,6,0,0,0,0
"456",6,0,7,0,0,0,0
"457",6,0,7,0,0,0,1
"458",3,1,9,1,1,0,2
"459",9,0,9,0,3,1,1
"460",5,0,6,0,0,0,0
"461",5,0,9,0,0,0,0
"462",6,0,5,0,0,0,0
"463",5,0,8,1,0,0,0
"464",7,0,10,0,1,0,2
"465",4,0,7,0,0,0,0
"466",8,0,10,0,0,0,0
"467",5,1,5,0,0,0,0
"468",6,0,5,0,0,0,0
"469",0,0,0,0,0,0,0
"470",7,0,5,0,0,0,0
"471",7,0,8,0,0,0,0
"472",8,0,5,0,0,0,0
"473",6,2,11,1,2,0,2
"474",5,0,4,0,0,0,0
"475",0,0,0,0,0,0,0
