"","age1_orange.H","age1_green.H","age2_no_comorbid_orange.H","age2_no_comorbid_green.H","age2_comorbid_green.H","age3_no_comorbid_green.H","age3_comorbid_green.H"
"1",0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0
"4",40.9260099295529,0,0,0,0,0,0
"5",0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0
"9",66.0247991175147,0,38.973359183851,0,0,0,0
"10",67.8093771582285,0,90.0678120181832,0,0,0,0
"11",0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0
"14",72.0014255408766,0,112.094640388161,0,0,0,0
"15",0,0,0,0,0,0,0
"16",0,0,46.3808400045947,0,0,0,0
"17",0,0,0,0,0,0,0
"18",179.780631692378,0,125.759710906074,0,0,0,0
"19",0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0
"23",61.0254280455379,0,49.7750081329867,0,0,0,0
"24",0,0,0,0,0,0,0
"25",0,0,10.1724104209526,0,0,0,0
"26",0,0,6.38264119211412,0,0,0,0
"27",85.7952759936268,0,135.364670729778,0,0,0,0
"28",0,0,0,0,0,0,0
"29",0,0,46.9660850248292,0,0,0,0
"30",0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0
"32",29.6904578446958,0,71.4451704727777,0,0,0,0
"33",0,0,0,0,0,0,0
"34",17.6829461827112,0,0,0,0,0,0
"35",66.7041053417902,0,60.4834470303529,0,0,0,0
"36",0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0
"40",0,0,0,0,0,0,0
"41",45.0468730817809,0,91.8011541925444,0,0,0,0
"42",0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0
"44",0,0,0,0,0,0,0
"45",0,0,0,0,0,0,0
"46",58.6747647132142,0,40.7072386150898,0,0,0,0
"47",25.8147804415946,0,0,0,0,0,0
"48",0,0,0,0,0,0,0
"49",0,0,24.6313209977741,0,0,0,0
"50",141.246441419851,0,162.962191640703,0,0,0,0
"51",27.4497302164632,0,0,0,0,0,0
"52",0,0,0,0,0,0,0
"53",0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0
"57",0,0,0,0,0,0,0
"58",0,0,0,0,0,0,0
"59",0,0,0,0,0,0,0
"60",0,0,0,0,0,0,0
"61",0,0,0,0,0,0,0
"62",0,0,17.4728362434435,0,0,0,0
"63",0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0
"65",0,0,0,0,0,0,0
"66",0,0,0,0,0,0,0
"67",0,0,10.7181593357926,0,0,0,0
"68",98.9664128031111,0,64.8368761720753,0,0,0,0
"69",0,0,0,0,0,0,0
"70",0,0,0,0,0,0,0
"71",134.318243554002,0,61.7511258664266,0,0,0,0
"72",54.1057451650324,0,50.4876927368939,0,0,0,0
"73",29.678807785092,0,0,0,0,0,0
"74",0,0,0,0,0,0,0
"75",31.8259900959377,0,91.5454449968529,0,0,0,0
"76",0,0,0,0,0,0,0
"77",0,0,0,0,0,0,0
"78",0,0,0,0,0,0,0
"79",0,0,0,0,0,0,0
"80",0,0,0,0,0,0,0
"81",0,0,0,0,0,0,0
"82",0,0,0,0,0,0,0
"83",100.748901783704,0,39.4549059608212,0,0,0,0
"84",0,0,0,0,0,0,0
"85",0,0,0,0,0,0,0
"86",110.223976501576,0,51.1688208517416,0,0,0,0
"87",0,0,0,0,0,0,0
"88",0,0,0,0,0,0,0
"89",33.7043780303809,0,0,0,0,0,0
"90",0,0,0,0,0,0,0
"91",0,0,0,0,0,0,0
"92",0,0,0,0,0,0,0
"93",0,0,0,0,0,0,0
"94",0,0,0,0,0,0,0
"95",0,0,0,0,0,0,0
"96",0,0,0,0,0,0,0
"97",0,0,0,0,0,0,0
"98",0,0,0,0,0,0,0
"99",0,0,0,0,0,0,0
"100",148.344601081796,0,142.343736646075,0,0,0,0
"101",92.0897551343116,0,6.3844152459495,0,0,0,0
"102",22.9551764965623,0,0,0,0,0,0
"103",70.7301920507279,0,49.6201199277034,0,0,0,0
"104",0,0,0,0,0,0,0
"105",83.4179173770625,0,0,0,0,0,0
"106",0,0,0,0,0,0,0
"107",25.4473750482617,0,0,0,0,0,0
"108",0,0,0,0,0,0,0
"109",0,0,0,0,0,0,0
"110",0,0,0,0,0,0,0
"111",0,0,0,0,0,0,0
"112",0,0,0,0,0,0,0
"113",0,0,0,0,0,0,0
"114",0,0,0,0,0,0,0
"115",0,0,0,0,0,0,0
"116",0,0,0,0,0,0,0
"117",0,0,0,0,0,0,0
"118",0,0,0,0,0,0,0
"119",92.8118205842846,0,74.8093713267784,0,0,0,0
"120",0,0,0,0,0,0,0
"121",198.607599663377,0,69.6463120576074,0,0,0,0
"122",0,0,0,0,0,0,0
"123",0,0,0,0,0,0,0
"124",0,0,19.4175538761708,0,0,0,0
"125",0,0,0,0,0,0,0
"126",0,0,0,0,0,0,0
"127",0,0,0,0,0,0,0
"128",0,0,0,0,0,0,0
"129",0,0,0,0,0,0,0
"130",0,0,0,0,0,0,0
"131",0,0,0,0,0,0,0
"132",0,0,0,0,0,0,0
"133",0,0,0,0,0,0,0
"134",0,0,0,0,0,0,0
"135",49.3653201653357,0,50.2779690413651,0,0,0,0
"136",0,0,0,0,0,0,0
"137",0,0,0,0,0,0,0
"138",0,0,0,0,0,0,0
"139",0,0,0,0,0,0,0
"140",0,0,0,0,0,0,0
"141",0,0,0,0,0,0,0
"142",0,0,0,0,0,0,0
"143",63.295495515461,0,55.1532143677072,0,0,0,0
"144",0,0,0,0,0,0,0
"145",0,0,32.2500977846017,0,0,0,0
"146",82.8924449493657,0,81.2358077050296,0,0,0,0
"147",0,0,0,0,0,0,0
"148",0,0,0,0,0,0,0
"149",0,0,0,0,0,0,0
"150",0,0,0,0,0,0,0
"151",0,0,0,0,0,0,0
"152",76.7861417626028,0,201.067567717961,0,0,0,0
"153",0,0,0,0,0,0,0
"154",0,0,0,0,0,0,0
"155",0,0,0,0,0,0,0
"156",0,0,0,0,0,0,0
"157",0,0,0,0,0,0,0
"158",0,0,0,0,0,0,0
"159",0,0,0,0,0,0,0
"160",0,0,0,0,0,0,0
"161",44.2539539806823,0,0,0,0,0,0
"162",0,0,0,0,0,0,0
"163",0,0,0,0,0,0,0
"164",0,0,0,0,0,0,0
"165",0,0,0,0,0,0,0
"166",0,0,0,0,0,0,0
"167",0,0,0,0,0,0,0
"168",0,0,0,0,0,0,0
"169",0,0,0,0,0,0,0
"170",0,0,0,0,0,0,0
"171",0,0,0,0,0,0,0
"172",0,0,0,0,0,0,0
"173",0,0,0,0,0,0,0
"174",0,0,0,0,0,0,0
"175",0,0,0,0,0,0,0
"176",14.1808503406215,0,0,0,0,0,0
"177",0,0,0,0,0,0,0
"178",0,0,20.0349225819764,0,0,0,0
"179",0,0,0,0,0,0,0
"180",0,0,0,0,0,0,0
"181",0,0,0,0,0,0,0
"182",0,0,0,0,0,0,0
"183",0,0,0,0,0,0,0
"184",0,0,0,0,0,0,0
"185",0,0,0,0,0,0,0
"186",0,0,0,0,0,0,0
"187",0,0,0,0,0,0,0
"188",0,0,0,0,0,0,0
"189",0,0,0,0,0,0,0
"190",0,0,0,0,0,0,0
"191",0,0,0,0,0,0,0
"192",0,0,0,0,0,0,0
"193",0,0,0,0,0,0,0
"194",0,0,0,0,0,0,0
"195",50.902135583475,0,47.334856019659,0,0,0,0
"196",0,0,0,0,0,0,0
"197",162.4061821633,0,38.0939888739169,0,0,0,0
"198",73.5942363611595,0,88.4134546037099,0,0,0,0
"199",0,0,0,0,0,0,0
"200",0,0,0,0,0,0,0
"201",0,0,10.52883831003,0,0,0,0
"202",0,0,0,0,0,0,0
"203",0,0,0,0,0,0,0
"204",0,0,0,0,0,0,0
"205",0,0,0,0,0,0,0
"206",0,0,0,0,0,0,0
"207",0,0,0,0,0,0,0
"208",92.8916341076611,0,47.6078416348575,0,0,0,0
"209",0,0,0,0,0,0,0
"210",0,0,0,0,0,0,0
"211",0,0,0,0,0,0,0
"212",0,0,0,0,0,0,0
"213",167.639006857938,0,17.1221969321917,0,0,0,0
"214",0,0,0,0,0,0,0
"215",0,0,0,0,0,0,0
"216",0,0,0,0,0,0,0
"217",0,0,0,0,0,0,0
"218",85.8428091028178,0,133.785213667808,0,0,0,0
"219",0,0,0,0,0,0,0
"220",0,0,0,0,0,0,0
"221",0,0,0,0,0,0,0
"222",0,0,0,0,0,0,0
"223",0,0,0,0,0,0,0
"224",63.7037692361511,0,0,0,0,0,0
"225",0,0,0,0,0,0,0
"226",0,0,0,0,0,0,0
"227",89.8617113270587,0,69.2548682809804,0,0,0,0
"228",38.3805121671258,0,20.875726365327,0,0,0,0
"229",0,0,0,0,0,0,0
"230",0,0,0,0,0,0,0
"231",136.603696420661,0,30.8868737841771,0,0,0,0
"232",25.0843381101876,0,0,0,0,0,0
"233",42.2817396828965,0,0,0,0,0,0
"234",0,0,0,0,0,0,0
"235",119.614505372887,0,141.412808715561,0,0,0,0
"236",0,0,0,0,0,0,0
"237",0,0,0,0,0,0,0
"238",83.7681942323241,0,71.4953058179543,0,0,0,0
"239",0,0,0,0,0,0,0
"240",0,0,0,0,0,0,0
"241",0,0,0,0,0,0,0
"242",0,0,0,0,0,0,0
"243",0,0,0,0,0,0,0
"244",0,0,0,0,0,0,0
"245",0,0,0,0,0,0,0
"246",0,0,0,0,0,0,0
"247",0,0,0,0,0,0,0
"248",0,0,0,0,0,0,0
"249",0,0,0,0,0,0,0
"250",0,0,0,0,0,0,0
"251",0,0,0,0,0,0,0
"252",177.91335915635,0,67.0737132832214,0,0,0,0
"253",0,0,146.768005371844,0,0,0,0
"254",0,0,0,0,0,0,0
"255",0,0,0,0,0,0,0
"256",71.7683568154343,0,82.2042851632533,0,0,0,0
"257",124.989154820589,0,169.345704659212,0,0,0,0
"258",0,0,0,0,0,0,0
"259",40.646497380269,0,98.6625611253522,0,0,0,0
"260",0,0,0,0,0,0,0
"261",0,0,0,0,0,0,0
"262",0,0,0,0,0,0,0
"263",0,0,0,0,0,0,0
"264",0,0,0,0,0,0,0
"265",0,0,0,0,0,0,0
"266",81.3926694263933,0,23.3087494489864,0,0,0,0
"267",0,0,0,0,0,0,0
"268",0,0,0,0,0,0,0
"269",0,0,0,0,0,0,0
"270",0,0,0,0,0,0,0
"271",0,0,0,0,0,0,0
"272",0,0,0,0,0,0,0
"273",0,0,0,0,0,0,0
"274",0,0,0,0,0,0,0
"275",0,0,0,0,0,0,0
"276",79.3715685151668,0,30.0085089076934,0,0,0,0
"277",0,0,0,0,0,0,0
"278",0,0,6.22289731599261,0,0,0,0
"279",0,0,0,0,0,0,0
"280",0,0,0,0,0,0,0
"281",0,0,0,0,0,0,0
"282",0,0,0,0,0,0,0
"283",39.3837180803059,0,70.0501543564774,0,0,0,0
"284",0,0,0,0,0,0,0
"285",0,0,37.1912124647564,0,0,0,0
"286",0,0,0,0,0,0,0
"287",0,0,0,0,0,0,0
"288",77.9067872585638,0,75.8016773557051,0,0,0,0
"289",0,0,0,0,0,0,0
"290",0,0,0,0,0,0,0
"291",0,0,0,0,0,0,0
"292",113.850344748353,0,80.5100917623369,0,0,0,0
"293",0,0,0,0,0,0,0
"294",0,0,0,0,0,0,0
"295",0,0,0,0,0,0,0
"296",0,0,33.3529977850041,0,0,0,0
"297",51.3887060684258,0,0,0,0,0,0
"298",25.666853918773,0,0,0,0,0,0
"299",0,0,0,0,0,0,0
"300",0,0,0,0,0,0,0
"301",33.3912664319479,0,0,0,0,0,0
"302",31.1632748758328,0,0,0,0,0,0
"303",0,0,0,0,0,0,0
"304",0,0,0,0,0,0,0
"305",0,0,0,0,0,0,0
"306",0,0,0,0,0,0,0
"307",0,0,0,0,0,0,0
"308",0,0,11.1254291652932,0,0,0,0
"309",0,0,0,0,0,0,0
"310",0,0,0,0,0,0,0
"311",61.9607528281671,0,21.8822895719325,0,0,0,0
"312",0,0,61.7203459101989,0,0,0,0
"313",0,0,0,0,0,0,0
"314",0,0,0,0,0,0,0
"315",68.1817321939581,0,109.837225032946,0,0,0,0
"316",0,0,0,0,0,0,0
"317",0,0,0,0,0,0,0
"318",0,0,0,0,0,0,0
"319",0,0,0,0,0,0,0
"320",0,0,0,0,0,0,0
"321",0,0,0,0,0,0,0
"322",0,0,0,0,0,0,0
"323",0,0,0,0,0,0,0
"324",32.7911268663697,0,39.037483724904,0,0,0,0
"325",0,0,0,0,0,0,0
"326",0,0,0,0,0,0,0
"327",0,0,27.40352837095,0,0,0,0
"328",0,0,0,0,0,0,0
"329",0,0,0,0,0,0,0
"330",0,0,0,0,0,0,0
"331",182.714920675979,0,137.572872403691,0,0,0,0
"332",0,0,0,0,0,0,0
"333",0,0,0,0,0,0,0
"334",0,0,0,0,0,0,0
"335",86.2094070267982,0,44.7139819514221,0,0,0,0
"336",0,0,0,0,0,0,0
"337",44.5002480848415,0,75.4586544920933,0,0,0,0
"338",37.3365876825129,0,0,0,0,0,0
"339",0,0,0,0,0,0,0
"340",124.069400154619,0,72.9059771979627,0,0,0,0
"341",119.043155484485,0,74.6201925946095,0,0,0,0
"342",0,0,0,0,0,0,0
"343",60.2904807708872,0,0,0,0,0,0
"344",0,0,54.0600985853523,0,0,0,0
"345",57.8550612889674,0,18.7565971534018,0,0,0,0
"346",37.0891332858188,0,42.7305068349047,0,0,0,0
"347",0,0,0,0,0,0,0
"348",0,0,0,0,0,0,0
"349",0,0,0,0,0,0,0
"350",0,0,0,0,0,0,0
"351",0,0,0,0,0,0,0
"352",114.81749981177,0,93.3335711182429,0,0,0,0
"353",0,0,0,0,0,0,0
"354",0,0,0,0,0,0,0
"355",0,0,0,0,0,0,0
"356",0,0,0,0,0,0,0
"357",0,0,55.6048320788037,0,0,0,0
"358",0,0,0,0,0,0,0
"359",0,0,0,0,0,0,0
"360",0,0,0,0,0,0,0
"361",0,0,0,0,0,0,0
"362",0,0,0,0,0,0,0
"363",0,0,0,0,0,0,0
"364",0,0,0,0,0,0,0
"365",0,0,0,0,0,0,0
"366",0,0,0,0,0,0,0
"367",0,0,0,0,0,0,0
"368",0,0,0,0,0,0,0
"369",0,0,0,0,0,0,0
"370",0,0,0,0,0,0,0
"371",0,0,9.99568338417326,0,0,0,0
"372",55.0409782320862,0,97.4777153691062,0,0,0,0
"373",0,0,0,0,0,0,0
"374",0,0,0,0,0,0,0
"375",40.8028135687171,0,0,0,0,0,0
"376",0,0,0,0,0,0,0
"377",0,0,0,0,0,0,0
"378",32.6169001614966,0,59.7281357179438,0,0,0,0
"379",0,0,0,0,0,0,0
"380",0,0,0,0,0,0,0
"381",0,0,0,0,0,0,0
"382",0,0,0,0,0,0,0
"383",0,0,0,0,0,0,0
"384",0,0,0,0,0,0,0
"385",39.8771279654709,0,97.6953010381379,0,0,0,0
"386",0,0,0,0,0,0,0
