"","age1_orange.A","age1_green.A","age2_no_comorbid_orange.A","age2_no_comorbid_green.A","age2_comorbid_green.A","age3_no_comorbid_green.A","age3_comorbid_green.A"
"1",26,0,16,0,0,0,0
"2",0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0
"6",18,0,11,0,0,0,0
"7",0,0,0,0,0,0,0
"8",16,0,17,0,0,0,0
"9",0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0
"13",20,0,17,0,0,0,0
"14",22,0,15,0,0,0,0
"15",1,0,0,0,0,0,0
"16",21,0,20,0,0,0,0
"17",0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0
"19",22,0,20,0,0,0,0
"20",0,0,0,0,0,0,0
"21",12,0,15,0,0,0,0
"22",14,0,15,0,0,0,0
"23",15,0,18,0,0,0,0
"24",19,2,18,1,0,1,1
"25",0,0,1,0,0,0,0
"26",20,0,13,0,0,0,0
"27",18,0,18,0,0,0,0
"28",16,0,14,0,0,0,0
"29",18,0,18,0,0,0,1
"30",0,0,0,0,0,0,0
"31",12,0,17,0,0,0,0
"32",0,0,0,0,0,0,0
"33",13,0,13,0,0,0,0
"34",0,0,1,0,0,0,0
"35",0,0,1,0,0,0,0
"36",22,3,15,0,3,1,1
"37",18,3,18,1,2,2,1
"38",16,0,20,0,0,0,0
"39",20,0,14,0,0,0,0
"40",0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0
"42",17,0,16,0,0,0,0
"43",13,0,16,0,0,0,0
"44",20,0,18,0,0,0,0
"45",0,0,1,0,0,0,0
"46",18,1,20,0,0,0,0
"47",1,0,1,0,0,0,0
"48",0,0,0,0,0,0,0
"49",13,0,12,0,0,0,0
"50",20,0,16,0,0,0,0
"51",24,0,20,0,0,0,0
"52",29,0,16,0,0,0,0
"53",18,0,17,0,0,0,0
"54",0,0,0,0,0,0,0
"55",24,0,16,0,0,0,0
"56",21,0,17,0,0,0,0
"57",1,0,0,0,0,0,0
"58",23,0,14,1,0,0,1
"59",19,0,16,0,0,0,0
"60",16,0,10,0,0,0,0
"61",0,0,0,0,0,0,0
"62",15,0,14,0,0,0,0
"63",24,0,13,0,0,0,0
"64",0,0,0,0,0,0,0
"65",0,0,2,0,0,0,0
"66",18,0,20,0,0,0,0
"67",0,0,0,0,0,0,0
"68",0,0,0,0,0,0,0
"69",0,0,0,0,0,0,0
"70",24,0,16,0,0,1,0
"71",0,0,0,0,0,0,0
"72",16,1,18,1,1,0,0
"73",19,0,14,0,0,0,0
"74",0,0,0,0,0,0,0
"75",0,0,0,0,0,0,0
"76",17,0,16,0,0,0,0
"77",13,0,17,0,0,0,0
"78",22,0,22,0,0,0,0
"79",0,0,0,0,0,0,0
"80",0,0,0,0,0,0,0
"81",26,0,28,0,0,0,0
"82",17,0,17,0,0,0,0
"83",16,0,17,0,0,0,0
"84",18,0,15,0,0,0,0
"85",0,0,0,0,0,0,0
"86",0,0,0,0,0,0,0
"87",21,0,14,0,0,0,0
"88",24,1,26,0,0,0,0
"89",18,0,23,1,0,0,0
"90",1,0,0,0,0,0,0
"91",15,0,11,0,0,0,0
"92",17,0,17,0,0,0,0
"93",0,0,0,0,0,0,0
"94",16,2,13,2,1,1,1
"95",19,0,12,0,0,0,0
"96",0,0,0,0,0,0,0
"97",21,0,18,0,0,0,0
"98",18,0,17,0,0,0,0
"99",0,0,0,0,0,0,0
"100",18,0,19,0,0,0,0
"101",0,0,0,0,0,0,0
"102",27,0,25,0,0,0,0
"103",0,0,0,0,0,0,0
"104",0,0,0,0,0,0,0
"105",23,0,16,0,0,0,0
"106",22,0,19,0,0,0,0
"107",14,0,12,0,0,0,0
"108",25,0,21,0,0,0,0
"109",23,0,13,0,0,0,0
"110",0,0,0,0,0,0,0
"111",0,0,0,0,0,0,0
"112",1,0,0,0,0,0,0
"113",0,0,0,0,0,0,0
"114",0,0,0,0,0,0,0
"115",0,0,0,0,0,0,0
"116",0,0,1,0,0,0,0
"117",15,0,14,0,0,0,0
"118",0,0,0,0,0,0,0
"119",0,0,0,0,0,0,0
"120",16,0,12,0,0,0,0
"121",15,0,10,0,0,0,0
"122",0,0,0,0,0,0,0
"123",0,0,1,0,0,0,0
"124",0,0,0,0,0,0,0
"125",17,4,18,2,2,1,1
"126",16,0,11,0,0,0,0
"127",20,1,15,1,0,0,1
"128",0,0,0,0,0,0,0
"129",0,0,1,0,0,0,0
"130",20,0,18,0,0,0,0
"131",20,0,16,0,0,0,0
"132",19,0,8,0,0,0,0
"133",18,0,12,0,0,0,0
"134",0,0,0,0,0,0,0
"135",11,0,12,0,0,0,0
"136",0,0,1,0,0,0,0
"137",0,0,0,0,0,0,0
"138",14,0,17,0,0,0,0
"139",17,0,19,0,0,0,0
"140",22,0,23,0,0,0,0
"141",18,0,16,0,0,0,0
"142",15,4,15,4,1,2,1
"143",19,0,23,0,0,0,0
"144",18,1,15,0,0,0,0
"145",25,0,15,0,0,0,0
"146",0,0,0,0,0,0,0
"147",20,0,14,0,0,0,0
"148",0,0,0,0,0,0,0
"149",15,0,14,0,0,0,0
"150",18,1,19,0,0,0,1
"151",19,2,17,3,2,3,2
"152",0,0,0,0,0,0,0
"153",24,1,18,0,0,0,0
"154",29,0,19,0,0,0,0
"155",0,0,1,0,0,0,0
"156",0,0,0,0,0,0,0
"157",0,0,0,0,0,0,0
"158",0,0,1,0,0,0,0
"159",20,0,14,0,0,0,0
"160",0,0,0,0,0,0,0
"161",0,0,0,0,0,0,0
"162",21,0,16,0,0,0,0
"163",0,0,0,0,0,0,0
"164",0,0,0,0,0,0,0
"165",0,0,0,0,0,0,0
"166",20,0,16,0,0,0,0
"167",20,0,19,0,0,0,0
"168",17,0,20,0,0,0,0
"169",0,0,0,0,0,0,0
"170",0,0,0,0,0,0,0
"171",16,0,15,0,0,0,0
"172",0,0,0,0,0,0,0
"173",22,0,19,0,0,0,0
"174",14,3,23,2,2,1,0
"175",17,0,14,3,1,1,0
"176",0,0,0,0,0,0,0
"177",19,0,17,0,0,0,0
"178",18,2,17,4,2,1,0
"179",19,0,12,0,0,0,0
"180",0,0,0,0,0,0,0
"181",24,0,17,0,0,0,0
"182",0,0,0,0,0,0,0
"183",0,0,0,0,0,0,0
"184",0,0,0,0,0,0,0
"185",0,0,0,0,0,0,0
"186",15,0,13,0,0,0,0
"187",0,0,0,0,0,0,0
"188",0,0,0,0,0,0,0
"189",15,0,17,0,0,0,0
"190",0,0,1,0,0,0,0
"191",1,0,0,0,0,0,0
"192",26,0,16,0,0,0,0
"193",22,0,19,0,0,0,0
"194",0,0,0,0,0,0,0
"195",16,0,10,0,0,0,0
"196",0,0,0,0,0,0,0
"197",0,0,1,0,0,0,0
"198",16,0,22,0,0,0,0
"199",0,0,0,0,0,0,0
"200",0,0,0,0,0,0,0
"201",15,0,21,0,0,0,0
"202",1,0,1,0,0,0,0
"203",0,0,0,0,0,0,0
"204",0,0,0,0,0,0,0
"205",18,0,13,0,0,0,0
"206",20,1,18,2,3,2,1
"207",13,0,12,0,0,0,0
"208",0,0,0,0,0,0,0
"209",0,0,0,0,0,0,0
"210",23,0,17,0,0,0,0
"211",0,0,1,0,0,0,0
"212",18,0,22,0,0,0,0
"213",0,0,1,0,0,0,0
"214",0,0,0,0,0,0,0
"215",0,0,0,0,0,0,0
"216",0,0,1,0,0,0,0
"217",17,0,19,0,0,0,0
"218",25,0,16,0,0,0,0
"219",21,0,14,0,0,0,0
"220",22,0,15,0,0,0,0
"221",0,0,0,0,0,0,0
"222",0,0,0,0,0,0,0
"223",0,0,0,0,0,0,0
"224",0,0,0,0,0,0,0
"225",0,0,0,0,0,0,0
"226",14,0,15,0,0,0,0
"227",27,0,21,0,0,0,0
"228",1,0,0,0,0,0,0
"229",0,0,0,0,0,0,0
"230",0,0,0,0,0,0,0
"231",0,0,0,0,0,0,0
"232",1,0,1,0,0,0,0
"233",0,0,0,0,0,0,0
"234",0,0,0,0,0,0,0
"235",16,0,18,0,0,0,0
"236",19,1,14,1,2,1,1
"237",19,0,13,0,0,0,0
"238",25,0,22,0,0,0,0
"239",19,0,14,0,0,0,0
"240",0,0,0,0,0,0,0
"241",0,0,0,0,0,0,0
"242",17,2,23,2,2,1,2
"243",21,0,15,0,0,0,0
