"","age1_orange.P","age1_green.P","age2_no_comorbid_orange.P","age2_no_comorbid_green.P","age2_comorbid_green.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"1",66.3294521475341,0,64.1704093062766,0,0,0,0
"2",0,0,5.0269065446056,0,0,0,0
"3",51.5023474396078,0,52.3491860190688,0,0,0,76.7739816385697
"4",63.8347281723686,0,64.4856145112959,0,0,0,0
"5",74.0920780848589,71.8274151735083,81.6603028804402,0,69.1194051900275,71.9868772673805,83.878722688871
"6",0,0,1.12259848001662,0,0,0,0
"7",43.9131595755339,0,40.63282883789,0,0,0,0
"8",0,0,0.799623670892578,0,0,0,0
"9",89.7243370016461,0,95.8759495812071,0,0,0,0
"10",51.9555642605495,0,50.1057452830484,0,0,0,0
"11",0,0,8.70460347551863,0,0,0,0
"12",49.4574061829478,0,52.4196428912085,0,0,0,0
"13",0,0,0.722992746538788,0,0,0,0
"14",0,0,2.52399575498004,0,0,0,0
"15",77.1035815939591,0,81.2228492954324,0,108.400284694034,0,0
"16",12.0546659519621,0,7.22519525550601,0,0,0,0
"17",46.0657356090638,51.4759385461139,51.730382379568,55.0868945128003,60.4278175912981,52.891969322016,52.1950754322395
"18",0,0,0.468282992679571,0,0,0,0
"19",55.4809367751671,0,71.688469119463,0,0,0,0
"20",53.0450235996711,0,47.7139929173085,0,0,0,0
"21",9.88705327855127,0,4.15989409416174,0,0,0,0
"22",59.537118703747,72.2286859099052,60.3544155002655,79.3579642837405,99.402133674994,98.5607822645126,95.6440744802279
"23",54.1721844738433,87.1522808155849,48.7676777449831,87.8911537928192,81.255324856452,94.6034970844329,79.4336942103358
"24",50.4860715270003,73.2874449388435,51.1159148861217,91.60051656697,96.0699562088735,100.066173835629,77.7116208764903
"25",0,0,0.479352993925977,0,0,0,0
"26",0,0,1.34170140895412,0,0,0,0
"27",0,0,0.832314991969775,0,0,0,0
"28",0,0,1.3495413923174,0,0,0,0
"29",45.7836683419281,0,41.7207410631988,0,0,0,0
"30",49.235910047034,0,46.4244446130616,0,0,0,59.2592077315489
"31",58.4903744078065,86.5716413263193,64.5897246760434,84.5828373601263,77.16922231725,0,84.8230129236023
"32",64.4409766831562,0,63.6014884383949,0,0,61.0422926800095,0
"33",53.2989489446821,94.5685032367446,51.5132719358032,93.459956784417,91.5937243584684,0,0
"34",44.1869956779576,0,38.2942564341516,0,0,0,0
"35",5.66533818985455,0,3.78715884945795,0,0,0,0
"36",0,0,17.6649028906621,0,0,0,0
