"","age1_orange.D","age1_green.D","age2_no_comorbid_orange.D","age2_no_comorbid_green.D","age2_comorbid_green.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"1",19,0,44,0,0,0,0
"2",38,3,48,5,28,6,21
"3",29,0,42,0,0,0,0
"4",24,1,43,1,26,7,30
"5",38,3,50,4,22,5,28
"6",32,0,41,2,28,9,36
"7",24,1,41,3,31,13,38
"8",25,7,51,7,24,3,40
"9",24,0,45,0,0,0,0
"10",26,0,44,0,0,0,0
"11",32,4,40,2,15,10,40
"12",34,1,46,3,27,5,43
"13",26,1,44,5,25,8,36
"14",28,0,47,0,0,0,0
"15",29,0,49,0,1,0,0
"16",42,3,44,4,31,5,32
"17",25,4,45,3,22,7,33
"18",29,0,51,10,24,6,27
"19",22,1,44,5,24,4,33
"20",26,0,36,0,0,0,0
"21",26,0,44,0,0,0,0
"22",34,3,42,2,24,8,30
"23",32,3,46,11,19,7,30
"24",33,0,45,0,0,0,0
"25",25,0,41,0,0,0,0
"26",30,4,39,2,32,6,26
"27",31,2,47,2,29,3,36
"28",24,0,53,0,0,0,0
"29",33,0,55,0,0,0,0
"30",28,0,45,0,1,0,1
"31",21,0,44,0,0,0,0
"32",26,3,41,2,32,5,27
"33",28,1,42,1,28,9,32
"34",29,0,44,5,26,6,36
"35",28,0,51,0,0,0,0
"36",25,3,35,4,29,5,29
"37",23,1,48,5,30,6,32
"38",25,0,48,0,0,0,0
"39",25,1,40,2,29,7,38
"40",33,1,39,4,30,9,37
"41",0,0,0,0,0,0,0
"42",28,2,44,5,27,11,44
"43",0,0,0,0,0,0,0
"44",33,4,58,4,25,8,29
"45",0,0,0,0,0,0,0
"46",33,2,40,4,22,10,29
"47",37,0,37,0,0,0,0
"48",32,0,37,0,0,0,0
"49",30,4,46,5,29,8,25
"50",26,0,43,0,0,0,0
"51",34,0,44,0,0,0,0
"52",27,1,38,3,28,3,37
"53",24,0,48,2,34,4,22
"54",27,4,48,3,23,5,31
"55",25,0,36,0,0,0,0
"56",25,2,44,2,33,9,40
"57",23,0,38,0,0,0,0
"58",25,0,43,0,0,0,0
"59",0,0,0,0,0,0,0
"60",37,0,45,0,0,0,1
"61",25,2,39,5,29,2,33
"62",22,1,42,6,30,5,40
"63",27,3,45,3,19,10,32
"64",26,0,41,0,1,0,0
