"","age1_orange.R","age1_green.R","age2_no_comorbid_orange.R","age2_no_comorbid_green.R","age2_comorbid_green.R","age3_no_comorbid_green.R","age3_comorbid_green.R"
"1",714,0,768,0,0,0,0
"2",0,0,1,0,0,0,0
"3",716,1,749,0,0,0,0
"4",721,0,756,0,0,0,0
"5",716,57,781,80,92,20,24
"6",0,0,1,0,0,0,0
"7",719,0,752,0,0,0,0
"8",715,0,757,0,0,0,0
"9",717,0,752,0,0,0,0
"10",717,61,756,79,73,26,22
"11",717,0,759,0,0,0,0
"12",0,0,1,0,0,0,0
"13",711,58,759,77,82,27,19
"14",709,61,758,81,81,27,24
"15",706,62,725,85,69,29,27
"16",724,61,755,83,86,26,32
"17",707,58,756,72,87,21,18
"18",712,60,758,77,84,29,30
"19",717,0,772,0,0,0,0
"20",713,0,759,0,0,0,0
"21",720,60,760,84,80,27,24
"22",718,57,761,85,85,23,25
"23",716,53,763,75,78,25,18
"24",715,61,763,80,79,31,22
"25",713,0,745,0,0,0,0
"26",712,56,749,82,83,24,27
"27",706,55,752,75,87,27,24
"28",725,59,771,83,86,21,22
"29",709,57,757,82,91,28,22
"30",0,0,1,0,0,0,0
"31",722,57,751,78,80,29,28
"32",714,0,760,0,0,0,0
"33",717,0,767,0,0,0,0
"34",725,58,762,76,92,27,23
"35",717,58,745,76,73,21,16
"36",725,59,750,78,80,24,25
"37",720,56,768,77,79,32,32
"38",722,59,756,80,80,26,23
"39",717,58,758,76,81,26,23
"40",722,59,758,81,72,23,20
"41",717,60,742,78,80,22,22
"42",707,59,760,77,66,27,21
"43",728,53,766,69,80,21,20
"44",719,0,759,0,1,0,0
"45",724,60,757,79,80,22,23
"46",712,0,747,0,0,1,0
"47",721,59,764,78,71,19,18
"48",713,59,745,80,87,29,28
"49",0,0,1,0,0,0,0
"50",714,56,772,73,92,28,22
"51",714,0,749,0,0,0,0
"52",0,0,1,0,0,0,0
"53",710,57,740,73,71,18,19
"54",719,60,752,78,83,35,30
"55",721,0,746,0,0,0,0
"56",713,57,764,79,79,30,18
"57",707,0,747,0,0,0,0
"58",717,58,771,82,83,25,21
"59",0,0,1,0,0,0,0
"60",729,0,775,0,0,0,0
"61",711,57,738,76,75,27,27
"62",718,0,765,0,0,0,0
"63",711,55,747,70,76,24,14
"64",719,56,776,79,83,24,24
"65",722,0,760,1,0,0,1
"66",720,61,761,81,79,30,25
"67",715,54,756,70,80,26,22
"68",722,0,732,0,0,0,0
"69",712,56,752,77,91,21,31
"70",712,57,760,78,63,25,22
"71",715,0,745,0,0,0,0
"72",718,60,750,80,90,23,20
"73",721,0,767,0,0,0,0
"74",719,60,772,83,89,26,22
"75",719,57,769,79,77,27,16
"76",0,0,2,0,0,0,0
"77",722,59,751,71,86,23,26
"78",723,0,766,0,0,0,0
"79",717,0,741,0,0,0,0
"80",723,59,768,82,82,29,29
"81",0,0,1,0,0,0,0
"82",722,60,766,82,89,22,24
"83",720,0,755,0,0,0,0
"84",715,1,762,0,1,0,0
"85",715,0,769,0,0,0,0
"86",707,58,745,76,81,24,14
"87",716,0,769,0,0,0,0
"88",731,61,768,84,81,23,18
"89",723,54,744,72,70,19,16
"90",720,60,760,85,89,32,26
"91",718,0,752,0,0,0,0
"92",710,55,761,76,76,26,20
"93",706,61,767,77,81,26,26
"94",0,0,1,0,0,0,0
"95",718,60,754,77,89,26,28
"96",708,59,754,82,77,27,23
"97",717,58,766,84,81,30,22
"98",724,58,749,74,85,25,22
"99",720,0,768,0,0,0,0
"100",718,61,769,78,86,24,26
"101",710,57,736,76,87,28,21
"102",722,57,765,77,84,32,25
"103",715,0,753,0,0,0,0
"104",720,0,762,1,0,0,0
"105",713,60,766,82,90,27,21
"106",729,0,760,0,0,0,0
"107",717,59,755,87,89,30,28
"108",705,0,758,0,0,0,0
"109",715,0,757,0,0,0,0
"110",718,56,750,84,84,26,19
"111",725,59,763,77,79,25,29
"112",716,60,743,79,84,28,20
"113",723,60,769,85,80,27,29
"114",724,57,767,82,85,28,26
"115",713,56,759,78,80,26,26
"116",706,58,754,77,87,21,25
"117",0,0,1,0,0,0,0
"118",711,59,752,74,84,31,19
"119",718,60,776,81,86,24,29
"120",727,60,744,75,84,20,16
"121",723,58,746,79,74,24,23
"122",715,0,752,0,0,0,1
"123",727,0,764,0,0,0,0
"124",714,0,747,0,0,0,0
"125",723,54,741,79,76,25,21
"126",723,58,750,82,83,30,23
"127",714,0,751,0,0,0,0
"128",711,0,745,0,0,0,0
"129",0,0,1,0,0,0,0
"130",724,0,761,0,0,0,0
"131",706,58,772,77,81,27,24
"132",726,57,770,86,83,26,26
"133",715,0,780,0,0,0,0
"134",716,0,765,0,0,0,0
"135",713,54,768,73,69,25,19
"136",714,59,750,77,88,23,19
"137",713,60,763,77,83,29,19
"138",723,0,762,0,0,0,0
"139",714,0,735,0,0,0,0
"140",721,59,748,75,74,27,26
"141",722,58,751,78,76,24,19
"142",0,0,2,0,0,0,0
"143",710,59,756,81,83,25,26
"144",722,57,759,81,85,28,21
"145",722,56,771,78,80,29,21
"146",0,0,1,0,0,0,0
"147",707,0,742,0,0,0,0
"148",718,59,755,79,85,22,29
"149",715,0,768,0,0,1,0
"150",710,59,771,76,86,29,23
"151",0,0,1,0,0,0,0
"152",0,0,1,0,0,0,0
"153",714,59,760,81,85,25,14
"154",0,0,1,0,0,0,0
"155",0,0,0,0,0,0,0
"156",706,0,732,0,0,0,0
"157",711,0,754,0,0,0,0
"158",710,0,746,0,0,0,0
"159",714,58,752,81,79,30,19
"160",718,57,762,83,85,25,26
"161",720,0,747,0,0,0,0
"162",725,59,754,84,80,26,30
"163",724,59,758,78,77,28,24
"164",718,57,755,85,75,30,23
"165",717,55,768,70,81,16,23
"166",719,55,774,78,84,29,19
"167",719,0,768,0,1,0,0
"168",714,0,772,0,0,0,0
"169",714,61,769,72,73,24,20
"170",722,0,778,0,0,0,0
"171",717,0,744,0,0,0,0
"172",707,56,760,68,73,28,15
"173",710,61,760,82,87,25,33
"174",706,58,766,77,80,23,22
"175",713,60,753,88,83,32,18
"176",723,59,759,77,72,29,22
"177",730,56,762,77,84,26,17
"178",715,60,757,78,81,23,21
"179",722,61,747,87,76,27,23
"180",723,60,748,79,77,24,24
"181",718,59,766,81,79,28,23
"182",706,54,739,76,78,19,17
"183",713,60,761,80,85,27,23
"184",725,54,753,74,73,27,26
"185",715,58,758,76,71,25,28
"186",0,0,1,0,0,0,0
"187",0,0,1,0,0,0,0
"188",713,0,772,0,0,0,0
"189",718,59,739,80,83,27,16
"190",709,51,744,77,66,19,16
"191",716,0,756,0,0,0,0
"192",714,59,726,76,84,23,28
"193",704,0,754,0,0,0,0
"194",718,59,752,74,78,25,17
"195",719,2,735,0,0,0,0
"196",0,0,1,0,0,0,0
"197",723,0,751,0,0,0,0
"198",709,0,760,1,0,0,0
"199",717,55,761,79,90,27,14
"200",714,0,736,0,0,0,0
"201",717,58,760,73,81,31,27
"202",716,61,757,81,76,27,24
"203",0,0,1,0,0,0,0
"204",716,60,768,80,80,25,31
"205",711,55,762,71,78,21,17
"206",714,55,779,78,82,25,19
"207",722,57,776,84,91,20,18
"208",712,56,748,77,77,21,20
"209",713,0,767,0,0,0,0
"210",722,0,763,0,0,0,0
"211",712,59,761,83,79,31,23
"212",718,59,768,68,81,26,22
"213",725,58,763,71,85,32,16
"214",1,0,2,0,0,0,0
"215",710,58,753,78,89,27,20
"216",726,60,767,82,93,24,23
"217",702,58,762,82,74,23,34
"218",720,0,765,0,0,0,0
"219",721,56,761,78,86,21,22
"220",720,0,749,0,0,0,0
"221",714,0,765,1,0,0,0
"222",708,59,757,79,86,26,28
"223",726,0,765,0,0,0,0
"224",714,61,764,84,86,21,22
"225",720,60,765,83,87,22,27
"226",721,60,755,86,95,27,23
"227",711,0,759,0,0,0,0
"228",716,58,759,76,71,25,27
"229",710,1,761,1,0,0,0
"230",723,0,771,0,0,0,0
"231",718,61,739,79,86,26,27
"232",718,58,780,84,82,30,25
"233",720,58,732,78,75,25,19
"234",705,0,764,0,0,0,0
"235",716,57,770,86,91,25,28
"236",719,55,763,76,81,22,31
"237",722,62,765,81,86,31,20
"238",0,0,1,0,0,0,0
"239",0,0,1,0,0,0,0
"240",721,56,760,80,88,26,19
"241",718,59,760,80,86,26,29
"242",0,0,2,0,0,0,0
"243",715,56,768,77,84,25,25
"244",712,60,736,73,79,26,15
"245",709,0,752,0,1,0,0
"246",718,56,770,82,85,30,18
"247",710,0,745,0,0,0,0
"248",722,60,771,78,87,26,24
"249",711,60,734,70,74,23,23
"250",0,0,1,0,0,0,0
"251",720,61,778,76,86,27,16
"252",712,56,743,75,83,19,25
"253",719,60,757,78,87,26,26
"254",720,56,773,76,81,29,25
"255",724,59,742,79,83,24,19
"256",715,0,760,0,1,0,0
"257",725,58,757,78,82,25,21
"258",719,60,774,85,81,28,31
"259",719,62,765,83,85,30,24
"260",719,59,743,82,77,21,23
"261",706,56,739,77,77,19,28
"262",0,0,2,0,0,0,0
"263",717,0,762,0,0,0,0
"264",720,58,766,80,84,19,25
"265",714,57,779,79,74,28,27
"266",0,0,1,0,0,0,0
"267",718,56,773,82,74,32,16
"268",715,0,752,0,0,0,1
"269",718,0,728,0,0,0,0
"270",716,57,757,82,90,23,26
"271",714,54,785,80,81,22,17
"272",713,61,736,83,79,20,20
"273",720,0,751,0,0,0,0
"274",701,0,751,0,0,0,0
"275",713,56,774,69,87,26,20
"276",706,0,755,0,0,0,0
"277",723,57,759,75,81,27,26
"278",713,0,758,0,0,0,0
"279",720,0,758,0,0,0,0
"280",702,0,749,0,0,0,0
"281",715,0,758,0,0,0,0
"282",728,60,768,74,80,24,24
"283",709,0,754,0,0,0,0
"284",0,0,1,0,0,0,0
"285",1,0,1,0,0,0,0
"286",717,60,761,79,86,27,18
"287",709,55,754,71,87,25,22
"288",708,58,773,76,86,27,21
"289",722,58,778,87,79,23,20
"290",718,53,763,78,89,24,20
"291",715,60,762,85,83,31,25
"292",0,0,1,0,0,0,0
"293",718,56,748,80,75,28,23
"294",716,56,770,78,77,30,25
"295",725,59,755,68,70,22,21
"296",0,0,0,0,0,0,0
"297",716,56,761,78,87,20,24
"298",718,62,762,75,87,31,24
"299",723,55,766,75,73,24,24
"300",719,0,762,0,0,0,0
"301",723,59,757,78,94,28,19
"302",731,58,762,71,83,28,25
"303",2,0,3,0,0,0,0
"304",712,60,758,74,80,25,19
"305",721,57,777,71,80,21,21
"306",718,59,763,76,88,23,28
"307",722,61,749,80,86,27,21
"308",720,54,757,85,84,28,26
"309",713,0,753,0,0,0,0
"310",719,55,752,82,89,29,17
"311",0,0,1,0,0,0,0
"312",722,59,759,82,78,32,20
"313",702,58,753,76,75,27,23
"314",718,0,770,0,0,0,0
"315",0,0,1,0,0,0,0
"316",708,0,759,0,0,0,0
"317",716,0,765,0,0,0,1
"318",0,0,1,0,0,0,0
"319",720,0,775,0,0,0,0
"320",719,59,754,81,87,29,24
"321",714,0,770,0,0,0,0
"322",720,61,749,78,82,26,23
"323",726,0,758,0,0,0,0
"324",0,0,1,0,0,0,0
"325",710,0,782,0,0,0,0
"326",724,60,769,80,73,32,27
"327",715,57,754,76,86,21,18
"328",0,0,1,0,0,0,0
"329",723,0,765,0,0,0,0
"330",0,0,1,0,0,0,0
"331",721,59,765,68,85,29,28
"332",710,58,762,79,83,23,27
"333",719,59,743,78,88,27,18
"334",712,59,768,77,89,27,23
"335",711,58,777,78,89,26,25
"336",0,0,1,0,0,0,0
"337",725,56,772,82,91,26,24
"338",720,59,760,79,92,25,24
"339",713,56,750,76,82,21,15
"340",732,58,748,81,82,20,20
"341",726,59,759,82,82,28,17
"342",719,0,777,0,0,0,0
"343",714,0,789,0,0,0,0
"344",0,0,1,0,0,0,0
"345",723,61,757,80,84,28,17
"346",708,59,762,71,79,23,17
"347",1,0,0,0,0,0,0
"348",714,0,770,0,0,0,0
"349",725,58,760,81,89,31,29
"350",2,0,1,0,0,0,0
"351",718,57,748,83,86,27,22
"352",718,59,772,77,69,34,26
"353",0,0,1,0,0,0,0
"354",725,60,755,78,89,32,21
"355",721,56,755,77,81,23,24
"356",716,59,742,80,83,32,33
"357",711,58,746,78,86,26,22
"358",726,0,747,0,0,0,0
"359",0,0,2,0,0,0,0
"360",715,0,767,0,0,0,0
"361",722,59,745,80,85,31,26
"362",721,56,761,77,78,27,24
"363",718,1,760,1,1,0,0
"364",716,58,762,84,77,29,18
"365",0,0,1,0,0,0,0
"366",716,58,763,72,77,23,23
"367",721,0,747,0,0,0,0
"368",715,60,764,72,72,27,24
"369",718,1,742,0,0,0,0
"370",717,0,759,0,0,0,0
"371",711,0,751,0,0,0,0
"372",713,1,742,0,0,0,0
"373",0,0,1,0,0,0,0
"374",0,0,1,0,0,0,0
"375",716,0,749,0,0,0,0
"376",712,59,743,75,80,26,27
"377",716,59,764,81,81,18,21
"378",717,61,780,81,88,28,21
"379",0,0,1,0,0,0,0
"380",721,0,761,0,0,0,0
"381",712,0,768,0,0,0,0
"382",716,1,763,0,0,0,0
"383",720,0,750,0,0,0,0
"384",712,0,773,0,0,0,0
"385",715,56,751,77,79,26,20
"386",721,59,764,71,72,21,19
"387",717,53,757,56,70,22,23
"388",719,0,768,0,0,0,0
"389",0,0,1,0,0,0,0
"390",728,56,750,81,85,24,23
"391",709,57,755,79,89,30,25
"392",0,0,2,0,0,0,0
"393",714,62,724,78,86,28,20
"394",721,60,768,83,84,26,17
"395",706,56,761,83,91,30,20
"396",0,0,1,0,0,0,0
"397",719,60,754,83,74,31,26
"398",0,0,1,0,0,0,0
