"","age1_orange.P","age1_green.P","age2_no_comorbid_orange.P","age2_no_comorbid_green.P","age2_comorbid_green.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"1",92,10,94,9,10,6,7
"2",107,0,95,0,0,0,0
"3",97,8,107,10,13,4,7
"4",99,7,101,12,11,4,7
"5",98,0,110,0,0,0,0
"6",0,0,1,0,0,0,0
"7",0,0,1,0,0,0,0
"8",115,12,101,17,21,10,10
"9",113,0,105,0,0,0,0
"10",104,5,118,10,12,7,7
"11",108,0,114,0,0,0,0
"12",108,7,106,10,12,5,8
"13",83,11,88,13,16,5,8
"14",118,0,111,0,0,0,0
"15",0,0,1,0,0,0,0
"16",122,14,106,12,21,7,8
"17",85,10,77,14,15,5,12
"18",95,10,101,10,13,4,10
"19",112,6,104,12,11,4,6
"20",96,0,99,0,0,0,0
"21",114,0,123,0,0,0,0
"22",92,10,123,11,15,8,9
"23",111,10,102,13,16,7,13
"24",0,0,1,0,0,0,0
"25",94,0,94,0,0,0,0
"26",0,0,1,0,0,0,0
"27",108,11,108,13,15,4,7
"28",104,0,119,0,0,0,0
"29",104,6,119,10,13,4,6
"30",0,0,1,0,0,0,0
"31",103,0,104,0,0,0,0
"32",123,9,110,10,15,7,10
"33",109,0,133,0,0,0,0
"34",0,0,1,0,0,0,0
"35",127,0,132,1,0,0,0
"36",121,8,102,10,10,7,9
"37",0,0,1,0,0,0,0
"38",105,8,118,13,13,7,9
"39",0,0,1,0,0,0,0
"40",94,11,90,12,16,6,13
"41",0,0,1,0,0,0,0
"42",110,12,110,13,18,5,10
"43",99,7,112,11,13,5,7
"44",0,0,1,0,0,0,0
"45",126,7,120,14,11,5,8
"46",124,11,97,12,16,4,10
"47",0,0,1,0,0,0,0
"48",99,10,103,10,15,3,8
"49",1,0,2,0,0,0,0
"50",96,13,115,17,13,8,8
"51",0,0,1,0,0,0,0
"52",90,0,100,0,0,0,0
"53",118,0,115,0,0,0,0
"54",114,12,96,12,16,5,7
"55",111,16,105,17,15,6,10
"56",0,0,1,0,0,0,0
"57",130,10,108,14,16,6,10
"58",0,0,1,0,0,0,0
"59",123,7,132,11,14,6,6
"60",106,12,117,11,13,5,7
"61",129,0,130,0,0,0,0
"62",103,8,116,9,13,6,6
"63",119,9,108,9,17,5,7
"64",95,10,105,12,14,5,8
"65",116,8,107,9,17,5,4
"66",87,10,106,9,11,5,7
"67",83,9,87,10,16,7,7
"68",0,0,1,0,0,0,0
"69",89,6,95,9,14,6,10
"70",0,0,1,0,0,0,0
"71",122,11,117,9,16,5,7
"72",110,7,112,10,14,6,10
"73",119,9,99,13,16,5,7
"74",113,6,110,13,12,5,6
"75",98,12,110,12,21,7,10
"76",0,0,1,0,0,0,0
"77",115,10,123,13,14,5,8
"78",118,8,120,7,16,6,7
"79",109,0,97,0,0,0,0
"80",115,10,113,9,12,6,7
"81",95,9,99,11,12,8,10
"82",121,12,110,17,19,7,11
"83",109,9,119,13,14,7,7
