"","age1_orange.P","age1_green.P","age2_no_comorbid_orange.P","age2_no_comorbid_green.P","age2_comorbid_green.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"1",82,0,81,0,0,0,0
"2",93,0,79,0,0,0,0
"3",78,0,77,0,0,0,0
"4",127,0,102,0,0,0,0
"5",78,0,69,0,0,0,0
"6",75,0,74,0,0,0,0
"7",79,0,81,0,0,0,0
"8",0,0,1,0,0,0,0
"9",0,0,1,0,0,0,0
"10",88,0,89,0,0,0,0
"11",92,0,75,0,0,0,0
"12",75,9,85,9,15,4,8
"13",0,0,1,0,0,0,0
"14",90,0,93,0,0,0,0
"15",70,0,70,0,0,0,0
"16",0,0,1,0,0,0,0
"17",77,0,96,0,0,0,0
"18",88,0,81,0,0,0,0
"19",92,0,77,0,0,0,0
"20",0,0,1,0,0,0,0
"21",2,0,1,0,0,0,0
"22",86,0,86,0,0,0,0
"23",74,0,78,0,0,0,1
"24",93,9,92,9,13,6,7
"25",86,0,88,0,0,0,0
"26",78,0,68,0,0,0,0
"27",0,0,1,0,0,0,0
"28",109,0,102,0,0,0,0
"29",98,0,82,0,0,0,0
"30",94,0,111,0,0,0,1
"31",75,0,68,0,0,0,0
"32",68,0,82,0,0,0,0
"33",0,0,1,0,0,0,0
"34",74,0,94,0,0,0,0
"35",79,0,83,0,0,0,0
"36",82,0,93,0,0,0,0
"37",86,0,87,0,0,0,0
"38",74,0,79,0,0,0,0
"39",79,0,88,0,0,0,0
"40",91,0,97,0,0,0,0
"41",77,0,79,0,0,0,0
"42",80,0,80,0,0,0,0
"43",97,0,76,0,0,0,0
"44",0,0,1,0,0,0,0
"45",105,0,113,0,0,0,0
"46",69,0,63,0,0,0,0
"47",85,0,75,0,0,0,0
"48",97,0,100,0,0,0,0
"49",0,0,1,0,0,0,0
"50",87,0,85,0,0,0,0
"51",99,0,109,0,0,0,0
"52",0,0,1,0,0,0,0
"53",0,0,1,0,0,0,0
"54",90,0,87,0,0,0,0
"55",116,0,107,0,0,0,0
"56",80,0,88,0,0,0,0
"57",81,0,78,0,0,0,0
"58",0,0,1,0,0,0,0
"59",105,0,100,0,0,0,0
"60",92,0,83,0,0,0,0
"61",80,0,77,0,0,0,0
"62",0,0,1,0,0,0,0
"63",79,0,72,0,0,0,0
"64",94,6,90,6,8,3,6
"65",86,1,68,0,1,0,0
"66",84,0,70,0,0,0,0
"67",65,0,65,0,0,0,0
"68",78,0,65,0,0,0,0
"69",0,0,1,0,0,0,0
"70",0,0,1,0,0,0,0
"71",78,0,88,0,0,0,0
"72",86,0,82,0,0,0,0
"73",85,0,83,0,0,1,0
"74",84,0,80,0,0,0,0
"75",73,7,72,10,13,4,5
"76",89,7,102,5,11,4,6
"77",97,0,93,0,0,0,0
"78",94,0,85,0,0,0,0
"79",81,0,76,0,0,0,0
"80",109,7,76,7,9,2,5
"81",75,0,82,0,0,0,0
"82",113,0,86,0,0,0,0
"83",0,0,1,0,0,0,0
"84",99,0,89,0,0,0,0
"85",0,0,1,0,0,0,0
"86",91,0,86,0,1,0,0
"87",104,0,112,0,0,0,0
"88",104,0,93,0,0,0,0
"89",90,0,86,0,0,0,0
"90",0,0,1,0,0,0,0
"91",0,0,1,0,0,0,0
"92",88,0,82,0,0,0,0
"93",101,0,87,0,0,0,0
"94",0,0,1,0,0,0,0
"95",94,0,78,0,0,0,0
"96",82,0,87,0,0,0,0
"97",72,0,79,0,0,0,0
"98",72,6,67,7,10,4,7
"99",76,0,93,0,0,0,0
"100",0,0,1,0,0,0,0
"101",1,0,1,0,0,0,0
"102",1,0,1,0,0,0,0
"103",88,0,87,0,0,0,0
"104",1,0,1,0,0,0,0
"105",91,0,86,0,0,0,0
"106",0,0,1,0,0,0,0
"107",72,0,83,0,0,0,0
"108",66,0,73,0,0,0,0
"109",82,0,86,0,0,0,0
"110",82,8,75,10,8,4,5
"111",0,0,1,0,0,0,0
"112",84,0,88,0,0,0,0
"113",105,0,110,0,0,0,0
"114",80,0,69,0,0,0,0
"115",0,0,1,0,0,0,0
"116",78,7,69,10,8,3,7
"117",0,0,1,0,0,0,0
"118",70,0,67,0,0,0,0
"119",78,0,86,0,0,0,0
"120",91,0,86,0,0,0,0
"121",92,0,82,0,0,0,0
"122",99,0,95,0,0,0,0
"123",78,0,72,0,0,0,0
"124",71,0,74,0,0,0,0
"125",73,0,80,0,0,0,0
"126",0,0,1,0,0,0,0
"127",0,0,1,0,0,0,0
"128",88,0,86,0,0,0,0
"129",64,9,68,11,12,3,7
"130",100,6,87,6,8,3,5
"131",0,0,1,0,0,0,0
"132",0,0,1,0,0,0,0
"133",74,0,76,0,0,0,0
"134",99,0,80,0,0,0,0
"135",0,0,1,0,0,0,0
"136",85,0,75,0,0,0,0
"137",84,0,87,0,0,0,0
"138",87,0,73,0,0,0,0
"139",0,0,1,0,0,0,0
"140",73,8,86,7,11,4,7
"141",75,0,71,0,0,0,0
"142",81,0,74,0,0,0,0
