"","age1_orange.I","age1_green.I","age2_no_comorbid_orange.I","age2_no_comorbid_green.I","age2_comorbid_green.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"1",49,0,61,0,0,0,0
"2",50,0,52,0,0,0,0
"3",57,0,54,0,0,0,0
"4",60,0,64,0,0,0,0
"5",50,0,54,0,0,0,0
"6",51,0,53,0,0,0,0
"7",57,0,58,0,0,0,0
"8",0,0,0,0,0,0,0
"9",0,0,1,0,0,0,0
"10",68,0,55,0,0,0,0
"11",61,0,58,0,0,0,0
"12",46,3,51,5,11,4,8
"13",0,0,0,0,0,0,0
"14",49,0,53,0,0,0,0
"15",54,0,42,0,0,0,0
"16",0,0,0,0,0,0,0
"17",53,0,54,0,0,0,0
"18",55,0,57,0,0,0,0
"19",54,0,56,0,0,0,0
"20",0,0,0,0,0,0,0
"21",2,0,0,0,0,0,0
"22",63,0,57,0,0,0,0
"23",51,0,51,0,0,0,1
"24",60,7,58,5,16,7,8
"25",54,0,49,0,0,0,0
"26",54,0,54,0,0,0,0
"27",0,0,0,0,0,0,0
"28",74,0,55,0,0,0,0
"29",47,0,58,0,0,0,0
"30",53,0,69,0,0,0,2
"31",51,0,44,0,0,0,0
"32",52,0,58,0,0,0,0
"33",0,0,1,0,0,0,0
"34",55,0,55,0,0,0,0
"35",51,0,63,0,0,0,0
"36",63,0,59,0,0,0,0
"37",47,0,53,0,0,0,0
"38",43,0,52,0,0,0,0
"39",44,0,52,0,0,0,0
"40",58,0,69,0,0,0,0
"41",51,0,56,0,0,0,0
"42",53,0,49,0,0,0,0
"43",52,0,56,0,0,0,0
"44",0,0,0,0,0,0,0
"45",61,0,63,0,0,0,0
"46",44,0,48,0,0,0,0
"47",49,0,55,0,0,0,0
"48",63,0,59,0,0,0,0
"49",0,0,0,0,0,0,0
"50",63,0,52,0,0,0,0
"51",59,0,56,0,0,0,0
"52",0,0,1,0,0,0,0
"53",0,0,0,0,0,0,0
"54",47,0,43,0,0,0,0
"55",56,0,52,0,0,0,0
"56",59,0,49,0,0,0,0
"57",55,0,50,0,0,0,0
"58",0,0,1,0,0,0,0
"59",55,0,53,0,0,0,0
"60",59,0,62,0,0,0,0
"61",52,0,59,0,0,0,0
"62",0,0,0,0,0,0,0
"63",55,0,46,0,0,0,0
"64",53,3,55,6,13,3,9
"65",49,0,49,0,1,0,0
"66",52,0,45,0,0,0,0
"67",58,0,47,0,0,0,0
"68",57,0,58,0,0,0,0
"69",0,0,0,0,0,0,0
"70",0,0,0,0,0,0,0
"71",64,0,59,0,0,0,0
"72",54,0,51,0,0,0,0
"73",59,0,59,0,0,0,0
"74",55,0,59,0,0,0,0
"75",41,7,48,8,13,4,7
"76",51,6,53,4,13,4,7
"77",61,0,56,0,0,0,0
"78",50,0,50,0,0,0,0
"79",51,0,53,0,0,0,0
"80",47,8,61,5,16,3,7
"81",56,0,65,0,0,0,0
"82",57,0,59,0,0,0,0
"83",0,0,0,0,0,0,0
"84",55,0,59,0,0,0,0
"85",0,0,1,0,0,0,0
"86",57,0,48,0,0,0,0
"87",65,0,68,0,0,0,0
"88",41,0,62,0,0,0,0
"89",55,0,54,0,0,0,0
"90",0,0,0,0,0,0,0
"91",0,0,0,0,0,0,0
"92",51,0,50,0,0,0,0
"93",55,0,56,0,0,0,0
"94",0,0,1,0,0,0,0
"95",62,0,53,0,0,0,0
"96",59,0,38,0,0,0,0
"97",52,0,63,0,0,0,0
"98",41,7,54,7,15,4,9
"99",57,0,56,0,0,0,0
"100",0,0,0,0,0,0,0
"101",0,0,1,0,0,0,0
"102",1,0,0,0,0,0,0
"103",64,0,51,0,0,0,0
"104",0,0,1,0,0,0,0
"105",58,0,62,0,0,0,0
"106",0,0,0,0,0,0,0
"107",54,0,55,0,0,0,0
"108",51,0,51,0,0,0,0
"109",57,0,54,0,0,0,0
"110",59,4,41,7,7,2,7
"111",0,0,0,0,0,0,0
"112",54,0,65,0,0,0,0
"113",60,0,62,0,0,0,0
"114",48,0,47,0,0,0,0
