"","age1_orange.I","age1_green.I","age2_no_comorbid_orange.I","age2_no_comorbid_green.I","age2_comorbid_green.I","age3_no_comorbid_green.I","age3_comorbid_green.I"
"1",61,0,52,0,0,0,0
"2",57,0,50,1,0,0,0
"3",63,0,55,0,0,0,0
"4",51,0,63,0,0,0,0
"5",57,5,54,5,14,5,8
"6",56,4,52,6,11,6,9
"7",52,0,58,1,0,0,0
"8",49,4,50,4,10,5,10
"9",0,0,0,0,0,0,0
"10",63,10,54,4,12,4,10
"11",55,4,60,5,8,5,8
"12",65,5,52,6,12,5,7
"13",53,5,64,6,8,4,9
"14",46,7,46,9,11,7,7
"15",51,6,46,6,13,5,8
"16",54,6,55,6,16,5,8
"17",60,0,49,0,0,0,0
"18",51,0,55,0,0,0,0
"19",73,0,52,1,0,0,0
"20",46,4,52,9,11,4,8
"21",54,7,55,5,19,3,8
"22",54,1,46,0,0,0,1
"23",47,0,49,0,0,0,0
"24",0,0,0,0,0,0,0
"25",64,6,51,7,9,4,5
"26",57,7,50,10,14,6,8
"27",52,0,55,0,1,0,1
"28",49,6,52,3,6,4,4
"29",0,0,0,0,0,0,0
"30",52,0,59,0,0,0,0
"31",49,11,53,4,9,6,7
"32",54,6,54,4,8,4,8
"33",53,5,56,6,12,3,9
"34",61,3,63,5,16,4,7
"35",0,0,0,0,0,0,0
"36",55,6,55,5,10,4,10
"37",51,7,39,5,11,5,7
"38",0,0,0,0,0,0,0
"39",49,0,53,0,0,0,0
"40",52,6,54,8,10,6,11
"41",0,0,0,0,0,0,0
"42",60,7,61,7,16,4,8
"43",59,4,59,7,16,5,13
"44",57,7,52,7,15,5,10
"45",59,5,55,6,10,6,7
"46",0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0
"48",58,0,56,0,0,0,0
"49",0,0,0,0,0,0,0
"50",52,7,52,8,20,7,12
"51",60,0,56,0,0,1,1
"52",47,4,46,5,12,3,6
"53",0,0,1,0,0,0,0
"54",0,0,0,0,0,0,0
"55",58,6,54,5,15,5,9
"56",0,0,0,0,0,0,0
"57",0,0,0,0,0,0,0
"58",56,5,48,7,13,3,5
"59",55,5,46,8,15,4,13
"60",55,5,64,3,11,4,5
"61",56,6,44,5,8,4,6
"62",44,0,56,1,1,0,1
"63",50,6,51,6,8,2,5
"64",64,6,52,7,19,7,8
"65",0,0,0,0,0,0,0
"66",57,0,50,0,1,0,0
"67",50,0,41,0,0,0,0
"68",68,5,45,7,13,4,6
"69",52,7,68,4,13,5,8
"70",0,0,0,0,0,0,0
"71",44,7,47,9,16,4,6
"72",49,6,55,6,12,4,8
"73",0,0,1,0,0,0,0
"74",51,0,60,0,0,0,0
"75",0,0,0,0,0,0,0
"76",0,0,0,0,0,0,0
"77",0,0,0,0,0,0,0
"78",56,0,61,0,1,0,0
"79",57,4,45,7,13,4,6
"80",54,7,75,7,15,3,6
"81",56,3,57,6,11,4,7
"82",61,3,52,5,15,5,9
"83",0,0,1,0,0,0,0
"84",51,4,60,3,9,5,7
"85",55,0,48,0,0,0,0
"86",53,8,59,5,13,8,7
"87",54,0,55,0,0,0,1
"88",54,0,46,0,0,0,0
"89",69,0,56,0,0,0,2
"90",1,0,1,0,0,0,0
"91",62,0,59,0,0,0,0
"92",0,0,1,0,0,0,0
"93",48,4,50,7,9,5,7
"94",55,3,45,5,13,4,9
"95",48,8,56,7,9,6,8
"96",54,1,46,2,1,1,2
"97",49,0,50,0,0,0,0
"98",60,4,64,6,11,4,8
"99",57,0,61,0,1,0,0
"100",61,4,47,6,23,4,10
"101",62,0,62,0,0,0,0
"102",55,5,67,5,16,3,11
"103",46,4,55,8,11,5,10
"104",49,6,64,7,19,7,10
"105",50,5,64,3,10,5,10
"106",0,0,0,0,0,0,0
"107",46,0,55,0,0,1,0
"108",49,0,47,0,0,0,0
"109",69,4,65,3,12,6,8
"110",62,5,66,5,13,8,9
"111",53,6,54,5,13,3,5
"112",51,3,53,3,14,4,5
"113",0,0,0,0,0,0,0
"114",45,6,67,6,10,3,6
"115",49,6,47,3,12,6,8
"116",43,7,50,8,10,6,7
"117",49,7,63,6,14,5,9
"118",58,0,52,0,0,0,0
"119",42,0,53,0,2,0,0
"120",59,0,51,0,0,0,0
"121",54,6,48,5,13,7,10
"122",46,5,44,6,11,2,7
"123",64,4,52,4,10,4,4
"124",50,3,64,3,8,3,5
"125",58,4,55,8,12,5,9
"126",0,0,0,0,0,0,0
"127",48,0,53,0,0,0,0
