"","age1_orange.D","age1_green.D","age2_no_comorbid_orange.D","age2_no_comorbid_green.D","age2_comorbid_green.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"1",16,0,36,0,0,0,0
"2",21,0,35,0,1,0,0
"3",24,0,35,0,0,0,0
"4",17,0,34,0,0,0,0
"5",0,0,0,0,0,0,0
"6",21,0,27,0,0,0,2
"7",28,0,27,0,0,0,0
"8",0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0
"11",3,0,0,0,0,0,0
"12",30,0,30,0,0,0,0
"13",17,2,25,5,13,4,19
"14",0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0
"17",29,0,34,0,0,0,0
"18",0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0
"20",23,0,35,0,0,0,0
"21",21,0,27,0,0,0,0
"22",22,0,32,0,0,0,0
"23",24,0,28,0,2,0,1
"24",35,1,39,1,9,2,13
"25",22,0,27,0,0,0,0
"26",15,0,27,0,0,0,0
"27",0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0
"29",30,0,33,0,0,1,0
"30",20,0,21,0,0,0,1
"31",0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0
"33",27,1,31,3,11,2,8
"34",25,0,35,0,0,0,0
"35",0,0,0,0,0,0,0
"36",22,0,24,0,1,0,0
"37",0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0
"39",28,0,26,0,0,0,0
"40",19,0,21,0,0,0,0
"41",20,0,31,0,0,0,2
"42",28,0,22,0,4,0,7
"43",0,0,0,0,0,0,0
"44",26,0,29,1,0,0,0
"45",19,0,32,0,0,0,0
"46",16,2,23,0,9,1,13
"47",30,1,32,3,7,2,4
"48",24,0,26,0,0,0,0
"49",0,0,0,0,0,0,0
"50",15,0,25,0,1,0,0
"51",24,0,35,0,1,0,0
"52",0,0,0,0,0,0,0
"53",0,0,0,0,0,0,0
"54",38,0,29,0,0,0,0
"55",0,0,0,0,0,0,0
"56",17,0,24,1,1,0,0
"57",20,0,25,0,0,0,0
"58",32,0,24,0,1,0,0
"59",28,0,21,1,0,0,1
"60",0,0,0,0,0,0,0
"61",25,0,35,0,0,0,0
"62",22,0,28,0,0,0,0
"63",0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0
"65",27,0,23,3,16,2,18
"66",0,0,0,0,0,0,0
"67",0,0,0,0,0,0,0
"68",32,0,27,0,0,0,0
"69",20,0,21,0,0,0,0
"70",0,0,0,0,0,0,0
"71",22,0,36,0,2,0,2
"72",28,0,32,0,0,0,0
"73",0,0,0,0,0,0,0
"74",24,0,28,0,0,0,0
"75",12,0,31,0,0,0,0
"76",24,0,43,0,0,0,0
"77",25,0,26,0,0,0,0
"78",18,0,29,0,1,0,0
"79",27,0,36,0,0,0,0
"80",0,0,0,0,0,0,0
"81",0,0,0,0,0,0,0
"82",0,0,0,0,0,0,0
"83",0,0,1,0,0,0,0
"84",22,6,25,4,19,2,11
"85",23,0,30,0,0,0,0
"86",18,0,20,0,0,0,0
"87",0,0,0,0,0,0,0
"88",21,0,36,0,0,0,1
"89",21,3,30,1,9,2,6
"90",17,0,17,0,0,0,0
"91",17,0,27,0,0,0,0
"92",0,0,0,0,0,0,0
"93",31,1,32,4,13,3,12
"94",0,0,0,0,0,0,0
"95",28,0,28,0,0,0,0
"96",32,0,37,0,0,0,1
"97",24,0,24,1,0,0,1
"98",0,0,0,0,0,0,0
"99",24,0,26,0,0,0,0
"100",0,0,0,0,0,0,0
"101",23,0,25,0,0,0,0
"102",14,4,34,4,20,7,14
"103",26,0,26,0,1,1,1
"104",17,0,26,0,0,1,0
"105",29,1,26,0,1,1,3
"106",34,0,31,0,0,0,0
"107",0,0,0,0,0,0,0
"108",25,0,41,0,0,0,0
"109",0,0,0,0,0,0,0
"110",20,0,30,0,0,0,1
"111",0,0,0,0,0,0,0
"112",0,0,0,0,0,0,0
"113",28,0,30,0,0,0,0
"114",20,0,30,0,0,0,0
"115",27,0,23,0,0,0,0
"116",0,0,0,0,0,0,0
"117",0,0,0,0,0,0,0
"118",20,0,29,0,0,0,0
"119",21,0,27,0,0,0,0
"120",29,0,31,0,0,1,0
"121",24,0,27,0,2,0,1
"122",0,0,0,0,0,0,0
"123",0,0,0,0,0,0,0
"124",23,0,21,0,0,0,2
"125",29,0,26,0,0,0,0
"126",0,0,0,0,0,0,0
"127",0,0,0,0,0,0,0
"128",21,0,19,0,0,0,1
"129",25,1,29,2,7,1,5
"130",0,0,0,0,0,0,0
"131",34,0,29,1,0,0,0
"132",24,0,39,0,0,0,1
"133",22,0,22,0,0,0,0
"134",30,0,38,0,0,0,1
"135",21,1,28,7,7,5,8
"136",19,0,27,0,0,0,0
"137",25,0,23,0,0,0,0
"138",17,0,34,0,0,0,0
"139",23,0,32,0,1,0,1
"140",0,0,0,0,0,0,0
"141",24,0,32,0,2,0,0
"142",17,0,23,0,0,0,0
"143",0,0,0,0,0,0,0
"144",0,0,0,0,0,0,0
"145",0,0,0,0,0,0,0
"146",0,0,0,0,0,0,0
"147",18,0,35,0,0,0,0
"148",25,0,12,0,0,0,0
"149",24,0,21,0,0,0,0
"150",23,0,38,0,0,0,2
"151",0,0,0,0,0,0,0
"152",0,0,0,0,0,0,0
"153",30,1,26,1,11,1,11
"154",25,0,33,0,0,0,0
"155",24,0,38,2,0,0,2
"156",29,0,34,0,0,0,0
"157",0,0,0,0,0,0,0
"158",25,0,27,0,0,0,1
"159",0,0,0,0,0,0,0
"160",28,0,21,0,0,0,0
"161",37,0,27,0,1,0,1
"162",0,0,1,0,0,0,0
"163",0,0,1,0,0,0,0
"164",29,0,26,0,0,0,1
"165",20,0,21,0,0,0,0
"166",0,0,0,0,0,0,0
"167",0,0,0,0,0,0,0
"168",0,0,0,0,0,0,0
"169",18,2,27,2,11,5,10
"170",30,0,34,0,0,0,0
"171",0,0,0,0,0,0,0
"172",19,0,29,0,0,0,0
"173",20,0,22,0,0,0,0
"174",0,0,0,0,0,0,0
"175",0,0,0,0,0,0,0
"176",28,0,28,0,0,0,0
"177",21,0,29,0,0,0,0
"178",0,0,0,0,0,0,0
"179",0,0,0,0,0,0,0
"180",0,0,0,0,0,0,0
"181",26,0,29,0,0,0,0
"182",16,1,28,0,3,0,1
"183",0,0,0,0,0,0,0
"184",16,0,28,0,0,0,4
"185",0,0,0,0,0,0,0
"186",32,0,24,0,0,0,0
"187",23,0,27,0,0,0,2
"188",34,0,30,0,0,0,2
"189",0,0,0,0,0,0,0
"190",19,0,28,0,0,0,0
"191",1,0,0,0,0,0,0
"192",25,1,30,2,9,3,17
"193",16,0,33,0,6,1,3
"194",27,0,27,0,0,0,0
"195",25,0,35,0,0,0,0
"196",0,0,0,0,0,0,0
"197",0,0,0,0,0,0,0
"198",22,0,37,0,0,0,0
"199",23,0,28,0,0,0,0
"200",0,0,0,0,0,0,0
"201",0,0,0,0,0,0,0
"202",33,0,24,0,1,0,1
"203",0,0,0,0,0,0,0
"204",0,0,0,0,0,0,0
"205",0,0,0,0,0,0,0
"206",0,0,0,0,0,0,0
"207",23,0,31,0,0,0,0
"208",1,0,0,0,0,0,0
"209",15,0,20,0,0,0,0
"210",22,0,26,0,0,0,0
"211",16,0,29,0,0,0,1
