"","age1_orange.H","age1_green.H","age2_no_comorbid_orange.H","age2_no_comorbid_green.H","age2_comorbid_green.H","age3_no_comorbid_green.H","age3_comorbid_green.H"
"1",3,0,5,0,0,0,0
"2",6,0,6,0,1,0,0
"3",6,0,6,0,0,0,0
"4",6,0,5,0,0,0,0
"5",0,0,0,0,0,0,0
"6",4,0,6,0,0,0,0
"7",5,0,7,0,0,0,0
"8",0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0
"11",2,0,0,0,0,0,0
"12",12,0,6,0,0,0,0
"13",3,0,5,1,3,1,3
"14",0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0
"17",6,0,5,0,0,0,0
"18",0,0,0,0,0,0,0
"19",0,0,0,0,0,0,0
"20",8,0,5,0,0,0,0
"21",7,0,4,0,0,0,0
"22",4,0,5,0,0,0,0
"23",5,0,6,0,1,0,1
"24",5,1,5,1,3,1,2
"25",6,0,4,0,0,0,0
"26",3,0,5,0,0,0,0
"27",0,0,0,0,0,0,0
"28",0,0,0,0,0,0,0
"29",6,0,5,0,0,0,0
"30",4,0,8,0,0,0,0
"31",0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0
"33",5,1,5,1,3,1,1
"34",5,0,5,0,0,0,0
"35",0,0,0,0,0,0,0
"36",7,0,4,0,1,0,0
"37",0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0
"39",10,0,4,0,0,0,0
"40",6,0,2,0,0,0,0
"41",5,0,3,0,0,0,0
"42",6,0,2,0,2,0,1
"43",0,0,0,0,0,0,0
"44",5,0,5,0,0,0,0
"45",5,0,6,0,0,0,0
"46",3,1,4,0,2,0,2
"47",6,1,5,1,2,1,1
"48",5,0,3,0,0,0,0
"49",0,0,0,0,0,0,0
"50",4,0,6,0,1,0,0
"51",6,0,7,0,1,0,0
"52",0,0,0,0,0,0,0
"53",0,0,0,0,0,0,0
"54",4,0,4,0,0,0,0
"55",0,0,0,0,0,0,0
"56",4,0,3,1,0,0,0
"57",7,0,3,0,0,0,0
"58",7,0,3,0,0,0,0
"59",5,0,4,1,0,0,1
"60",0,0,0,0,0,0,0
"61",5,0,5,0,0,0,0
"62",5,0,3,0,0,0,0
"63",0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0
"65",6,0,4,2,2,1,4
"66",0,0,0,0,0,0,0
"67",0,0,0,0,0,0,0
"68",7,0,4,0,0,0,0
"69",6,0,5,0,0,0,0
"70",0,0,0,0,0,0,0
"71",4,0,9,0,1,0,1
"72",6,0,7,0,0,0,0
"73",0,0,0,0,0,0,0
"74",5,0,4,0,0,0,0
"75",5,0,7,0,0,0,0
"76",6,0,7,0,0,0,0
"77",6,0,6,0,0,0,0
"78",5,0,3,0,1,0,0
"79",6,0,7,0,0,0,0
"80",0,0,0,0,0,0,0
"81",0,0,0,0,0,0,0
"82",0,0,0,0,0,0,0
"83",0,0,1,0,0,0,0
"84",4,1,4,2,3,1,3
"85",7,0,4,0,0,0,0
"86",3,0,4,0,0,0,0
"87",0,0,0,0,0,0,0
"88",5,0,8,0,0,0,1
"89",5,2,4,1,3,0,1
"90",6,0,4,0,0,0,0
"91",4,0,4,0,0,0,0
"92",0,0,0,0,0,0,0
"93",7,1,6,1,4,1,3
"94",0,0,0,0,0,0,0
"95",4,0,7,0,0,0,0
"96",6,0,4,0,0,0,0
"97",7,0,5,1,0,0,1
"98",0,0,0,0,0,0,0
"99",9,0,5,0,0,0,0
"100",0,0,0,0,0,0,0
"101",10,0,5,0,0,0,0
"102",3,2,7,1,4,2,5
"103",7,0,3,0,1,1,0
"104",5,0,6,0,0,1,0
"105",4,1,4,0,1,1,1
"106",7,0,6,0,0,0,0
"107",0,0,0,0,0,0,0
"108",3,0,10,0,0,0,0
"109",0,0,0,0,0,0,0
"110",7,0,5,0,0,0,0
"111",0,0,0,0,0,0,0
"112",0,0,0,0,0,0,0
"113",8,0,5,0,0,0,0
"114",6,0,4,0,0,0,0
"115",5,0,4,0,0,0,0
"116",0,0,0,0,0,0,0
"117",0,0,0,0,0,0,0
"118",5,0,5,0,0,0,0
"119",3,0,5,0,0,0,0
"120",6,0,5,0,0,1,0
"121",6,0,8,0,1,0,0
"122",0,0,0,0,0,0,0
"123",0,0,0,0,0,0,0
"124",5,0,3,0,0,0,1
"125",6,0,6,0,0,0,0
"126",0,0,0,0,0,0,0
"127",0,0,0,0,0,0,0
"128",6,0,4,0,0,0,1
"129",5,0,7,1,1,1,1
"130",0,0,0,0,0,0,0
"131",6,0,5,1,0,0,0
"132",4,0,8,0,0,0,1
"133",4,0,6,0,0,0,0
"134",8,0,8,0,0,0,1
"135",6,1,6,3,2,3,2
"136",5,0,7,0,0,0,0
"137",4,0,4,0,0,0,0
"138",4,0,8,0,0,0,0
"139",5,0,7,0,1,0,1
"140",0,0,0,0,0,0,0
"141",8,0,4,0,1,0,0
"142",3,0,5,0,0,0,0
"143",0,0,0,0,0,0,0
"144",0,0,0,0,0,0,0
"145",0,0,0,0,0,0,0
"146",0,0,0,0,0,0,0
"147",5,0,7,0,0,0,0
"148",5,0,2,0,0,0,0
"149",7,0,5,0,0,0,0
"150",5,0,7,0,0,0,1
"151",0,0,0,0,0,0,0
"152",0,0,0,0,0,0,0
"153",5,1,4,1,3,1,4
"154",5,0,9,0,0,0,0
"155",5,0,6,1,0,0,0
"156",7,0,8,0,0,0,0
"157",0,0,0,0,0,0,0
"158",6,0,5,0,0,0,1
"159",0,0,0,0,0,0,0
"160",6,0,3,0,0,0,0
"161",9,0,3,0,1,0,0
"162",0,0,1,0,0,0,0
"163",0,0,0,0,0,0,0
"164",8,0,5,0,0,0,1
"165",4,0,3,0,0,0,0
"166",0,0,0,0,0,0,0
"167",0,0,0,0,0,0,0
"168",0,0,0,0,0,0,0
"169",4,2,3,0,3,2,4
"170",9,0,5,0,0,0,0
"171",0,0,0,0,0,0,0
"172",5,0,4,0,0,0,0
"173",6,0,5,0,0,0,0
"174",0,0,0,0,0,0,0
"175",0,0,0,0,0,0,0
"176",8,0,5,0,0,0,0
"177",5,0,4,0,0,0,0
"178",0,0,0,0,0,0,0
"179",0,0,0,0,0,0,0
"180",0,0,0,0,0,0,0
"181",6,0,5,0,0,0,0
"182",4,1,6,0,1,0,1
"183",0,0,0,0,0,0,0
"184",5,0,6,0,0,0,1
"185",0,0,0,0,0,0,0
"186",7,0,3,0,0,0,0
"187",6,0,5,0,0,0,1
"188",11,0,5,0,0,0,1
"189",0,0,0,0,0,0,0
"190",5,0,5,0,0,0,0
"191",0,0,0,0,0,0,0
"192",6,1,5,1,1,1,3
"193",5,0,5,0,1,1,2
"194",5,0,5,0,0,0,0
"195",7,0,5,0,0,0,0
"196",0,0,0,0,0,0,0
"197",0,0,0,0,0,0,0
"198",4,0,6,0,0,0,0
"199",5,0,5,0,0,0,0
"200",0,0,0,0,0,0,0
"201",0,0,0,0,0,0,0
