"","age1_orange.P","age1_green.P","age2_no_comorbid_orange.P","age2_no_comorbid_green.P","age2_comorbid_green.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"1",38,0,28,0,0,0,0
"2",34,2,31,2,3,1,1
"3",36,0,26,0,0,0,0
"4",0,0,1,0,0,0,0
"5",34,0,30,0,0,1,0
"6",30,5,30,5,5,2,3
"7",1,0,1,0,0,0,0
"8",31,0,24,0,0,0,0
"9",44,0,30,0,0,0,0
"10",37,0,28,0,0,0,0
"11",36,0,33,0,0,0,0
"12",0,0,1,0,0,0,0
"13",36,0,34,0,0,0,0
"14",28,0,28,0,0,1,0
"15",1,0,1,0,0,0,0
"16",0,0,1,0,0,0,0
"17",40,6,42,5,8,3,3
"18",38,0,34,0,0,0,0
"19",38,4,37,1,4,1,3
"20",0,0,1,0,0,0,0
"21",40,0,34,0,0,0,0
"22",32,0,26,0,0,0,0
"23",42,3,32,4,3,2,2
"24",0,0,1,0,0,0,0
"25",2,0,2,0,0,0,0
"26",0,0,1,0,0,0,0
"27",30,3,35,2,1,0,0
"28",1,0,1,0,0,0,0
"29",0,0,1,0,0,0,0
"30",31,1,35,1,1,0,1
"31",0,0,1,0,0,0,0
"32",37,0,29,0,0,0,0
"33",31,0,28,0,0,0,1
"34",35,0,39,0,0,1,0
"35",0,0,1,0,0,0,0
"36",47,4,37,5,6,2,5
"37",1,0,1,0,0,0,0
"38",0,0,1,0,0,0,0
"39",0,0,1,0,0,0,0
"40",0,0,1,0,0,0,0
"41",1,0,1,0,0,0,0
"42",0,0,1,0,0,0,0
"43",42,1,31,2,2,0,1
"44",0,0,1,0,0,0,0
"45",1,0,1,0,0,0,0
"46",0,0,1,0,0,0,0
"47",1,0,1,0,0,0,0
"48",36,0,36,1,1,0,0
"49",26,0,26,1,1,1,0
"50",1,0,1,0,0,0,0
"51",38,0,32,1,0,0,0
"52",1,0,1,0,0,0,0
"53",29,0,27,0,0,0,0
"54",0,0,1,0,0,0,0
"55",0,0,1,0,0,0,0
"56",30,0,28,0,0,0,1
"57",0,0,1,0,0,0,0
"58",43,1,39,1,0,0,0
"59",0,0,2,0,0,0,0
"60",40,0,35,0,1,0,0
"61",35,0,35,0,0,1,1
"62",30,0,33,0,0,0,0
"63",34,1,27,1,2,0,0
"64",0,0,1,0,0,0,0
"65",0,0,1,0,0,0,0
"66",0,0,1,0,0,0,0
"67",30,0,28,0,1,0,1
"68",33,1,35,0,0,0,0
"69",0,0,1,0,0,0,0
"70",0,0,1,0,0,0,0
"71",31,1,31,1,1,1,0
"72",0,0,1,0,0,0,0
"73",1,0,1,0,0,0,0
"74",40,3,41,2,5,2,1
"75",35,3,33,3,3,2,3
"76",34,0,33,0,0,0,0
"77",0,0,1,0,0,0,0
"78",35,0,27,0,0,0,0
"79",33,2,32,1,1,1,1
"80",1,0,1,0,0,0,0
"81",33,0,32,0,0,0,0
"82",0,0,1,0,0,0,0
"83",27,0,28,0,0,0,0
"84",1,0,1,0,0,0,0
"85",0,0,1,0,0,0,0
"86",32,0,24,0,0,0,0
"87",31,0,29,0,0,0,0
"88",32,1,26,1,2,1,2
"89",37,6,34,5,5,2,3
"90",0,0,1,0,0,0,0
"91",32,0,29,0,1,0,1
"92",38,0,41,0,0,0,0
"93",38,1,29,1,3,1,0
"94",0,0,1,0,0,0,0
"95",1,0,1,0,0,0,0
"96",0,0,1,0,0,0,0
"97",0,0,1,0,0,0,0
"98",33,0,29,0,1,0,0
"99",0,0,1,0,0,0,0
"100",26,2,25,1,1,0,0
"101",2,0,1,0,0,0,0
"102",1,0,1,0,0,0,0
"103",46,0,32,0,0,0,0
"104",32,0,34,0,1,0,0
"105",0,0,1,0,0,0,0
"106",37,0,36,1,0,1,0
"107",0,0,1,0,0,0,0
"108",0,0,2,0,0,0,0
"109",35,2,33,1,1,0,1
"110",0,0,1,0,0,0,0
"111",26,1,26,2,1,1,1
"112",33,0,31,0,0,0,0
"113",0,0,1,0,0,0,0
"114",41,0,37,0,0,0,0
"115",35,1,28,1,1,0,0
"116",37,0,35,0,0,0,0
"117",31,0,33,0,0,0,0
"118",30,0,28,0,0,0,0
"119",0,0,1,0,0,0,0
"120",1,0,1,0,0,0,0
"121",2,0,1,0,0,0,0
"122",34,0,30,0,0,0,0
"123",43,0,34,0,0,0,0
"124",39,5,32,4,6,5,3
"125",35,0,31,0,0,0,0
"126",41,1,35,0,1,0,0
"127",33,2,25,2,3,0,2
"128",0,0,1,0,0,0,0
"129",38,0,36,0,0,0,0
"130",37,0,33,0,1,0,0
"131",0,0,2,0,0,0,0
"132",0,0,1,0,0,0,0
"133",35,0,34,0,0,0,0
"134",0,0,1,0,0,0,0
"135",37,1,32,1,1,1,1
"136",27,0,26,0,0,0,0
"137",2,0,1,0,0,0,0
"138",34,1,27,1,0,0,1
"139",28,0,22,0,0,0,0
"140",20,0,17,2,1,0,0
"141",29,0,24,0,0,0,0
"142",40,3,32,3,6,2,3
"143",36,0,26,0,0,0,0
"144",42,0,31,0,0,0,0
"145",43,0,31,1,1,0,0
"146",2,0,3,0,0,0,0
"147",0,0,1,0,0,0,0
"148",43,3,34,2,3,3,2
"149",0,0,1,0,0,0,0
"150",33,0,33,0,0,0,0
"151",0,0,1,0,0,0,0
"152",1,0,1,0,0,0,0
"153",34,0,29,0,0,0,0
"154",44,0,35,0,0,0,0
"155",35,2,31,3,3,2,3
"156",0,0,1,0,0,0,0
"157",1,0,1,0,0,0,0
"158",1,0,1,0,0,0,0
"159",24,0,22,0,0,0,0
"160",40,0,29,0,0,1,1
"161",0,0,1,0,0,0,0
"162",0,0,1,0,0,0,0
"163",0,0,1,0,0,0,0
"164",39,0,35,1,0,0,0
"165",22,0,23,0,0,0,0
"166",41,5,29,6,7,4,4
"167",1,0,1,0,0,0,0
"168",29,0,22,0,0,0,0
"169",0,0,1,0,0,0,0
"170",1,0,1,0,0,0,0
"171",1,0,1,0,0,0,0
"172",41,3,37,3,4,3,3
"173",33,1,31,1,0,0,0
"174",0,0,1,0,0,0,0
"175",0,0,1,0,0,0,0
"176",47,2,40,3,4,1,2
"177",30,4,26,4,4,2,3
"178",39,0,34,0,0,0,0
"179",31,0,26,1,1,0,0
"180",35,0,34,0,0,0,0
"181",0,0,1,0,0,0,0
"182",36,2,22,2,2,1,1
"183",41,3,28,1,3,1,3
"184",46,0,34,0,0,0,0
"185",2,0,2,0,0,0,0
"186",42,3,33,2,2,2,2
"187",36,3,34,3,4,2,3
"188",40,3,34,3,5,2,2
"189",0,0,1,0,0,0,0
"190",1,0,1,0,0,0,0
"191",30,1,23,0,0,0,0
"192",30,5,26,3,5,3,3
"193",35,0,31,0,0,0,0
"194",0,0,1,0,0,0,0
"195",29,0,28,0,0,0,1
"196",1,0,2,0,0,0,0
"197",35,1,29,0,0,0,0
"198",26,0,22,2,1,0,0
"199",38,0,30,0,0,0,0
"200",29,1,29,0,1,0,0
"201",2,0,1,0,0,0,0
"202",1,0,1,0,0,0,0
"203",0,0,1,0,0,0,0
"204",2,0,2,0,0,0,0
"205",0,0,1,0,0,0,0
"206",30,0,30,0,0,0,0
"207",0,0,1,0,0,0,0
"208",28,0,34,1,1,0,1
"209",34,1,24,0,0,0,0
"210",0,0,1,0,0,0,0
"211",33,0,30,0,0,0,0
"212",30,1,29,0,0,0,0
"213",0,0,1,0,0,0,0
"214",1,0,1,0,0,0,0
"215",31,0,31,0,0,0,0
"216",1,0,1,0,0,0,0
"217",0,0,1,0,0,0,0
"218",3,0,2,0,0,0,0
"219",46,0,29,0,0,0,0
"220",0,0,1,0,0,0,0
"221",38,0,35,0,0,0,0
"222",36,2,28,1,1,1,2
"223",27,0,22,0,0,0,1
"224",0,0,1,0,0,0,0
"225",0,0,1,0,0,0,0
"226",38,0,30,0,0,0,0
"227",40,0,27,0,0,0,0
"228",0,0,1,0,0,0,0
"229",39,3,32,4,5,2,4
"230",0,0,1,0,0,0,0
"231",31,0,30,0,0,0,0
"232",36,0,26,1,2,0,0
"233",36,0,28,0,0,0,0
"234",0,0,1,0,0,0,0
"235",0,0,1,0,0,0,0
"236",34,0,32,0,0,0,0
