"","age1_orange.O","age1_green.O","age2_no_comorbid_orange.O","age2_no_comorbid_green.O","age2_comorbid_green.O","age3_no_comorbid_green.O","age3_comorbid_green.O"
"1",69,0,52,0,0,0,0
"2",64,2,51,4,5,1,1
"3",60,0,42,0,0,0,0
"4",0,0,1,0,0,0,0
"5",63,0,47,0,0,1,0
"6",54,7,42,5,6,3,3
"7",1,0,0,0,0,0,0
"8",55,0,45,0,0,0,0
"9",67,0,56,0,0,0,0
"10",72,0,60,0,0,0,0
"11",70,0,68,0,0,0,0
"12",0,0,1,0,0,0,0
"13",61,0,56,0,0,0,0
"14",54,0,56,0,0,1,0
"15",1,0,1,0,0,0,0
"16",0,0,1,0,0,0,0
"17",70,8,60,5,7,4,2
"18",63,0,61,0,0,0,0
"19",76,5,65,3,4,1,2
"20",0,0,1,0,0,0,0
"21",75,0,59,0,0,0,0
"22",54,0,49,0,0,0,0
"23",79,5,54,5,4,2,3
"24",0,0,1,0,0,0,0
"25",2,0,2,0,0,0,0
"26",0,0,1,0,0,0,0
"27",53,2,57,1,1,0,0
"28",1,0,1,0,0,0,0
"29",0,0,1,0,0,0,0
"30",71,1,51,1,1,0,1
"31",0,0,1,0,0,0,0
"32",77,0,56,0,0,0,0
"33",67,0,42,0,0,0,1
"34",64,0,63,0,0,1,0
"35",0,0,1,0,0,0,0
"36",85,9,74,8,7,5,4
"37",1,0,1,0,0,0,0
"38",0,0,0,0,0,0,0
"39",0,0,1,0,0,0,0
"40",0,0,0,0,0,0,0
"41",1,0,2,0,0,0,0
"42",0,0,1,0,0,0,0
"43",72,3,57,2,2,0,1
"44",0,0,1,0,0,0,0
"45",1,0,1,0,0,0,0
"46",0,0,1,0,0,0,0
"47",2,0,1,0,0,0,0
"48",71,0,60,1,1,0,0
"49",57,0,48,1,1,1,0
"50",1,0,1,0,0,0,0
"51",59,0,63,1,0,0,0
"52",1,0,1,0,0,0,0
"53",62,0,55,0,0,0,0
"54",0,0,2,0,0,0,0
"55",0,0,1,0,0,0,0
"56",58,0,49,0,0,0,1
"57",0,0,0,0,0,0,0
"58",73,1,70,0,0,0,0
"59",0,0,2,0,0,0,0
"60",78,0,81,0,1,0,0
"61",61,0,55,0,0,0,1
"62",64,0,55,0,0,0,0
"63",71,1,44,1,1,0,0
"64",0,0,0,0,0,0,0
"65",0,0,0,0,0,0,0
"66",0,0,1,0,0,0,0
"67",52,0,46,0,1,0,1
"68",69,0,59,0,0,0,0
"69",0,0,1,0,0,0,0
"70",0,0,1,0,0,0,0
"71",63,1,55,1,1,1,0
"72",0,0,0,0,0,0,0
"73",0,0,1,0,0,0,0
"74",62,3,56,3,4,1,1
"75",78,4,57,3,3,2,3
"76",67,0,52,0,0,0,0
"77",0,0,1,0,0,0,0
"78",58,0,50,0,0,0,0
"79",61,2,58,2,2,1,1
