"","age1_orange.P","age1_green.P","age2_no_comorbid_orange.P","age2_no_comorbid_green.P","age2_comorbid_green.P","age3_no_comorbid_green.P","age3_comorbid_green.P"
"1",103,0,104,1,1,0,0
"2",140,9,113,12,18,8,7
"3",96,0,124,0,0,0,1
"4",123,14,132,12,16,9,11
"5",118,7,103,10,15,5,6
"6",132,12,127,10,13,7,8
"7",0,0,1,0,0,0,0
"8",109,0,115,0,0,0,0
"9",116,11,100,11,13,5,7
"10",0,0,1,0,0,0,0
"11",132,11,125,10,10,5,6
"12",110,9,118,10,12,4,8
"13",109,10,121,13,14,7,8
"14",93,8,99,14,12,4,8
"15",97,9,103,9,11,6,6
"16",95,12,108,15,21,8,13
"17",90,9,98,9,18,6,9
"18",114,9,112,10,12,6,9
"19",0,0,1,0,0,0,0
"20",111,10,107,11,14,4,9
"21",109,11,113,16,12,9,8
"22",92,7,91,10,13,5,5
"23",95,10,109,12,11,6,10
"24",102,10,93,11,16,7,8
"25",119,10,116,10,10,5,8
"26",130,0,116,1,0,0,0
"27",120,11,122,15,12,6,10
"28",0,0,1,0,0,0,0
"29",0,0,1,0,0,0,0
"30",96,9,95,10,12,5,6
"31",113,10,106,17,14,4,10
"32",84,9,79,11,15,5,6
"33",132,10,117,13,15,7,12
"34",105,0,107,0,1,1,0
"35",110,13,117,12,16,5,6
"36",104,8,115,13,18,7,7
"37",94,11,94,11,14,5,9
"38",113,11,123,13,18,6,7
"39",125,6,104,9,10,6,6
"40",114,11,128,13,14,5,7
"41",116,0,115,0,0,0,0
"42",107,8,99,9,18,7,10
"43",0,0,1,0,0,0,0
"44",113,7,95,8,11,7,5
"45",122,8,113,13,13,6,11
"46",103,0,92,0,0,0,0
"47",85,10,76,11,12,7,6
"48",113,10,95,13,15,7,11
"49",108,9,92,9,20,7,12
"50",116,11,109,8,11,5,8
"51",91,11,86,14,11,5,6
"52",113,1,97,0,0,0,0
"53",99,8,81,15,21,6,8
"54",103,7,98,9,14,5,8
"55",108,8,107,11,12,5,5
"56",106,5,112,10,12,5,8
"57",93,12,109,11,17,6,10
"58",91,10,97,14,14,6,9
"59",111,10,120,9,17,5,10
"60",110,8,116,11,15,6,8
"61",95,8,91,12,18,7,10
"62",104,11,103,11,19,6,10
"63",110,8,109,11,14,7,6
"64",106,12,103,11,11,4,8
"65",105,12,108,14,17,6,11
"66",0,0,1,0,0,0,0
"67",102,11,98,13,20,7,8
"68",109,12,112,14,15,5,9
"69",121,10,94,12,13,7,8
"70",123,10,121,11,12,5,7
"71",0,0,1,0,0,0,0
"72",85,12,100,16,12,7,8
"73",112,8,101,11,15,8,10
"74",125,12,114,16,21,7,10
"75",104,7,119,8,9,4,5
"76",122,1,129,0,1,0,0
"77",109,11,125,14,14,7,9
"78",0,0,1,0,0,0,0
"79",82,0,85,0,1,0,0
"80",122,8,110,12,13,4,7
"81",1,0,1,0,0,0,0
"82",93,12,91,12,15,10,11
"83",107,1,117,1,1,0,0
"84",102,8,89,12,20,4,10
"85",111,9,103,8,9,3,5
"86",97,11,86,16,17,4,9
"87",108,9,109,9,9,6,7
"88",117,10,99,12,19,4,7
"89",106,11,102,13,15,6,9
"90",92,14,96,10,12,5,8
"91",1,0,1,0,0,0,0
"92",0,0,1,0,0,0,0
"93",1,0,1,0,0,0,0
"94",0,0,1,0,0,0,0
"95",111,9,127,7,14,5,8
"96",106,13,130,17,18,7,8
"97",103,11,113,14,15,7,8
"98",124,12,137,12,13,8,10
"99",100,7,112,15,17,7,8
"100",103,6,91,10,11,4,6
"101",132,11,119,13,16,5,8
"102",122,0,140,0,0,0,0
"103",101,9,122,12,15,4,8
"104",127,8,111,9,15,6,10
"105",110,12,92,8,11,4,9
"106",106,6,98,7,9,3,6
"107",98,11,91,15,13,3,4
"108",106,12,122,14,26,8,10
"109",116,0,122,0,0,0,0
"110",127,8,105,10,11,4,6
"111",113,12,122,13,17,5,8
"112",93,9,131,12,12,5,7
"113",117,9,114,14,13,6,10
"114",125,1,101,0,0,0,0
"115",119,1,94,0,0,0,0
"116",0,0,1,0,0,0,0
"117",121,9,122,11,14,5,7
"118",0,0,1,0,0,0,0
"119",103,0,107,1,0,0,0
"120",129,9,130,13,10,7,6
"121",97,10,103,13,17,5,8
"122",0,0,1,0,0,0,0
"123",1,0,1,0,0,0,0
"124",110,12,108,11,10,6,11
"125",113,9,112,12,13,6,9
"126",92,11,93,10,12,9,12
"127",85,1,94,0,0,0,0
"128",122,11,113,12,16,6,10
"129",103,8,118,13,21,6,8
"130",0,0,1,0,0,0,0
"131",113,12,126,10,17,6,7
"132",114,10,116,13,17,5,9
"133",115,8,108,10,13,8,8
"134",98,12,104,12,16,5,7
"135",94,9,102,8,13,4,8
"136",103,8,105,11,15,3,9
"137",118,9,105,10,17,4,9
"138",119,0,106,0,1,0,0
