"","age1_orange.D","age1_green.D","age2_no_comorbid_orange.D","age2_no_comorbid_green.D","age2_comorbid_green.D","age3_no_comorbid_green.D","age3_comorbid_green.D"
"1",4,0,10,0,0,0,0
"2",13,0,14,0,0,0,0
"3",0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0
"5",9,0,10,0,0,0,0
"6",0,0,0,0,0,0,0
"7",6,0,13,0,0,0,0
"8",8,0,16,0,0,0,0
"9",2,0,8,0,0,0,0
"10",7,0,10,0,0,0,0
"11",0,0,0,0,0,0,0
"12",6,0,9,0,0,0,0
"13",0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0
"16",4,0,10,0,0,0,0
"17",0,0,0,0,0,0,0
"18",9,0,13,0,0,0,3
"19",5,0,5,0,0,0,0
"20",6,0,12,0,0,0,0
"21",6,0,8,0,0,0,0
"22",0,0,0,0,0,0,0
"23",11,0,16,0,0,0,0
"24",0,0,0,0,0,0,0
"25",5,0,10,2,7,0,6
"26",0,0,0,0,0,0,0
"27",0,0,0,0,0,0,0
"28",10,1,11,1,2,0,8
"29",0,0,0,0,0,0,0
"30",8,0,7,0,4,2,9
"31",8,0,11,0,0,0,0
"32",0,0,0,0,0,0,0
"33",3,0,9,0,0,0,0
"34",9,0,15,0,0,0,0
"35",9,0,10,0,0,0,0
"36",7,0,8,0,0,0,0
"37",10,2,6,2,2,3,7
"38",4,0,5,1,5,2,6
"39",5,0,11,0,0,0,0
"40",8,0,14,0,0,0,0
"41",8,0,13,0,0,0,0
"42",0,0,0,0,0,0,0
"43",6,0,5,0,0,0,0
"44",10,0,9,0,0,0,0
"45",0,0,0,0,0,0,0
"46",4,0,8,0,0,0,0
"47",7,0,11,0,0,0,0
"48",8,0,5,0,0,0,0
"49",6,0,13,2,5,0,5
"50",3,0,12,0,0,0,0
"51",9,0,12,0,0,0,0
"52",6,0,10,0,0,0,0
"53",0,0,0,0,0,0,0
"54",13,0,8,0,0,0,0
"55",3,0,13,0,0,0,0
"56",8,0,10,0,0,0,0
"57",7,0,9,0,0,0,0
"58",7,0,8,0,5,3,9
"59",4,0,12,0,4,2,9
"60",7,0,9,0,0,0,0
"61",5,0,10,0,0,0,0
"62",0,0,0,0,0,0,0
"63",7,0,9,0,0,0,0
"64",7,1,5,0,8,1,9
"65",9,0,18,1,8,2,5
"66",6,0,11,0,0,0,0
"67",5,0,10,0,0,0,0
"68",9,0,16,0,0,0,0
"69",0,0,0,0,0,0,0
"70",7,0,10,0,1,0,0
"71",7,0,10,0,0,0,0
"72",4,0,9,0,0,0,0
"73",7,0,7,0,0,0,0
"74",9,0,12,0,0,0,0
"75",9,1,12,1,7,1,3
"76",10,0,7,0,0,0,0
"77",6,0,14,0,0,0,0
"78",10,0,11,0,0,0,0
"79",7,0,15,0,0,0,0
"80",5,0,12,0,0,0,0
"81",0,0,0,0,0,0,0
"82",10,0,9,1,2,1,6
"83",8,0,10,0,0,0,0
"84",0,0,0,0,0,0,0
"85",10,0,8,0,0,0,0
"86",0,0,0,0,0,0,0
"87",13,0,15,0,0,0,0
"88",9,0,14,0,0,0,0
"89",4,0,8,0,0,0,0
"90",10,0,5,0,0,0,0
"91",0,0,0,0,0,0,0
"92",0,0,0,0,0,0,0
"93",6,0,11,1,5,1,7
"94",0,0,0,0,0,0,0
"95",0,0,0,0,0,0,0
"96",9,0,14,0,0,0,0
"97",5,0,10,0,0,0,0
"98",9,0,3,0,0,0,0
"99",5,0,5,0,0,0,0
"100",6,2,5,0,1,0,0
"101",0,0,0,0,0,0,0
"102",10,0,10,0,0,0,0
"103",6,0,8,1,0,0,0
"104",7,0,10,0,0,0,0
"105",5,2,9,0,9,1,4
"106",9,0,8,0,0,0,0
"107",7,0,13,0,0,0,0
"108",7,0,6,0,0,0,0
"109",7,0,9,0,0,0,0
"110",0,0,0,0,0,0,0
"111",10,0,9,0,0,0,0
"112",3,0,19,0,0,0,0
"113",5,0,9,0,0,0,0
"114",7,0,12,0,0,0,0
"115",4,0,18,0,0,0,0
"116",8,0,8,0,8,1,7
"117",0,0,0,0,0,0,0
"118",0,0,0,0,0,0,0
"119",0,0,0,0,0,0,0
"120",9,0,9,0,0,0,0
"121",0,0,0,0,0,0,0
"122",5,0,15,0,1,0,0
"123",10,0,3,0,0,0,0
"124",6,0,7,0,0,0,0
"125",9,0,5,0,0,0,0
"126",0,0,0,0,0,0,0
"127",5,0,9,0,0,0,0
"128",0,0,1,0,0,0,0
"129",0,0,0,0,0,0,0
"130",3,0,10,0,0,0,0
"131",0,0,0,0,0,0,0
"132",4,1,13,0,2,0,5
"133",0,0,0,0,0,0,0
"134",4,0,8,0,0,0,0
"135",11,0,6,0,0,0,0
"136",7,0,12,0,0,0,0
"137",6,0,9,0,0,0,0
"138",12,0,10,0,0,0,0
"139",0,0,0,0,0,0,0
"140",4,0,12,0,0,0,0
"141",7,0,12,0,0,0,0
"142",0,0,0,0,0,0,0
"143",5,0,13,0,0,0,0
"144",0,0,0,0,0,0,0
"145",7,0,5,0,0,0,0
"146",0,0,0,0,0,0,0
"147",9,0,10,0,0,0,0
"148",6,0,15,0,0,0,0
"149",1,0,0,0,0,0,0
"150",8,2,6,1,13,2,6
"151",9,0,11,0,0,0,0
"152",4,0,11,0,0,0,0
"153",0,0,0,0,0,0,0
"154",6,0,11,0,0,0,0
"155",8,0,7,0,0,0,0
"156",3,0,8,1,6,2,12
"157",9,0,12,0,0,0,0
"158",0,0,0,0,0,0,0
"159",0,0,0,0,0,0,0
"160",6,0,14,0,0,0,0
"161",0,0,0,0,0,0,0
"162",7,0,12,0,0,0,0
"163",10,0,12,0,0,0,0
"164",12,0,14,0,4,3,7
"165",0,0,0,0,0,0,0
"166",0,0,0,0,0,0,0
"167",4,0,7,0,0,0,0
"168",8,0,10,0,0,0,0
"169",9,1,6,1,10,4,7
"170",6,0,11,0,0,0,0
"171",8,0,6,1,4,2,11
"172",10,0,7,0,0,0,0
"173",0,0,0,0,0,0,0
"174",0,0,0,0,0,0,0
"175",6,0,9,0,0,0,0
"176",9,0,6,0,0,0,0
"177",0,0,1,0,0,0,0
"178",9,0,10,0,0,0,0
"179",8,0,12,0,0,0,0
"180",4,0,8,1,2,2,4
"181",6,0,10,0,0,0,0
"182",7,0,13,0,0,0,0
"183",8,0,9,0,0,0,0
"184",13,0,7,0,0,0,0
"185",0,0,0,0,0,0,0
"186",10,0,8,0,1,0,0
"187",6,0,12,0,0,0,0
"188",0,0,0,0,0,0,0
"189",7,0,12,0,0,0,0
"190",8,0,14,0,0,0,0
"191",10,0,15,0,0,0,0
"192",6,0,11,0,0,0,0
"193",6,0,4,0,0,0,0
"194",11,0,8,0,0,0,0
"195",6,0,8,0,0,0,0
"196",9,0,9,0,0,0,0
"197",6,1,9,2,2,2,9
"198",0,0,0,0,0,0,0
"199",5,0,12,0,0,0,0
"200",7,0,9,1,8,1,11
"201",7,2,10,1,7,3,10
"202",3,0,10,0,0,0,0
"203",9,0,14,0,0,0,0
"204",7,0,14,0,0,0,0
"205",9,0,16,0,0,0,0
"206",7,0,7,0,0,0,0
