"","age1_orange.S","age1_green.S","age2_no_comorbid_orange.S","age2_no_comorbid_green.S","age2_comorbid_green.S","age3_no_comorbid_green.S","age3_comorbid_green.S"
"1",12,15,41,23,31,11,19
"2",7,16,27,23,31,11,19
"3",6,16,28,23,31,11,19
"4",10,16,40,23,31,11,19
"5",4,16,22,23,31,11,19
"6",6,16,37,23,31,11,19
"7",9,16,30,23,31,11,19
"8",188,16,211,23,31,11,19
"9",7,16,27,23,31,11,19
"10",12,2,26,7,7,5,9
"11",9,16,38,23,31,11,19
"12",7,16,26,23,31,11,19
"13",12,16,37,23,31,11,19
"14",5,16,33,23,31,11,19
"15",8,16,29,23,31,10,19
"16",7,16,19,23,31,11,19
"17",9,16,53,23,31,11,19
"18",9,16,26,23,31,11,19
"19",8,4,35,7,8,5,13
"20",13,16,35,23,31,11,19
"21",5,16,40,23,31,11,19
"22",186,16,210,23,31,11,19
"23",10,16,31,23,31,11,19
"24",9,16,29,23,31,11,19
"25",7,16,26,23,31,11,19
"26",188,16,211,23,31,11,19
"27",6,16,25,23,31,11,19
"28",188,16,210,23,31,11,19
"29",4,1,26,7,11,3,5
"30",7,16,20,23,31,11,19
"31",4,0,33,3,4,1,6
"32",188,16,211,23,31,11,19
"33",10,16,34,23,31,11,19
"34",6,16,27,23,31,11,19
"35",188,16,211,23,31,11,19
"36",188,16,211,23,31,11,19
"37",6,16,26,23,31,11,19
"38",7,16,34,23,31,11,19
"39",188,16,211,23,31,11,19
"40",188,16,211,23,31,11,19
"41",3,1,23,4,3,1,8
"42",8,2,40,5,12,5,7
"43",187,16,211,23,31,11,19
"44",16,16,43,23,31,11,19
"45",6,16,29,23,31,11,19
"46",2,16,22,23,31,11,19
"47",188,16,211,23,31,11,19
"48",5,16,21,23,31,11,19
"49",5,16,33,23,31,11,19
"50",11,16,42,23,31,11,19
"51",186,16,208,23,31,11,19
"52",10,16,28,23,31,11,19
"53",8,16,32,23,31,11,19
"54",17,16,27,23,31,11,19
"55",188,16,211,23,31,11,19
"56",4,16,27,23,30,11,19
"57",188,16,211,23,31,11,19
"58",188,16,211,23,31,11,19
"59",8,1,27,1,7,7,10
