"","age1_orange.E","age1_green.E","age2_no_comorbid_orange.E","age2_no_comorbid_green.E","age2_comorbid_green.E","age3_no_comorbid_green.E","age3_comorbid_green.E"
"1",24,0,27,0,0,0,0
"2",26,0,27,0,0,0,0
"3",25,0,30,0,0,0,0
"4",33,0,21,0,0,0,0
"5",25,0,31,0,0,0,0
"6",26,0,28,0,0,0,0
"7",31,0,22,0,0,0,0
"8",1,0,1,0,0,0,0
"9",35,0,36,0,0,0,0
"10",0,0,1,0,0,0,0
"11",0,0,1,0,0,0,0
"12",31,0,28,0,0,0,0
"13",33,0,27,0,0,0,0
"14",0,0,1,0,0,0,0
"15",27,0,26,0,0,0,0
"16",32,0,41,0,0,0,0
"17",29,0,23,0,0,0,0
"18",25,0,25,0,0,0,0
"19",28,0,26,0,0,0,1
"20",0,0,1,0,0,0,0
"21",32,2,36,4,4,2,4
"22",34,0,30,0,0,0,0
"23",37,0,25,0,0,0,0
"24",27,0,31,0,0,1,0
"25",0,0,1,0,0,0,0
"26",33,0,25,0,0,0,0
"27",0,0,1,0,0,0,0
"28",24,0,29,0,0,0,0
"29",29,0,30,0,0,0,0
"30",31,0,31,0,0,0,0
"31",34,0,31,0,0,0,0
"32",30,0,29,0,0,0,0
"33",28,0,34,1,0,0,0
"34",0,0,1,0,0,0,0
"35",33,0,26,0,0,0,0
"36",31,0,31,0,0,0,0
"37",34,0,27,0,0,0,0
"38",0,0,1,0,0,0,0
"39",31,0,25,0,0,0,0
"40",32,0,36,0,0,0,0
"41",36,4,26,2,4,3,2
"42",30,0,31,0,1,0,0
"43",33,0,37,0,0,0,0
"44",31,0,35,0,0,0,0
"45",28,0,30,0,0,0,0
"46",33,0,28,0,0,0,0
"47",0,0,1,0,0,0,0
"48",24,0,27,0,0,0,0
"49",33,0,22,0,0,0,0
"50",28,0,32,0,0,0,0
"51",35,3,35,4,4,2,4
"52",35,0,25,0,0,0,0
"53",0,0,1,0,0,0,0
"54",40,0,30,0,0,0,1
"55",29,0,25,0,0,0,0
"56",29,0,27,0,0,0,0
"57",23,0,31,0,0,0,0
"58",30,0,22,0,0,0,0
"59",29,2,25,2,3,2,2
"60",29,0,26,1,0,0,0
"61",31,0,30,0,0,0,0
"62",30,0,31,0,0,0,0
"63",33,0,28,0,0,0,0
"64",28,3,33,5,3,2,3
"65",31,0,27,0,0,0,0
"66",28,0,25,0,0,0,0
"67",33,0,27,0,0,0,0
"68",25,3,29,6,4,2,4
"69",29,3,26,2,3,1,3
"70",32,6,23,3,4,3,4
"71",0,0,1,0,0,0,0
"72",29,0,27,0,0,0,0
"73",29,5,27,6,5,1,4
"74",0,0,1,0,0,0,0
"75",31,0,30,0,1,0,1
"76",30,3,24,6,4,2,3
"77",0,0,1,0,0,0,0
"78",29,0,29,0,0,0,0
"79",32,0,25,0,0,0,0
"80",30,0,25,0,0,0,0
"81",25,0,22,0,0,0,0
"82",31,0,32,0,0,0,0
"83",34,0,32,0,0,0,0
"84",24,0,29,0,0,0,0
"85",0,0,1,0,0,0,0
"86",26,0,26,0,0,0,0
"87",25,0,29,0,0,0,0
"88",34,4,25,3,4,2,3
"89",31,0,21,0,0,0,0
"90",26,0,21,0,0,0,0
"91",0,0,1,0,0,0,0
"92",25,0,29,0,0,0,0
"93",31,0,26,0,0,0,0
"94",33,0,25,0,0,0,0
"95",37,0,28,0,0,0,0
"96",29,0,35,0,0,0,0
"97",32,0,23,0,0,0,0
"98",33,1,28,1,0,0,1
"99",24,0,31,0,0,0,0
"100",36,0,24,0,0,0,0
"101",31,0,23,0,0,0,0
"102",32,0,33,0,0,0,0
"103",25,0,28,0,0,0,0
"104",31,0,27,0,0,0,0
"105",29,0,31,0,0,0,0
"106",28,0,30,0,0,0,0
"107",0,0,1,0,0,0,0
"108",28,0,27,0,0,0,0
"109",29,3,26,4,6,2,3
"110",0,0,1,0,0,0,0
"111",27,0,27,0,0,0,0
"112",0,0,1,0,0,0,0
"113",0,0,1,0,0,0,0
"114",36,4,26,4,6,3,3
"115",29,0,22,0,0,0,0
"116",30,0,22,0,0,0,0
"117",36,0,30,0,0,0,0
"118",29,0,25,1,0,0,0
"119",1,0,1,0,0,0,0
"120",36,0,30,0,0,0,0
"121",28,0,26,0,0,0,0
"122",30,0,25,0,0,0,0
"123",35,4,24,4,6,2,3
"124",34,0,28,1,0,0,0
"125",0,0,1,0,0,0,0
"126",0,0,1,0,0,0,0
"127",25,0,32,0,0,0,1
"128",31,0,29,0,0,0,0
"129",24,0,25,0,0,0,0
"130",29,0,32,0,0,0,0
"131",30,0,24,0,0,0,0
"132",0,0,1,0,0,0,0
"133",0,0,1,0,0,0,0
"134",42,0,35,0,0,0,0
"135",34,0,29,0,1,0,0
"136",33,0,33,0,1,0,0
"137",31,0,24,0,0,0,0
"138",32,0,27,0,0,0,0
"139",35,2,30,4,3,2,3
"140",0,0,1,0,0,0,0
"141",28,1,27,0,1,0,0
"142",0,0,1,0,0,0,0
"143",32,0,28,0,0,0,0
"144",33,0,30,0,0,0,0
"145",34,0,24,0,0,0,0
"146",28,0,25,0,0,0,0
"147",0,0,1,0,0,0,0
"148",25,0,26,0,0,0,0
"149",28,0,25,0,0,0,0
"150",29,0,29,0,1,0,0
"151",0,0,1,0,0,0,0
"152",1,0,1,0,0,0,0
"153",27,0,31,0,0,0,0
"154",32,5,31,4,4,1,1
"155",35,0,27,0,0,0,0
"156",30,0,36,0,0,0,0
"157",30,0,26,1,0,1,0
"158",0,0,1,0,0,0,0
"159",0,0,1,0,0,0,0
"160",30,0,26,0,0,0,0
"161",31,0,27,0,0,0,0
"162",25,0,27,0,0,0,0
"163",33,6,35,3,7,1,5
"164",25,0,30,0,0,0,0
"165",29,0,34,1,0,0,0
"166",28,0,31,0,0,0,0
"167",34,0,31,0,0,0,0
"168",0,0,1,0,0,0,0
"169",0,0,1,0,0,0,0
"170",34,0,25,0,0,0,0
"171",30,0,41,0,0,0,0
"172",1,0,1,0,0,0,0
"173",37,0,26,0,0,0,0
"174",32,0,31,0,0,0,0
"175",34,0,34,0,0,0,0
"176",32,0,25,0,0,0,0
"177",24,1,22,0,0,0,0
"178",32,4,25,4,3,2,2
"179",27,0,25,0,0,0,0
"180",28,0,30,0,0,0,0
"181",33,0,29,0,0,0,0
"182",26,0,27,0,0,0,0
"183",32,0,30,0,0,0,0
"184",30,0,26,0,0,0,0
"185",26,0,28,0,0,0,0
"186",29,0,24,0,0,0,0
"187",24,0,22,0,0,0,0
"188",27,0,25,0,0,0,0
"189",36,0,26,0,0,0,0
"190",33,0,28,0,0,0,0
"191",28,0,33,0,0,0,0
"192",28,3,28,4,5,3,4
"193",32,0,30,0,0,0,0
"194",34,0,31,0,0,0,0
"195",29,0,27,0,0,0,0
"196",34,3,21,4,5,2,3
"197",29,0,33,0,0,0,0
"198",32,0,35,0,0,0,0
"199",30,0,42,0,0,0,0
"200",24,3,25,4,3,1,3
"201",28,3,35,7,4,3,2
"202",0,0,1,0,0,0,0
"203",29,0,23,0,0,0,0
"204",36,3,27,3,5,3,2
"205",36,0,31,0,0,0,0
"206",27,0,24,0,0,0,0
"207",0,0,1,0,0,0,0
"208",26,0,24,0,1,0,0
"209",0,0,1,0,0,0,0
"210",27,0,29,0,0,0,0
"211",29,0,22,0,0,0,0
"212",30,0,28,0,0,0,0
"213",0,0,1,0,0,0,0
"214",34,0,38,0,1,0,0
"215",32,1,32,0,0,0,0
"216",24,0,27,0,0,0,0
"217",39,0,31,0,0,0,0
"218",1,0,1,0,0,0,0
"219",29,0,25,0,0,0,0
"220",38,0,29,0,0,0,0
"221",27,6,23,4,4,1,3
"222",39,0,33,0,0,0,0
"223",38,0,38,0,0,0,0
"224",33,0,35,0,0,0,0
"225",32,0,27,0,0,0,0
"226",29,4,28,4,4,2,3
"227",36,0,27,0,0,0,0
"228",31,0,31,0,0,0,0
"229",31,0,27,0,0,0,0
"230",32,0,28,0,0,0,0
"231",29,0,23,0,0,0,0
"232",26,3,30,2,5,2,3
"233",1,0,1,0,0,0,0
"234",28,0,33,0,0,0,0
"235",25,0,29,0,0,0,0
"236",0,0,1,0,0,0,0
"237",0,0,1,0,0,0,0
"238",36,0,30,0,0,0,0
"239",38,0,30,0,0,0,0
"240",27,0,23,0,0,0,0
"241",30,0,30,0,0,0,0
"242",30,0,25,0,0,0,0
"243",27,0,29,0,0,0,0
"244",29,0,34,0,0,0,0
"245",30,0,20,0,0,0,0
"246",26,0,21,0,0,0,0
"247",36,0,28,0,0,0,0
"248",26,2,31,1,3,0,1
"249",35,0,26,0,0,0,0
"250",30,0,27,0,0,0,0
"251",35,0,29,0,0,0,0
"252",0,0,1,0,0,0,0
"253",0,0,1,0,0,0,0
"254",31,0,31,0,0,0,0
"255",33,0,31,1,0,0,0
"256",0,0,1,0,0,0,0
"257",29,0,35,0,0,0,0
"258",34,0,24,0,1,1,0
"259",30,0,25,0,0,0,0
"260",0,0,1,0,0,0,0
"261",35,0,28,0,0,0,0
"262",25,1,27,0,0,0,0
"263",27,0,26,0,0,0,0
"264",30,0,25,0,0,0,0
"265",29,0,29,0,0,0,0
"266",23,0,27,0,0,0,0
"267",20,0,30,0,0,0,0
"268",31,0,21,0,0,0,0
"269",27,1,31,1,2,0,1
"270",30,0,28,0,0,0,0
"271",24,0,29,0,0,0,0
"272",32,0,29,0,0,0,0
"273",32,0,24,0,0,0,0
"274",1,0,1,0,0,0,0
"275",32,0,30,0,0,0,0
"276",29,0,31,0,0,0,0
"277",31,0,29,0,0,0,0
"278",29,0,26,0,0,0,0
"279",28,0,27,0,0,0,0
"280",35,0,34,0,0,0,0
"281",31,4,21,4,7,2,5
"282",27,5,30,4,4,3,4
"283",35,0,30,0,0,0,0
"284",24,0,23,0,0,0,0
"285",31,0,31,0,0,0,0
"286",29,0,26,0,0,0,0
"287",35,0,27,0,0,0,0
"288",21,0,31,0,0,0,0
"289",27,0,26,0,0,0,0
"290",26,0,27,0,0,0,0
"291",38,0,30,0,0,0,0
"292",24,0,26,0,0,0,0
"293",33,0,29,0,0,0,0
"294",33,3,27,2,4,2,2
"295",42,0,27,0,0,0,0
"296",31,0,26,0,0,0,0
"297",35,0,32,0,0,0,0
"298",0,0,1,0,0,0,0
"299",29,3,25,3,4,2,2
"300",32,0,25,0,0,0,0
"301",39,0,34,0,0,0,0
"302",32,0,30,0,0,0,0
"303",30,0,27,0,0,0,0
"304",32,0,31,0,0,0,0
"305",0,0,1,0,0,0,0
"306",37,0,29,0,0,0,0
"307",31,0,29,0,0,0,0
"308",36,0,36,0,0,0,0
"309",24,0,26,0,0,0,0
"310",25,0,30,0,0,0,0
"311",0,0,1,0,0,0,0
"312",33,0,25,0,0,0,0
"313",30,0,32,0,0,0,0
"314",32,0,33,0,0,0,0
"315",35,0,30,0,0,0,0
"316",37,0,27,0,1,0,0
"317",28,0,20,0,0,0,0
"318",31,0,25,0,0,0,0
"319",0,0,1,0,0,0,0
"320",31,0,36,0,0,0,1
"321",30,1,27,0,0,0,0
"322",27,0,18,0,0,0,0
"323",26,3,20,3,5,2,2
"324",0,0,1,0,0,0,0
"325",35,0,29,0,0,0,0
"326",23,0,29,0,0,0,0
"327",36,0,31,0,0,0,0
"328",1,0,1,0,0,0,0
"329",27,0,26,0,0,0,0
"330",26,0,30,0,0,0,0
"331",0,0,1,0,0,0,0
"332",22,0,20,0,0,0,0
"333",0,0,1,0,0,0,0
"334",27,0,28,0,0,0,0
"335",35,0,23,0,0,0,1
"336",35,0,33,0,0,0,0
"337",33,0,30,0,1,0,0
"338",36,0,30,0,0,0,0
"339",28,0,31,0,0,0,0
"340",38,2,21,3,3,2,2
"341",0,0,1,0,0,0,0
"342",30,0,29,0,0,0,0
"343",30,0,31,0,0,0,0
"344",28,0,24,0,0,0,0
"345",23,0,23,0,0,0,0
"346",30,0,27,0,0,0,0
"347",25,0,32,0,0,0,0
"348",25,0,24,0,1,0,0
"349",29,0,27,0,0,0,0
"350",25,0,23,0,0,0,0
"351",31,0,26,0,0,0,0
"352",27,0,34,0,0,0,0
"353",30,0,22,0,0,0,0
"354",33,0,29,0,0,0,0
"355",41,0,30,0,0,0,0
"356",25,3,28,4,4,2,2
"357",0,0,1,0,0,0,0
"358",39,0,30,0,0,0,0
"359",33,0,38,0,0,0,0
"360",29,5,28,3,4,3,3
"361",0,0,1,0,0,0,0
"362",34,0,29,0,0,0,0
"363",0,0,1,0,0,0,0
"364",34,0,29,0,0,0,0
"365",29,0,26,1,1,0,0
"366",28,1,31,1,1,0,1
