"","age1_orange.S","age1_green.S","age2_no_comorbid_orange.S","age2_no_comorbid_green.S","age2_comorbid_green.S","age3_no_comorbid_green.S","age3_comorbid_green.S"
"1",5,16,18,23,31,11,19
"2",4,16,19,23,31,11,19
"3",4,16,19,23,31,11,19
"4",1,16,21,23,31,11,19
"5",6,16,24,23,31,11,19
"6",0,16,20,23,31,11,19
"7",2,16,14,23,31,11,19
"8",188,16,211,23,31,11,19
"9",188,16,211,23,31,11,19
"10",188,16,211,23,31,11,19
"11",6,16,15,23,31,11,19
"12",3,15,16,23,31,11,19
"13",1,16,15,23,31,11,19
"14",0,16,13,23,31,11,19
"15",4,16,16,23,31,11,19
"16",188,16,211,23,31,11,19
"17",3,16,18,23,31,11,19
"18",2,16,13,23,31,11,19
"19",3,16,17,23,31,11,19
"20",3,16,24,23,31,11,19
"21",0,0,17,2,7,2,5
"22",3,16,14,23,31,11,19
"23",2,0,9,3,5,4,5
"24",2,16,18,23,31,11,19
"25",0,16,10,23,31,11,19
"26",4,16,25,23,31,11,19
"27",5,16,16,23,31,11,19
"28",188,16,211,23,31,11,19
"29",0,16,14,23,31,9,19
"30",6,15,16,22,31,11,19
"31",188,16,211,23,31,11,19
"32",8,16,21,23,31,11,19
"33",188,16,211,23,31,11,19
"34",188,16,211,23,31,11,19
"35",0,16,21,23,31,11,19
"36",0,2,19,4,5,5,5
"37",188,16,211,23,31,11,19
"38",3,2,17,7,8,5,9
"39",188,16,211,23,31,11,19
"40",0,16,18,23,31,11,19
"41",1,0,29,1,3,2,2
"42",2,16,17,23,31,11,19
"43",3,16,11,23,31,11,19
"44",2,16,17,23,31,11,19
"45",188,16,211,23,31,11,19
"46",3,16,18,23,31,11,19
"47",2,16,13,23,31,11,19
"48",2,16,10,23,31,11,19
"49",188,16,211,23,31,11,19
"50",1,0,11,4,2,1,5
"51",188,16,211,23,31,11,19
"52",1,16,16,23,31,11,19
"53",5,16,10,23,31,11,19
"54",1,16,16,22,30,11,18
"55",3,16,16,23,31,11,19
"56",2,16,14,23,31,11,19
"57",7,13,21,23,31,10,19
"58",188,16,211,23,31,11,19
"59",3,16,16,23,31,11,19
"60",0,16,12,23,31,11,19
"61",3,1,9,2,5,2,4
"62",188,16,211,23,31,11,19
"63",2,2,16,10,10,5,7
"64",5,16,10,23,30,11,19
"65",2,16,14,23,31,11,19
"66",1,16,26,23,31,11,19
"67",3,16,16,23,31,11,19
"68",2,16,17,23,31,11,19
"69",1,16,17,23,31,11,19
"70",5,16,14,23,31,11,19
"71",1,16,17,23,29,11,19
"72",188,16,211,23,31,11,19
"73",2,16,13,23,31,11,19
"74",6,16,30,23,31,11,19
"75",188,16,210,23,31,11,19
"76",1,0,15,2,5,3,3
"77",8,16,24,23,31,11,19
"78",3,16,14,23,31,11,19
"79",7,16,16,23,31,11,19
"80",4,5,11,6,8,7,9
"81",3,16,17,23,31,11,19
"82",0,16,20,23,31,11,19
"83",3,16,17,23,31,11,19
"84",3,0,33,2,1,2,3
"85",8,16,16,23,31,11,19
"86",4,16,12,23,31,11,19
"87",187,16,211,23,31,11,19
"88",9,16,35,23,31,11,19
"89",4,16,13,22,31,11,19
"90",2,16,18,23,31,11,19
"91",7,16,15,23,31,11,19
"92",1,16,13,23,31,11,19
"93",3,16,18,23,31,11,19
"94",188,16,211,23,31,11,19
"95",4,16,29,23,31,11,19
"96",4,16,18,23,31,11,19
"97",4,16,21,23,31,11,19
"98",4,16,16,23,31,11,19
"99",3,16,14,23,31,11,19
"100",5,16,16,23,31,11,19
"101",2,16,17,23,31,11,19
"102",188,16,211,23,31,11,19
"103",7,16,17,23,31,11,19
"104",3,16,24,23,31,11,19
"105",187,16,211,23,31,11,19
"106",7,16,20,21,31,11,19
"107",188,16,211,23,31,11,19
"108",3,16,12,23,31,11,19
"109",5,16,15,23,31,11,19
"110",1,2,19,5,5,3,3
"111",5,0,16,8,7,3,7
"112",188,16,211,23,31,11,19
"113",187,16,211,23,31,11,19
"114",1,16,20,23,31,11,19
"115",3,0,16,2,1,2,4
"116",3,0,17,3,4,3,5
"117",2,16,14,23,31,11,19
"118",2,0,15,3,0,2,4
"119",5,0,20,2,3,3,6
"120",3,0,16,1,2,3,2
"121",6,1,19,0,5,3,3
"122",6,16,18,23,31,11,19
"123",6,16,13,23,31,11,19
"124",4,16,15,22,31,11,19
"125",3,16,20,23,31,11,19
"126",1,16,16,22,31,11,19
"127",0,15,13,23,31,11,19
"128",3,16,16,23,31,11,19
"129",1,0,20,1,2,3,5
"130",4,16,15,23,31,11,19
"131",2,16,9,23,31,11,19
"132",3,16,14,23,31,11,19
"133",4,0,17,8,8,3,7
"134",188,16,210,23,31,11,19
"135",1,16,16,23,31,11,19
"136",5,16,25,23,31,11,18
"137",2,16,13,23,31,11,19
"138",3,16,25,23,31,11,19
"139",3,16,22,23,31,11,19
"140",186,16,210,23,31,11,19
"141",4,0,15,2,2,3,3
"142",3,16,22,23,31,11,19
"143",188,16,211,23,31,11,19
"144",1,1,13,3,3,2,3
"145",1,1,15,4,4,4,5
"146",3,16,20,23,31,11,19
"147",3,0,19,5,3,3,5
"148",4,16,19,23,31,11,19
"149",1,16,12,23,31,11,19
"150",5,16,15,23,31,11,19
"151",188,16,211,23,31,11,19
"152",0,1,13,6,5,2,10
"153",4,16,19,23,29,11,18
"154",188,16,211,23,31,11,19
"155",4,16,29,23,31,11,19
"156",188,16,211,23,31,11,19
"157",186,16,211,23,31,11,19
"158",1,16,11,23,31,11,19
"159",5,16,17,23,31,11,18
"160",1,16,13,23,31,11,19
"161",188,16,211,23,31,11,19
"162",2,16,10,23,31,11,19
"163",3,16,16,23,31,11,19
