"","age1_orange.R","age1_green.R","age2_no_comorbid_orange.R","age2_no_comorbid_green.R","age2_comorbid_green.R","age3_no_comorbid_green.R","age3_comorbid_green.R"
"1",172,0,172,0,0,0,0
"2",174,0,172,0,0,0,0
"3",175,0,176,0,0,0,0
"4",179,0,177,0,0,0,0
"5",174,0,183,0,0,0,0
"6",177,0,169,0,0,0,0
"7",0,0,1,0,0,0,0
"8",0,0,1,0,0,0,0
"9",173,0,172,0,0,0,0
"10",159,0,166,0,0,0,0
"11",0,0,1,0,0,0,0
"12",174,0,171,0,0,0,0
"13",180,0,182,0,0,0,0
"14",175,0,168,0,0,0,0
"15",183,0,170,0,0,0,0
"16",173,14,173,19,13,7,5
"17",169,0,179,0,0,0,0
"18",169,1,180,0,0,0,0
"19",174,0,172,0,0,0,0
"20",171,10,183,12,14,4,2
"21",171,0,181,0,1,0,0
"22",178,11,168,14,17,4,4
"23",175,0,171,0,0,0,0
"24",169,0,174,0,0,0,0
"25",173,14,180,15,20,6,6
"26",175,0,179,0,0,0,0
"27",167,0,172,0,0,0,0
"28",0,0,1,0,0,0,0
"29",169,0,178,0,0,0,1
"30",173,13,179,21,18,4,2
"31",166,0,172,0,0,0,0
"32",174,2,187,1,0,0,0
"33",0,0,1,0,0,0,0
"34",169,0,170,0,0,0,0
"35",179,14,190,19,11,6,5
"36",169,0,178,0,0,0,0
"37",171,0,173,0,0,0,0
"38",172,15,177,19,21,8,5
"39",163,0,177,0,0,0,0
"40",178,13,183,12,18,5,5
"41",170,14,176,18,18,6,4
"42",0,0,2,0,0,0,0
"43",175,0,179,0,0,0,0
"44",0,0,1,0,0,0,0
"45",169,0,174,0,0,0,0
"46",171,0,173,0,0,0,0
"47",0,0,1,0,0,0,0
"48",172,0,179,0,0,0,0
"49",177,16,177,18,22,6,8
"50",172,0,176,0,0,0,0
"51",174,0,182,0,0,0,0
"52",165,1,171,1,3,0,0
"53",170,13,173,15,19,8,5
"54",178,0,175,0,0,0,0
"55",171,14,183,16,21,8,5
"56",172,0,167,0,0,0,0
"57",0,0,1,0,0,0,0
"58",175,0,175,0,0,0,0
"59",171,0,179,0,0,0,0
"60",171,1,176,0,1,0,0
"61",173,0,189,0,0,0,0
"62",174,0,179,0,0,0,0
"63",169,0,169,0,0,0,0
"64",0,0,1,0,0,0,0
"65",178,0,181,0,0,0,0
"66",173,12,177,6,13,5,2
"67",168,0,169,1,0,0,0
"68",180,0,182,0,0,0,0
"69",177,0,182,0,0,0,0
"70",179,0,168,0,0,0,0
"71",176,15,193,16,18,7,4
"72",173,0,181,0,0,0,0
"73",175,15,177,21,19,8,4
"74",172,0,179,0,0,0,0
"75",172,10,169,11,18,3,6
"76",173,0,178,0,0,0,0
"77",0,0,1,0,0,0,0
"78",173,0,176,0,0,0,0
"79",178,15,178,20,15,6,5
"80",169,0,179,0,0,0,0
"81",173,13,178,16,15,3,2
"82",171,0,180,0,0,0,0
"83",0,0,1,0,0,0,0
"84",177,14,182,18,19,6,7
"85",178,0,177,0,0,0,0
"86",168,0,165,0,0,0,0
"87",182,12,180,12,14,2,1
"88",1,0,1,0,0,0,0
"89",175,0,174,0,0,0,0
"90",0,0,1,0,0,0,0
"91",164,0,166,0,0,0,0
"92",176,0,179,0,0,0,0
"93",170,1,180,0,0,0,0
"94",0,0,1,0,0,0,0
"95",166,14,176,19,17,5,3
"96",171,0,183,0,0,0,0
"97",173,0,171,0,0,0,0
"98",172,0,181,0,0,0,0
"99",173,0,169,0,0,0,0
"100",0,0,1,0,0,0,0
"101",174,0,185,0,0,0,0
"102",0,0,1,0,0,0,0
"103",173,15,181,16,18,7,6
"104",177,0,178,0,0,0,0
"105",169,0,176,0,1,0,0
"106",173,14,172,19,16,6,3
"107",176,0,176,0,0,0,0
"108",177,13,180,16,17,4,2
"109",0,0,1,0,0,0,0
"110",0,0,1,0,0,0,0
"111",0,0,1,0,0,0,0
"112",172,0,175,0,0,0,0
"113",171,2,156,0,0,0,0
