"","age1_orange.S","age1_green.S","age2_no_comorbid_orange.S","age2_no_comorbid_green.S","age2_comorbid_green.S","age3_no_comorbid_green.S","age3_comorbid_green.S"
"1",11,16,30,23,31,11,19
"2",7,16,33,23,31,11,19
"3",7,16,26,23,31,11,19
"4",6,16,26,23,31,11,19
"5",5,16,20,23,31,11,19
"6",7,16,27,23,31,11,19
"7",188,16,211,23,31,11,19
"8",188,16,211,23,31,11,19
"9",7,16,27,23,31,11,19
"10",14,16,36,23,31,11,19
"11",188,16,211,23,31,11,19
"12",3,16,27,23,31,11,19
"13",3,16,17,23,31,11,19
"14",5,16,29,23,31,11,19
"15",4,16,25,23,31,11,19
"16",13,1,30,3,7,1,8
"17",11,16,20,23,31,11,19
"18",13,15,22,23,31,10,19
"19",4,16,30,23,31,11,19
"20",8,5,21,9,13,7,14
"21",9,16,25,23,30,11,19
"22",9,5,31,8,10,6,7
"23",6,16,25,23,31,11,19
"24",11,16,28,23,31,11,19
"25",8,1,20,7,5,5,4
"26",6,16,25,23,31,11,18
"27",14,16,29,23,31,11,19
"28",188,16,211,23,31,11,19
"29",10,16,24,23,31,11,17
"30",6,3,24,1,9,5,8
"31",11,16,31,23,31,11,19
"32",4,14,13,22,31,10,19
"33",188,16,211,23,31,11,19
"34",10,16,36,23,31,11,19
"35",4,1,12,3,4,3,4
"36",7,16,20,23,31,11,19
"37",9,16,28,23,31,11,19
"38",10,0,23,3,2,1,4
"39",10,16,24,23,31,11,19
"40",5,3,24,10,7,6,10
"41",10,2,25,3,7,4,10
"42",188,16,210,23,31,11,19
"43",8,16,18,23,31,11,19
"44",188,16,211,23,31,11,19
"45",11,16,27,23,31,11,19
"46",6,16,29,23,31,11,19
"47",188,16,211,23,31,11,19
"48",7,16,24,23,31,11,19
"49",6,0,26,3,3,2,3
"50",8,16,18,23,31,11,19
"51",7,16,22,23,31,11,19
"52",13,15,30,22,28,11,18
"53",9,3,27,4,6,2,6
"54",6,16,28,23,31,11,19
"55",9,1,16,7,6,2,7
"56",8,16,32,23,31,11,19
"57",188,16,211,23,31,11,19
"58",10,16,30,23,31,11,19
"59",12,16,24,23,31,11,19
"60",9,15,30,23,30,11,19
"61",9,16,16,23,31,11,19
"62",6,16,19,23,31,11,19
"63",8,16,34,23,31,11,19
"64",188,16,211,23,31,11,19
"65",4,16,19,23,31,11,19
"66",10,4,21,17,15,5,11
"67",14,16,35,22,31,11,19
"68",3,16,23,23,31,11,19
"69",5,16,21,23,31,11,19
"70",5,16,27,23,31,11,19
"71",9,1,10,5,6,4,7
"72",5,16,23,23,31,11,19
"73",7,0,28,1,2,3,6
"74",6,16,24,23,31,11,19
"75",5,4,27,12,8,5,6
"76",4,16,23,23,31,11,19
"77",188,16,211,23,31,11,19
"78",8,16,27,23,31,11,19
"79",5,0,22,2,9,5,8
"80",8,16,25,23,31,11,19
"81",8,3,23,5,12,7,6
"82",9,16,23,23,31,11,19
"83",188,16,211,23,31,11,19
"84",8,2,17,3,6,4,5
"85",5,16,22,23,31,11,19
"86",14,16,37,23,31,11,19
"87",3,4,23,11,14,8,12
"88",187,16,211,23,31,11,19
"89",7,16,28,23,31,11,19
"90",188,16,211,23,31,11,19
"91",17,16,35,23,31,11,19
"92",5,16,19,23,31,11,19
"93",8,15,21,23,31,11,19
"94",188,16,211,23,31,11,19
"95",13,2,24,3,6,5,10
"96",13,16,21,23,31,11,19
"97",8,16,23,23,31,11,19
"98",7,16,25,23,31,11,19
"99",9,16,30,23,31,11,19
"100",188,16,211,23,31,11,19
"101",7,16,17,23,31,11,19
"102",188,16,211,23,31,11,19
"103",6,0,20,7,9,2,6
"104",4,16,26,23,31,11,19
"105",14,16,30,23,30,11,19
"106",10,2,29,2,8,4,7
"107",10,16,27,23,31,11,19
"108",7,3,20,6,7,4,8
"109",188,16,211,23,31,11,19
"110",188,16,211,23,31,11,19
"111",188,16,211,23,31,11,19
"112",7,16,28,23,31,11,19
"113",10,14,41,23,31,11,18
"114",188,16,211,23,31,11,19
"115",6,2,19,5,11,4,11
"116",13,16,29,23,31,11,19
"117",3,16,16,23,31,11,19
"118",5,2,28,2,5,2,2
"119",188,16,211,23,31,11,19
"120",188,16,211,23,31,11,19
"121",183,16,207,23,31,11,19
"122",188,16,211,23,31,11,19
"123",188,16,211,23,31,11,19
"124",6,16,27,23,31,11,19
"125",188,16,211,23,31,11,19
"126",9,16,33,23,31,11,19
"127",188,16,211,23,31,11,19
"128",5,14,18,22,29,11,17
"129",188,16,211,23,31,11,19
"130",9,16,31,23,31,11,19
"131",188,16,211,23,31,11,19
"132",6,4,19,7,8,6,6
"133",12,16,29,23,31,11,19
"134",4,15,19,23,29,10,17
"135",8,16,31,23,31,11,19
"136",188,16,211,23,31,11,19
"137",4,16,20,23,31,11,19
"138",8,1,30,3,6,6,5
"139",9,16,35,23,31,11,19
"140",8,16,25,22,30,11,19
"141",1,16,18,23,31,11,19
"142",4,16,16,23,31,11,19
"143",187,16,211,23,31,11,19
"144",5,16,21,22,30,11,19
"145",5,16,24,23,31,11,19
"146",12,10,19,17,23,9,14
"147",6,16,20,23,31,11,19
"148",4,3,17,6,8,4,10
"149",1,16,22,23,31,11,19
"150",188,16,211,23,31,11,19
"151",188,16,211,23,31,11,19
"152",188,16,211,23,31,11,19
"153",7,16,20,23,31,11,19
"154",4,16,33,23,31,11,19
"155",8,16,23,23,31,11,19
"156",8,2,22,6,7,7,9
"157",4,16,17,23,31,11,19
"158",3,16,24,23,31,11,19
"159",2,16,23,23,31,11,19
"160",10,16,21,23,31,11,19
"161",11,16,25,23,31,11,19
"162",188,16,211,23,31,11,19
"163",4,16,19,23,31,11,19
"164",4,16,17,23,31,11,19
"165",8,16,21,23,30,11,19
"166",2,16,26,23,31,11,19
"167",188,16,211,23,31,11,19
"168",10,16,18,23,31,11,19
"169",10,4,35,7,11,6,9
"170",11,16,24,23,31,11,19
"171",188,16,211,23,31,11,19
"172",11,16,21,23,31,11,19
"173",9,16,19,23,31,11,19
"174",3,2,20,5,9,6,3
"175",11,16,32,23,31,11,19
"176",187,16,211,23,31,11,19
"177",3,16,11,23,31,11,19
"178",2,2,9,3,8,5,11
"179",4,0,21,9,8,2,8
"180",3,16,15,23,31,11,18
"181",7,16,17,23,31,11,19
"182",188,16,210,23,31,11,19
"183",2,16,34,23,31,11,19
"184",10,16,36,23,31,11,19
"185",14,16,25,23,31,11,19
"186",5,16,27,23,31,11,19
"187",188,16,211,23,31,11,19
"188",5,15,23,23,30,11,19
"189",5,16,25,23,31,11,19
"190",4,15,24,23,28,11,18
"191",6,1,14,4,8,4,4
"192",13,0,31,4,11,3,8
"193",5,16,20,23,31,11,19
"194",10,3,23,4,7,5,7
"195",8,3,13,2,7,3,5
"196",9,16,28,23,31,11,19
"197",7,16,27,23,30,11,19
"198",8,16,29,23,31,11,19
"199",3,0,18,12,12,3,12
"200",12,0,19,4,2,3,7
"201",7,16,29,23,31,11,19
"202",8,2,22,5,5,6,7
"203",188,16,211,23,31,11,19
"204",3,2,24,5,8,2,5
"205",2,16,18,23,31,11,19
"206",9,16,22,23,31,11,19
"207",188,16,211,23,31,11,19
"208",9,16,37,23,31,11,19
"209",3,16,31,23,31,11,19
"210",11,16,18,23,30,11,19
"211",10,16,14,23,31,11,18
"212",10,16,27,23,31,11,19
"213",188,16,211,23,31,11,19
"214",5,16,33,23,31,11,19
"215",10,3,26,8,6,2,8
"216",12,16,21,23,31,11,19
"217",4,0,21,2,4,2,7
"218",7,16,32,23,31,11,19
"219",9,16,28,23,31,11,19
"220",8,16,23,23,31,11,19
"221",188,16,211,23,31,11,19
"222",3,16,21,23,31,11,19
"223",9,16,34,23,31,11,19
"224",188,16,211,23,31,11,19
"225",4,1,16,2,3,3,6
"226",188,16,210,23,31,11,19
"227",4,14,23,23,30,10,19
"228",2,2,18,12,13,4,11
"229",6,16,29,23,31,11,19
"230",8,2,25,3,3,6,10
"231",8,16,34,23,31,11,19
"232",8,16,24,23,31,11,19
"233",5,2,17,0,5,4,7
"234",188,16,211,23,31,11,19
"235",188,16,210,23,31,11,19
"236",6,16,28,22,31,11,19
"237",11,16,21,23,31,11,19
"238",5,16,25,23,31,11,19
"239",188,16,211,23,31,11,19
"240",6,16,19,23,31,11,19
"241",7,6,29,16,20,8,18
"242",185,16,208,23,31,11,19
"243",11,0,20,7,4,5,4
"244",4,16,21,23,31,11,19
"245",7,16,25,23,31,11,19
"246",188,16,211,23,31,11,19
"247",4,16,18,23,31,11,19
"248",6,16,24,23,31,11,19
"249",7,16,31,23,31,11,18
"250",188,16,211,23,31,11,19
"251",5,15,16,23,29,11,18
"252",6,16,19,23,31,11,19
"253",8,1,15,2,3,5,1
"254",7,2,14,1,5,5,3
"255",188,16,211,23,31,11,19
"256",10,16,28,23,31,11,19
"257",5,3,10,11,9,6,6
"258",12,16,27,23,31,11,19
"259",8,3,25,13,7,5,10
"260",9,0,30,3,7,3,10
"261",6,16,25,23,31,11,19
