"","age1_orange.A","age1_green.A","age2_no_comorbid_orange.A","age2_no_comorbid_green.A","age2_comorbid_green.A","age3_no_comorbid_green.A","age3_comorbid_green.A"
"1",8,0,8,0,0,0,0
"2",11,0,10,0,0,0,0
"3",0,0,1,0,0,0,0
"4",0,0,0,0,0,0,0
"5",8,0,12,0,0,0,0
"6",10,0,10,0,0,0,0
"7",14,0,10,0,0,0,0
"8",0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0
"10",15,0,9,0,0,0,0
"11",1,0,0,0,0,0,0
"12",15,0,6,0,0,0,0
"13",10,0,7,0,0,0,0
"14",7,0,11,0,0,0,0
"15",10,0,11,0,0,0,0
"16",12,1,13,1,3,1,1
"17",10,0,9,0,0,0,0
"18",14,1,11,2,1,1,1
"19",0,0,0,0,0,0,0
"20",10,0,8,2,1,0,1
"21",8,0,10,0,0,0,0
"22",8,0,11,0,2,0,1
"23",0,0,0,0,0,0,0
"24",0,0,0,0,0,0,0
"25",11,0,9,0,0,0,0
"26",9,0,9,0,0,0,0
"27",0,0,0,0,0,0,0
"28",14,0,10,0,0,0,0
"29",11,0,12,0,0,0,0
"30",12,0,5,0,0,0,0
"31",15,0,11,0,0,0,0
"32",13,0,10,1,5,1,1
"33",10,0,14,0,0,0,0
"34",11,0,7,0,0,0,0
"35",0,0,1,0,0,0,0
"36",9,0,13,0,0,0,0
"37",0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0
"39",8,0,10,0,0,0,0
"40",18,0,7,0,0,0,0
"41",12,1,12,1,2,0,1
"42",9,0,7,0,0,0,0
"43",14,1,7,1,3,0,2
"44",14,2,14,1,1,0,0
"45",17,1,13,1,2,0,3
"46",8,0,8,0,0,0,0
"47",11,1,13,1,2,1,1
"48",10,0,8,0,0,0,0
"49",14,0,9,0,0,0,0
"50",7,0,10,0,0,0,0
"51",0,0,0,0,0,0,0
"52",9,0,5,0,0,0,0
"53",0,0,1,0,0,0,0
"54",8,0,8,1,2,1,0
"55",12,0,11,0,0,0,0
"56",0,0,0,0,0,0,0
"57",0,0,0,0,0,0,0
"58",10,0,4,0,0,0,0
"59",11,0,12,0,0,0,0
"60",0,0,0,0,0,0,0
"61",0,0,0,0,0,0,0
"62",11,0,8,0,0,0,0
"63",0,0,0,0,0,0,0
"64",0,0,0,0,0,0,0
"65",0,0,0,0,0,0,0
"66",7,0,13,0,0,0,0
"67",13,0,17,0,0,0,0
"68",10,0,7,0,0,0,0
"69",0,0,0,0,0,0,0
"70",9,0,10,0,0,0,0
"71",15,0,12,0,0,0,0
"72",0,0,0,0,0,0,0
"73",0,0,0,0,0,0,0
"74",0,0,0,0,0,0,0
"75",0,0,0,0,0,0,0
"76",9,1,12,1,1,0,0
"77",9,0,9,0,0,0,0
"78",0,0,0,0,0,0,0
"79",0,0,0,0,0,0,0
"80",17,2,7,3,2,1,1
"81",10,0,11,0,0,0,0
"82",12,0,8,0,0,0,0
"83",12,1,12,1,2,2,0
"84",9,0,13,0,0,0,0
"85",0,0,0,0,0,0,0
"86",7,0,10,0,0,0,0
"87",14,1,9,2,2,1,1
"88",8,2,10,1,2,2,2
"89",0,0,1,0,0,0,0
"90",0,0,0,0,0,0,0
"91",0,0,0,0,0,0,0
"92",13,0,9,0,0,0,0
"93",13,0,9,0,0,0,0
"94",16,0,10,0,0,0,0
"95",17,1,11,2,3,1,1
"96",11,0,8,0,0,0,0
"97",14,1,10,2,2,0,1
"98",8,0,11,0,0,0,0
"99",0,0,0,0,0,0,0
"100",8,2,11,3,4,1,1
"101",0,0,0,0,0,0,0
"102",0,0,0,0,0,0,0
"103",0,0,1,0,0,0,0
"104",12,3,9,3,2,1,2
"105",11,1,7,3,5,1,1
"106",7,1,11,2,2,2,0
"107",9,0,9,0,0,0,0
"108",0,0,0,0,0,0,0
"109",0,0,0,0,0,0,0
"110",0,0,0,0,0,0,0
"111",9,0,8,0,0,0,0
"112",0,0,0,0,0,0,0
"113",10,0,13,0,0,0,0
"114",13,1,15,1,1,0,1
"115",0,0,0,0,0,0,0
"116",11,0,15,0,0,0,0
"117",0,0,0,0,0,0,0
"118",12,1,10,1,2,0,2
"119",9,2,5,3,1,0,1
"120",0,0,0,0,0,0,0
"121",0,0,1,0,0,0,0
"122",0,0,1,0,0,0,0
"123",13,0,13,0,0,0,0
"124",8,2,6,1,3,3,1
"125",11,0,12,0,0,0,0
"126",0,0,0,0,0,0,0
"127",0,0,0,0,0,0,0
"128",7,0,7,0,0,0,0
"129",9,0,5,0,0,0,0
"130",0,0,0,0,0,0,0
"131",12,0,11,0,0,0,0
"132",0,0,0,0,0,0,0
"133",11,0,10,0,0,0,0
"134",0,0,0,0,0,0,0
"135",11,0,9,0,0,0,0
"136",6,1,14,2,2,1,2
"137",8,0,12,0,0,0,1
"138",11,0,12,0,0,0,1
"139",0,0,0,0,0,0,0
"140",11,0,6,0,0,0,0
"141",0,0,0,0,0,0,0
"142",6,0,10,0,0,0,0
"143",8,0,9,0,0,0,0
"144",21,0,11,0,0,0,0
"145",14,0,9,0,0,0,0
"146",9,0,9,0,0,0,0
"147",11,1,10,1,1,1,1
"148",0,0,0,0,0,0,0
"149",13,0,10,1,1,0,2
"150",10,0,10,0,0,0,0
"151",15,0,8,0,0,0,0
"152",0,0,0,0,0,0,0
"153",7,2,7,2,1,1,1
"154",11,2,13,3,2,0,0
"155",0,0,0,0,0,0,0
"156",14,0,11,0,0,0,0
"157",11,0,10,0,0,0,0
"158",17,0,11,0,0,0,0
"159",7,0,8,0,0,0,0
"160",14,0,9,0,0,1,1
"161",0,0,0,0,0,0,0
"162",9,1,10,0,0,0,0
"163",15,0,12,0,0,0,0
"164",14,0,15,0,0,0,0
"165",0,0,0,0,0,0,0
"166",6,0,10,0,0,0,0
"167",14,2,13,4,1,1,1
"168",0,0,0,0,0,0,0
"169",10,1,10,0,3,0,1
"170",0,0,0,0,0,0,0
"171",8,2,10,2,2,1,1
"172",10,1,7,1,1,2,2
"173",11,0,11,0,0,0,0
"174",9,0,14,2,2,0,3
"175",13,0,10,0,0,0,0
"176",8,0,7,0,0,0,0
"177",8,0,14,0,0,0,0
"178",11,0,13,0,2,1,0
"179",13,0,7,0,0,0,0
"180",0,0,0,0,0,0,0
"181",0,0,0,0,0,0,0
"182",7,0,8,0,0,0,0
"183",0,0,0,0,0,0,0
"184",14,0,9,0,0,0,0
"185",0,0,0,0,0,0,0
"186",0,0,0,0,0,0,0
"187",0,0,0,0,0,0,0
"188",10,2,8,1,2,0,2
"189",11,0,13,1,0,0,0
"190",9,0,10,0,0,0,0
"191",7,2,9,1,2,2,1
"192",12,0,11,0,0,0,0
"193",9,0,10,0,0,0,0
"194",0,0,0,0,0,0,0
"195",8,0,9,0,0,0,0
"196",0,0,0,0,0,0,0
"197",9,0,12,0,0,0,0
"198",0,0,0,0,0,0,0
"199",0,0,0,0,0,0,0
"200",10,0,11,0,0,0,0
"201",12,0,7,0,0,0,0
"202",10,0,11,0,0,0,0
"203",0,0,0,0,0,0,0
"204",9,0,9,0,0,0,0
"205",0,0,0,0,0,0,0
"206",8,1,11,2,2,1,1
"207",0,0,0,0,0,0,0
"208",12,0,10,0,0,0,0
"209",12,1,9,2,2,1,2
"210",0,0,0,0,0,0,0
"211",0,0,0,0,0,0,0
"212",9,2,16,2,2,1,3
"213",12,3,9,1,1,1,1
"214",0,0,0,0,0,0,0
"215",14,0,6,0,1,0,0
"216",15,1,10,3,2,1,1
"217",0,0,0,0,0,0,0
"218",14,0,11,0,0,0,0
"219",0,0,0,0,0,0,0
"220",9,0,11,0,0,0,0
"221",8,1,12,1,1,1,1
"222",12,0,6,0,0,0,0
"223",13,2,9,2,1,0,1
"224",10,1,10,1,2,1,1
"225",12,1,10,2,2,1,1
"226",12,0,10,0,0,0,0
"227",8,2,8,1,2,1,2
"228",8,0,8,0,0,0,0
"229",7,0,9,0,0,0,0
"230",9,0,8,0,0,0,0
"231",11,0,10,0,0,0,0
"232",13,0,12,0,0,0,0
"233",7,1,12,1,2,0,1
"234",8,2,6,1,1,1,1
"235",0,0,0,0,0,0,0
"236",10,0,7,0,0,0,0
"237",12,0,12,0,0,0,0
"238",11,0,10,0,0,0,0
"239",12,2,12,1,3,0,0
"240",16,1,10,0,3,0,2
"241",11,0,7,0,0,0,0
"242",8,0,12,0,0,0,0
"243",14,0,13,0,1,0,0
"244",11,1,8,1,1,1,2
"245",9,0,12,0,0,0,0
"246",13,0,10,0,0,0,0
"247",15,0,13,0,0,0,0
"248",10,0,11,0,1,0,0
"249",10,2,16,1,1,0,0
"250",13,0,14,0,0,0,0
"251",16,0,12,1,2,1,0
"252",9,0,11,0,0,0,0
"253",16,0,10,0,0,0,0
"254",14,0,14,0,0,0,0
"255",11,2,15,1,1,0,1
"256",9,0,11,0,0,0,0
"257",9,0,9,0,0,0,0
"258",6,1,14,1,3,1,1
"259",0,0,1,0,0,0,0
"260",15,0,8,0,0,0,0
"261",12,0,9,0,0,0,0
"262",11,3,13,1,2,1,1
"263",14,0,15,0,0,0,0
"264",13,0,11,0,0,0,0
"265",9,0,10,0,0,0,0
"266",11,0,7,0,0,0,0
"267",15,0,9,0,0,0,0
"268",9,0,7,0,0,0,0
"269",0,0,0,0,0,0,0
"270",9,0,8,0,0,0,0
"271",1,0,1,0,0,0,0
"272",14,0,7,0,0,0,0
"273",11,0,9,0,0,0,0
"274",8,0,5,0,0,0,0
"275",10,0,11,0,0,0,0
"276",0,0,0,0,0,0,0
"277",8,0,9,0,0,0,0
"278",6,0,14,1,1,0,0
"279",10,0,10,0,0,0,0
"280",7,0,7,0,0,0,0
"281",11,0,14,0,0,0,0
"282",0,0,0,0,0,0,0
"283",13,0,8,0,0,0,0
"284",13,0,8,0,0,0,0
"285",9,0,10,0,0,0,0
"286",10,0,8,0,0,0,0
"287",11,0,14,0,0,0,0
"288",10,0,9,0,0,0,0
"289",8,1,6,2,2,1,1
"290",11,0,7,0,0,0,0
"291",13,0,13,0,0,0,0
"292",10,0,8,0,0,0,0
"293",0,0,0,0,0,0,0
"294",9,1,7,2,0,1,1
"295",13,0,14,0,0,0,0
