"","age1_orange.E","age1_green.E","age2_no_comorbid_orange.E","age2_no_comorbid_green.E","age2_comorbid_green.E","age3_no_comorbid_green.E","age3_comorbid_green.E"
"1",0,0,1,0,0,0,0
"2",0,0,1,0,0,0,0
"3",1,0,1,0,0,0,0
"4",4,0,2,0,0,0,0
"5",0,0,1,0,0,0,0
"6",0,0,1,0,0,0,0
"7",1,0,1,0,0,0,0
"8",0,0,1,0,0,0,0
"9",4,0,5,0,0,0,0
"10",0,0,1,0,0,0,0
"11",3,0,4,0,0,0,0
"12",1,0,1,0,0,0,0
"13",0,0,1,0,0,0,0
"14",1,0,1,0,0,0,0
"15",0,0,1,0,0,0,0
"16",0,0,1,0,0,0,0
"17",8,0,6,0,0,0,0
"18",4,0,2,0,0,0,0
"19",3,0,4,0,0,0,0
"20",0,0,1,0,0,0,0
"21",4,0,3,0,0,0,0
"22",0,0,1,0,0,0,0
"23",0,0,1,0,0,0,0
"24",1,0,1,0,0,0,0
"25",0,0,1,0,0,0,0
"26",0,0,1,0,0,0,0
"27",6,0,6,0,0,0,0
"28",0,0,1,0,0,0,0
"29",2,0,1,0,0,0,0
"30",6,0,4,0,0,0,0
"31",0,0,1,0,0,0,0
"32",0,0,1,0,0,0,0
"33",0,0,1,0,0,0,0
"34",4,0,3,0,0,0,0
"35",3,0,1,0,0,0,0
"36",1,0,1,0,0,0,0
"37",3,0,3,0,0,0,0
"38",2,0,1,0,0,0,0
"39",0,0,1,0,0,0,0
"40",1,0,1,0,0,0,0
"41",0,0,1,0,0,0,0
"42",0,0,1,0,0,0,0
"43",2,0,1,0,0,0,0
"44",3,0,1,0,0,0,0
"45",0,0,1,0,0,0,0
"46",0,0,1,0,0,0,0
"47",12,0,8,0,0,0,0
"48",6,0,1,0,0,0,0
"49",0,0,1,0,0,0,0
"50",0,0,1,0,0,0,0
"51",0,0,1,0,0,0,0
"52",2,0,1,0,0,0,0
"53",1,0,1,0,0,0,0
"54",0,0,1,0,0,0,0
"55",0,0,1,0,0,0,0
"56",1,0,1,0,0,0,0
"57",0,0,1,0,0,0,0
"58",2,0,2,0,0,0,0
"59",0,0,1,0,0,0,0
"60",4,0,4,0,0,0,0
"61",0,0,1,0,0,0,0
"62",0,0,1,0,0,0,0
"63",0,0,1,0,0,0,0
"64",0,0,1,0,0,0,0
"65",1,0,1,0,0,0,0
"66",0,0,1,0,0,0,0
"67",1,0,1,0,0,0,0
"68",5,0,5,0,0,0,0
"69",0,0,1,0,0,0,0
"70",0,0,1,0,0,0,0
"71",0,0,1,0,0,0,0
"72",6,0,5,0,0,0,0
"73",0,0,1,0,0,0,0
"74",3,0,2,0,0,0,0
"75",0,0,1,0,0,0,0
"76",1,0,1,0,0,0,0
"77",0,0,1,0,0,0,0
"78",0,0,1,0,0,0,0
"79",2,0,1,0,0,0,0
"80",1,0,1,0,0,0,0
"81",1,0,1,0,0,0,0
"82",0,0,1,0,0,0,0
"83",0,0,1,0,0,0,0
"84",0,0,1,0,0,0,0
"85",2,0,2,0,0,0,0
"86",1,0,1,0,0,0,0
"87",1,0,1,0,0,0,0
"88",1,0,1,0,0,0,0
"89",0,0,1,0,0,0,0
"90",0,0,1,0,0,0,0
"91",0,0,1,0,0,0,0
"92",4,0,5,0,0,0,0
"93",0,0,1,0,0,0,0
"94",7,0,6,0,0,0,0
"95",0,0,1,0,0,0,0
"96",0,0,1,0,0,0,0
"97",1,0,1,0,0,0,0
"98",1,0,1,0,0,0,0
"99",0,0,1,0,0,0,0
"100",3,0,1,0,0,0,0
"101",0,0,1,0,0,0,0
"102",0,0,1,0,0,0,0
"103",0,0,1,0,0,0,0
"104",5,0,3,0,0,0,0
"105",0,0,1,0,0,0,0
"106",1,0,2,0,0,0,0
"107",0,0,1,0,0,0,0
"108",0,0,1,0,0,0,0
"109",0,0,1,0,0,0,0
"110",0,0,1,0,0,0,0
"111",5,0,3,0,0,0,0
"112",5,0,6,0,0,0,0
"113",4,0,3,0,0,0,0
"114",5,0,5,0,0,0,0
"115",0,0,1,0,0,0,0
"116",2,0,1,0,0,0,0
"117",0,0,1,0,0,0,0
"118",0,0,2,0,0,0,0
"119",0,0,1,0,0,0,0
"120",5,0,7,0,0,0,0
"121",0,0,1,0,0,0,0
"122",1,0,1,0,0,0,0
"123",0,0,1,0,0,0,0
"124",0,0,1,0,0,0,0
"125",3,0,5,0,0,0,0
"126",0,0,1,0,0,0,0
"127",1,0,1,0,0,0,0
"128",0,0,1,0,0,0,0
"129",6,0,4,0,0,0,0
"130",1,0,1,0,0,0,0
"131",1,0,1,0,0,0,0
"132",2,0,2,0,0,0,0
"133",2,0,1,0,0,0,0
"134",4,0,5,0,0,0,0
"135",1,0,1,0,0,0,0
"136",1,0,2,0,0,0,0
"137",0,0,1,0,0,0,0
"138",0,0,1,0,0,0,0
"139",1,0,1,0,0,0,0
"140",0,0,1,0,0,0,0
"141",2,0,2,0,0,0,0
"142",9,0,8,0,0,0,0
"143",1,0,1,0,0,0,0
"144",1,0,4,0,0,0,0
"145",3,0,1,0,0,0,0
"146",3,0,1,0,0,0,0
"147",0,0,1,0,0,0,0
"148",0,0,1,0,0,0,0
"149",0,0,1,0,0,0,0
"150",3,0,2,0,0,0,0
"151",0,0,1,0,0,0,0
"152",1,0,1,0,0,0,0
"153",0,0,1,0,0,0,0
"154",0,0,1,0,0,0,0
"155",0,0,1,0,0,0,0
"156",3,1,3,0,0,0,0
"157",0,0,1,0,0,0,0
"158",2,0,3,0,0,0,0
"159",0,0,1,0,0,0,0
"160",0,0,1,0,0,0,0
"161",0,0,1,0,0,0,0
"162",1,0,1,0,0,0,0
"163",1,0,1,0,0,0,0
"164",0,0,1,0,0,0,0
"165",0,0,1,0,0,0,0
"166",0,0,1,0,0,0,0
"167",0,0,1,0,0,0,0
"168",0,0,1,0,0,0,0
"169",0,0,1,0,0,0,0
"170",5,0,5,0,0,0,0
"171",0,0,1,0,0,0,0
"172",0,0,1,0,0,0,0
"173",3,0,1,0,0,0,0
"174",0,0,1,0,0,0,0
"175",0,0,1,0,0,0,0
"176",5,0,4,0,0,0,0
"177",1,0,2,0,0,0,0
"178",0,0,1,0,0,0,0
"179",0,0,1,0,0,0,0
"180",1,0,1,0,0,0,0
"181",2,0,2,0,0,0,0
"182",0,0,1,0,0,0,0
"183",4,0,4,0,0,0,0
"184",0,0,1,0,0,0,0
"185",0,0,1,0,0,0,0
"186",3,0,1,0,0,0,0
"187",0,0,1,0,0,0,0
"188",1,0,1,0,0,0,0
"189",3,0,3,0,0,0,0
"190",0,0,1,0,0,0,0
"191",0,0,1,0,0,0,0
"192",0,0,1,0,0,0,0
"193",2,0,1,0,0,0,0
"194",0,0,1,0,0,0,0
"195",0,0,1,0,0,0,0
"196",0,0,1,0,0,0,0
"197",1,0,1,0,0,0,0
"198",1,0,1,0,0,0,0
"199",0,0,1,0,0,0,0
"200",2,0,1,0,0,0,0
"201",0,0,1,0,0,0,0
"202",5,0,3,0,0,0,0
"203",0,0,1,0,0,0,0
"204",0,0,1,0,0,0,0
"205",0,0,1,0,0,0,0
"206",0,0,1,0,0,0,0
"207",0,0,1,0,0,0,0
"208",2,0,2,0,0,0,0
"209",3,0,1,0,0,0,0
"210",0,0,1,0,0,0,0
"211",2,0,2,0,0,0,0
"212",2,0,1,0,0,0,0
"213",0,0,1,0,0,0,0
"214",1,0,3,0,0,0,0
"215",0,0,1,0,0,0,0
"216",0,0,1,0,0,0,0
"217",0,0,1,0,0,0,0
"218",4,0,3,0,0,0,0
"219",0,0,1,0,0,0,0
"220",2,0,1,0,0,0,0
"221",2,0,1,0,0,0,0
"222",1,0,1,0,0,0,0
"223",1,0,1,0,0,0,0
"224",1,0,1,0,0,0,0
"225",7,0,7,0,0,0,0
"226",1,0,1,0,0,0,0
"227",1,0,1,0,0,0,0
"228",2,0,1,0,0,0,0
"229",1,0,1,0,0,0,0
"230",1,0,1,0,0,0,0
"231",0,0,1,0,0,0,0
"232",0,0,1,0,0,0,0
"233",2,0,1,0,0,0,0
"234",0,0,1,0,0,0,0
"235",0,0,1,0,0,0,0
"236",2,0,2,0,0,0,0
"237",0,0,1,0,0,0,0
"238",0,0,1,0,0,0,0
"239",0,0,1,0,0,0,0
"240",0,0,1,0,0,0,0
"241",6,0,4,0,0,0,0
"242",0,0,1,0,0,0,0
"243",0,0,1,0,0,0,0
"244",5,0,3,0,0,0,0
"245",0,0,1,0,0,0,0
"246",0,0,1,0,0,0,0
"247",5,0,4,0,0,0,0
"248",0,0,1,0,0,0,0
"249",0,0,1,0,0,0,0
"250",0,0,1,0,0,0,0
"251",1,0,1,0,0,0,0
"252",0,0,1,0,0,0,0
"253",0,0,1,0,0,0,0
"254",0,0,1,0,0,0,0
"255",1,0,1,0,0,0,0
"256",1,0,1,0,0,0,0
"257",0,0,1,0,0,0,0
"258",6,0,4,0,0,0,0
"259",0,0,1,0,0,0,0
"260",2,0,2,0,0,0,0
"261",0,0,1,0,0,0,0
"262",0,0,1,0,0,0,0
"263",2,0,1,0,0,0,0
"264",0,0,1,0,0,0,0
"265",5,0,3,0,0,0,0
"266",1,0,1,0,0,0,0
"267",0,0,1,0,0,0,0
"268",6,0,5,0,0,0,0
"269",0,0,1,0,0,0,0
"270",0,0,1,0,0,0,0
"271",0,0,1,0,0,0,0
"272",0,0,2,0,0,0,0
"273",5,0,5,0,0,0,0
"274",3,0,1,0,0,0,0
"275",0,0,1,0,0,0,0
"276",0,0,1,0,0,0,0
"277",1,0,1,0,0,0,0
"278",0,0,1,0,0,0,0
"279",0,0,1,0,0,0,0
"280",1,0,1,0,0,0,0
"281",0,0,1,0,0,0,0
"282",3,0,2,0,0,0,0
"283",7,0,7,0,0,0,0
"284",7,0,4,0,0,0,0
"285",5,0,5,0,0,0,0
"286",6,0,3,0,0,0,0
"287",0,0,1,0,0,0,0
"288",3,0,3,0,0,0,0
"289",3,0,2,0,0,0,0
"290",7,0,9,0,0,0,0
"291",0,0,1,0,0,0,0
"292",4,0,2,0,0,0,0
"293",1,0,1,0,0,0,0
