"","age1_orange.H","age1_green.H","age2_no_comorbid_orange.H","age2_no_comorbid_green.H","age2_comorbid_green.H","age3_no_comorbid_green.H","age3_comorbid_green.H"
"1",14,4,17,6,6,2,9
"2",0,0,0,0,0,0,0
"3",18,4,19,6,14,3,11
"4",19,3,14,6,7,3,10
"5",12,5,23,5,8,2,8
"6",15,4,15,4,7,3,7
"7",13,4,23,9,8,4,12
"8",19,3,15,4,8,2,12
"9",0,0,0,0,0,0,0
"10",13,6,16,3,7,4,9
"11",0,0,0,0,0,0,0
"12",20,1,25,4,5,3,8
"13",18,0,17,0,0,0,0
"14",16,3,20,5,13,4,10
"15",16,6,19,8,9,3,7
"16",15,4,19,5,11,2,10
"17",17,5,17,5,5,3,8
"18",16,4,16,5,13,4,10
"19",24,5,19,6,8,3,13
"20",16,3,11,3,10,3,9
"21",0,0,0,0,0,0,0
"22",21,4,20,5,6,3,8
"23",10,4,17,4,9,3,8
"24",14,7,15,5,8,4,7
"25",0,0,0,0,0,0,0
"26",11,4,19,4,9,3,5
"27",18,0,20,0,0,0,0
"28",26,4,21,3,9,6,12
"29",0,0,1,0,0,0,0
"30",0,0,0,0,0,0,0
"31",13,8,14,4,8,2,10
"32",21,0,13,0,0,0,0
"33",16,8,13,6,11,2,8
"34",18,1,18,3,8,6,10
"35",16,5,16,2,12,5,7
"36",0,0,0,0,0,0,0
"37",25,6,10,5,7,3,11
"38",14,4,13,6,13,5,10
"39",16,5,14,1,10,5,9
"40",0,0,0,0,0,0,0
"41",18,8,16,3,10,3,8
"42",19,4,15,5,6,2,10
"43",0,0,0,0,0,0,0
"44",20,0,18,0,0,0,0
"45",14,4,18,7,9,3,9
"46",15,3,16,8,10,3,10
"47",11,3,19,4,8,2,9
"48",13,5,19,3,7,2,9
"49",16,6,17,5,9,2,9
"50",12,6,14,5,9,3,8
"51",18,5,13,8,9,3,11
"52",23,5,15,7,5,3,7
"53",0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0
"55",17,6,18,7,12,3,10
"56",16,6,17,5,9,3,8
"57",13,3,18,8,10,4,7
"58",16,4,15,4,4,2,12
"59",0,0,0,0,0,0,0
"60",14,2,13,6,12,4,11
"61",15,4,19,4,9,4,8
"62",12,6,16,6,6,6,8
"63",16,2,18,5,8,3,7
"64",13,3,17,3,6,5,9
"65",22,4,19,3,8,2,7
"66",20,3,14,5,10,3,8
"67",13,2,20,7,5,2,9
"68",15,5,12,4,6,2,8
"69",13,6,9,6,15,3,10
