"","intervention","FracFinalRecovered_median","FracFinalSusceptible_median","CFR_median","TimePeakSymptomatic_median","FracFinalDeaths_median","POutbreak_median","FracFinalRecovered_IQR","FracFinalSusceptible_IQR","CFR_IQR","TimePeakSymptomatic_IQR","FracFinalDeaths_IQR","POutbreak_IQR"
"1","none",0.4935,0.447,0.109083339641208,90.6792443792495,0.058,0.5856,0.072125,0.079,0.0161146646702457,40.9005340951906,0.013125,0
"2","evac",0.4755,0.469,0.109861591695502,88.9382943805963,0.055,0.582,0.48225,0.5405,0.020700938726931,64.9100781939634,0.0585,0
"3","self 20%",0.18075,0.79925,0.111111111111111,78.6087995548966,0.02,0.4624,0.291,0.322625,0.0693747283445796,104.115579434052,0.0335,0
"4","50 tents",0.372,0.59825,0.0766464383697343,91.8291255793746,0.0285,0.4696,0.3855,0.41725,0.019904778092396,57.0528987760201,0.031,0
"5","self 50%",0.003,0.9965,0.210526315789474,14.8951296877043,5e-04,0.274,0.006,0.00600000000000001,0.375,18.7653249143174,5e-04,0
"6","self 20% + 50 tents",0.013,0.986,0.0882352941176471,36.3814984945462,0.001,0.3252,0.068,0.0725,0.1,49.3735540576647,0.005,0
"7","self 20% + 50 tents + evac",0.014,0.9845,0.0853932584269663,37.4335205224721,0.001,0.3516,0.064,0.0680000000000001,0.104605646485513,48.5660315319778,0.005,0
"8","self 50% + 50 tents ",0.0025,0.997,0.2,19.6310394395312,5e-04,0.174,0.0055,0.00550000000000006,0.222222222222222,17.3418718209654,0,0
"9","self 50% + 50 tents + evac",0.002,0.997,0.2,19.4427477147394,5e-04,0.1672,0.0045,0.005,0.388888888888889,14.7616985094859,0,0
"10","safety",0.466,0.493,0.0833333333333333,87.7762916436326,0.04125,0.5728,0.137,0.148625,0.0179063676387024,36.0504777752316,0.0145,0.000800000000000023
"11","safety + evac",0.4495,0.511,0.083430614677337,88.5461228415214,0.0395,0.562,0.145375,0.158125,0.0200793667228631,39.7980978908022,0.0161875,0
"12","safety + lock 50%",0.469,0.4895,0.0826521344232516,89.1743350171049,0.0415,0.5484,0.129625,0.140625,0.0153887465917541,33.2577293500939,0.0135,0
"13","safety + self 20%",0.24225,0.73525,0.0859124473418655,91.7705265483283,0.02,0.4356,0.314625,0.340625,0.0503166525801756,106.73413914714,0.027125,0
"14","safety + 50 tents",0.3785,0.6025,0.0508044394734578,96.2482590175929,0.01875,0.458,0.132625,0.14,0.015413381319672,47.1541508679551,0.009,0
"15","safety + self 50%",0.003125,0.996,0.176470588235294,15.8694910685646,0.000625,0.2328,0.00875,0.00900000000000001,0.4,22.4903113495566,5e-04,0
"16","safety + 50 tents + lock 50%",0.3745,0.6065,0.05,95.4239734193359,0.0185,0.4684,0.15225,0.156875,0.0155591017895817,46.3171399591927,0.011,0.000400000000000011
"17","safety + 50 tents + evac",0.8085,0.1315,0.0503744043567052,66.895360700756,0.043125,0.802,0.185,0.183375,0.035180460908226,38.8500071797477,0.027,0
"18","safety + 50 tents + self 20%",0.0405625,0.9575,0.0576527382082938,55.2775396610824,0.002,0.3072,0.14425,0.151875,0.0643617021276594,71.1757735065692,0.006875,0
"19","safety + 50 tents + self 50%",0.44625,0.5305,0.0461165048543689,111.283684014239,0.0215,0.55,0.113,0.11753125,0.0115940174059744,35.7961556976414,0.007,0
"20","safety + 50 tents + evac + lock 50% + self 20%",0.0344375,0.9641875,0.0563508064516129,50.3830454826292,0.001875,0.3068,0.137875,0.14434375,0.0688575899843504,66.9757820309764,0.006375,0.000799999999999967
"21","safety + 50 tents + evac + lock 50% + self 50%",0.0025,0.997,0.2,18.0331414985863,0.000625,0.1372,0.006,0.00612499999999994,0.4,18.9381341803404,0.000125,0
"22","safety + 50 tents + evac + lock 90% + self 50%",0.0025,0.996875,0.2,18.5396007553449,0.000625,0.136,0.006375,0.00675000000000003,0.409090909090909,18.3642648116162,0.000125,0
